# Constructed from biom file
#OTU ID	Zone_2A	Zone_2B	Zone_3	Zone_1
k__Metazoa;p__Mollusca;c__Bivalvia;o__Venerida;f__Mactridae;g__Spisula;s__Spisula solidissima (Atlantic surf clam)	51.0	67.0	183.0	0.0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Electridae;g__Electra;s__Electra pilosa (bryozoans)	4289.0	2301.0	2204.0	616.0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Membraniporidae;g__Membranipora;s__Membranipora membranacea (bryozoans)	42.0	4.0	609.0	492.0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Clausocalanidae;g__Pseudocalanus;s__Pseudocalanus moultoni (copepods)	144.0	0.0	213.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__Microgadus tomcod (Atlantic tomcod)	16.0	0.0	0.0	69.0
k__Metazoa;p__Arthropoda;c__Thecostraca;o__Balanomorpha;f__Balanidae;g__Amphibalanus;s__Amphibalanus improvisus (acorn barnacles)	10.0	0.0	198.0	467.0
k__Metazoa;p__Annelida;c__Clitellata;o__Tubificida;f__Naididae;g__Tubificoides;s__Tubificoides benedii (sludge worms)	0.0	0.0	0.0	17.0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Clausocalanidae;g__Clausocalanus;s__Clausocalanus pergens (copepods)	225.0	0.0	39.0	32.0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Paracalanidae;g__Paracalanus;s__Paracalanus parvus (copepods)	299.0	69.0	314.0	83.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Merlucciidae;g__Merluccius;s__Merluccius bilinearis (silver hake)	2.0	8.0	0.0	0.0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Metridinidae;g__Metridia;s__Metridia lucens (copepods)	0.0	0.0	37.0	4.0
k__Metazoa;p__Arthropoda;c__Thecostraca;o__Balanomorpha;f__Balanidae;g__Balanus;s__Balanus balanus (acorn barnacles)	11.0	8.0	0.0	0.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Sertulariidae;g__Dynamena;s__Dynamena pumila (hydrozoans)	54.0	9.0	14.0	3.0
k__Metazoa;p__Annelida;c__Polychaeta;o__Terebellida;f__Terebellidae;g__Nicolea;s__Nicolea zostericola (polychaetes)	0.0	26.0	14.0	0.0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Flustridae;g__Flustra;s__Flustra foliacea (greater hornwrack)	218.0	138.0	319.0	16.0
k__Metazoa;p__Mollusca;c__Bivalvia;o__Mytilida;f__Mytilidae;g__Modiolus;s__Modiolus modiolus (northern horsemussel)	40.0	60.0	58.0	0.0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Centropagidae;g__Centropages;s__Centropages typicus (copepods)	103.0	17.0	168.0	17.0
k__Metazoa;p__Annelida;c__Polychaeta;o__Spionida;f__Spionidae;g__Streblospio;s__Streblospio benedicti (polychaetes)	22.0	0.0	15.0	85.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Pleuronectidae;g__Pseudopleuronectes;s__Pseudopleuronectes americanus (winter flounder)	0.0	12.0	18.0	0.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Campanulariidae;g__Hartlaubella;s__Hartlaubella gelatinosa (hydrozoans)	61.0	4.0	9.0	532.0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Ctenostomatida;f__Vesiculariidae;g__Amathia;s__Amathia gracilis (bryozoans)	0.0	0.0	7.0	0.0
k__Metazoa;p__Porifera;c__Demospongiae;o__Suberitida;f__Halichondriidae;g__Halichondria;s__Halichondria panicea (sponges)	0.0	13.0	0.0	13.0
k__Metazoa;p__Mollusca;c__Gastropoda;o__Nudibranchia;f__Polyceridae;g__Palio;s__Palio dubia (gastropods)	432.0	6.0	10.0	0.0
k__Metazoa;p__Arthropoda;c__Malacostraca;o__Decapoda;f__Carcinidae;g__Carcinus;s__Carcinus maenas (green crab)	3.0	0.0	10.0	51.0
k__Metazoa;p__Ctenophora;c__Tentaculata;o__Cydippida;f__Pleurobrachiidae;g__Pleurobrachia;s__Pleurobrachia pileus (sea gooseberries)	0.0	0.0	22.0	0.0
k__Metazoa;p__Mollusca;c__Bivalvia;o__Nuculanida sp.;f__Yoldiidae;g__Yoldia;s__Yoldia limatula (file yoldia)	0.0	0.0	13.0	0.0
k__Metazoa;p__Echinodermata;c__Echinoidea;o__Camarodonta;f__Strongylocentrotidae;g__Strongylocentrotus;s__Strongylocentrotus droebachiensis (green sea urchin)	0.0	10.0	3.0	0.0
k__Metazoa;p__Arthropoda;c__Malacostraca;o__Amphipoda;f__Corophiidae;g__Corophium;s__Corophium volutator (beach hoppers, scuds and well shrimps)	4.0	0.0	0.0	259.0
k__Metazoa;p__Annelida;c__Polychaeta;o__;f__Capitellidae;g__Capitella;s__Capitella capitata (polychaetes)	20460.0	16.0	34276.0	0.0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Centropagidae;g__Centropages;s__Centropages hamatus (copepods)	36.0	0.0	0.0	4.0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Ctenostomatida;f__Alcyonidiidae;g__Alcyonidium;s__Alcyonidium polyoum (bryozoans)	2087.0	21.0	0.0	32.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Anthoathecata;f__Tubulariidae;g__Tubularia;s__Tubularia indivisa (hydrozoans)	0.0	0.0	21.0	3.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Haleciidae;g__Halecium;s__Halecium halecinum (hydrozoans)	118.0	31.0	81.0	5.0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Temoridae;g__Eurytemora;s__Eurytemora affinis (copepods)	17.0	0.0	0.0	947.0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Cyclopoida;f__Oithonidae;g__Oithona;s__Oithona similis (copepods)	311.0	381.0	1829.0	393.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Osmerus;s__Osmerus mordax (rainbow smelt)	5.0	0.0	0.0	10.0
k__Metazoa;p__Annelida;c__Polychaeta;o__Spionida;f__Spionidae;g__Polydora;s__Polydora cornuta (polychaetes)	968.0	0.0	0.0	976.0
k__Metazoa;p__Annelida;c__Polychaeta;o__Sabellida;f__Sabellariidae;g__Sabellaria;s__Sabellaria vulgaris (polychaetes)	12.0	10.0	9.0	0.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Obeliidae;g__Obelia;s__Obelia dichotoma (sea thread hydroid)	0.0	0.0	0.0	174.0
k__Metazoa;p__Annelida;c__Polychaeta;o__Phyllodocida;f__Nereididae;g__Hediste;s__Hediste diversicolor (sandworms)	0.0	0.0	0.0	33.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Anthoathecata;f__Bougainvilliidae;g__Bougainvillia;s__Bougainvillia muscus (hydrozoans)	13.0	0.0	0.0	4.0
k__Metazoa;p__Arthropoda;c__Thecostraca;o__Balanomorpha;f__Balanidae;g__Semibalanus;s__Semibalanus balanoides (northern acorn barnacle)	61.0	19.0	12.0	22.0
k__Metazoa;p__Mollusca;c__Bivalvia;o__Pectinida;f__Anomiidae;g__Heteranomia;s__Heteranomia squamula (bivalves)	2020.0	1225.0	3977.0	159.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Siphonophorae;f__Agalmatidae;g__Nanomia;s__Nanomia cara (siphonophores)	34.0	5.0	19.0	29.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Obeliidae;g__Obelia;s__Obelia geniculata (knotted thread hydroid)	0.0	7.0	202.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Fundulidae;g__Fundulus;s__Fundulus heteroclitus (mummichog)	8.0	0.0	0.0	297.0
