Feature ID	Taxon	Confidence
9772fa8e6c2018201e14ebd5918b0431	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__Microgadus tomcod (Atlantic tomcod)	0.200000
1f558fba6b21de1f82ac6090e74be8bb	k__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Suidae;g__Sus;s__Sus scrofa (pig)(remove)	1.000000
191b35d34751c1ca0a5805d6fbce12a6	k__Metazoa;p__Chordata;c__Actinopteri;o__Salmoniformes;f__Salmonidae;g__Salvelinus;s__Salvelinus fontinalis x Salvelinus malma (trouts, salmons & chars)(remove)	0.100000
3494fa66b6befd2de463daa94d8007d0	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Osmerus;s__Osmerus mordax (rainbow smelt)	0.600000
b75f50175bd590dc4fc5481c1ca52324	Unclassified(remove)	0.000000
a03ebd22d19f05f4cac22cd4a272bf62	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Percidae;g__Perca;s__Perca flavescens (yellow perch)	1.000000
b3fd81581c711d3ef3f7f6edfc61d84c	k__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Leuciscidae;g__Semotilus;s__Semotilus atromaculatus (creek chub)	1.000000
96f87c41a6c69f95f26804c507c88548	k__Metazoa;p__Chordata;c__Mammalia;o__Carnivora;f__Phocidae;g__Phoca;s__Phoca vitulina (harbor seal)	0.300000
85d7323e0a913038c98dc97b486409a1	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Brevoortia;s__Brevoortia patronus (Gulf menhaden)	0.400000
d5ef5d2a4bd28b1fdab1333c3cccced7	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Alosa;s__Alosa aestivalis (blueback shad)	0.300000
fec4478bf61d6e42136b1591cbece96e	k__Metazoa;p__Chordata;c__Actinopteri;o__Atheriniformes;f__Atherinopsidae;g__Menidia;s__Menidia menidia (Atlantic silverside)	1.000000
453f4abbe7a1ece0ccedc8daa60edde2	k__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Suidae;g__Sus;s__Sus scrofa (pig)(remove)	1.000000
ace4258bf7e2bd7729d15d56e7b4ae20	k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens (human)(remove)	1.000000
33cfe1d988430ac4f58f533588dd0c8b	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__Microgadus tomcod (Atlantic tomcod)	0.200000
dafb813ff93f590b0267a2f5029dd820	Unclassified(remove)	0.000000
534e05a1e633bdacae2eaacb1fa9d6cc	Unclassified(remove)	0.000000
b7ad7d7db2deaf7b6e85a485333faa60	k__Metazoa;p__Chordata;c__Actinopteri;o__Anguilliformes;f__Anguillidae;g__Anguilla;s__Anguilla rostrata (American eel)	1.000000
c131657630397cd06853e50674bad626	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__Microgadus tomcod (Atlantic tomcod)	0.200000
c8d0461428a5380d43bcc9e8e1b0e6fc	k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Castoridae;g__Castor;s__Castor canadensis (American beaver)(remove)	1.000000
bb48020d84a0ea87c7b8e21537c0b8de	k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens (human)(remove)	1.000000
7427945dca61eb4add31b08f162ab4ff	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__Microgadus tomcod (Atlantic tomcod)	0.200000
57bd56bd2b5788f7f62cba025bbe660c	Unclassified(remove)	0.000000
72b622434189c14bc4c33f0755181198	k__Metazoa;p__Chordata;c__Chondrichthyes;o__Rajiformes;f__Rajidae;g__Leucoraja;s__Leucoraja erinaceus (little skate)	0.100000
1ac7393de06f249b732a8b8fdaa7120b	k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Castoridae;g__Castor;s__Castor canadensis (American beaver)(remove)	0.500000
f0020c26140179597069191bf130aed3	k__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Fundulidae;g__Fundulus;s__Fundulus heteroclitus (mummichog)	1.000000
c767f17fe9a398842abc96157b549dfb	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Brevoortia;s__Brevoortia patronus (Gulf menhaden)	0.400000
59d124fd52d68121bbd513a98c30f839	k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Cricetidae;g__Ondatra;s__Ondatra zibethicus (muskrat)(remove)	0.400000
05a0533f798c92e79a21242e15f957fa	Unclassified(remove)	0.000000
