# Constructed from biom file
#OTU ID	Zone_2A	Zone_1	Zone_3	Zone_2B
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Brevoortia;s__Brevoortia tyrannus (Atlantic menhaden)	2.0	0.0	0.0	21.0
k__Metazoa;p__Mollusca;c__Bivalvia;o__Myida;f__Myidae;g__Mya;s__Mya arenaria (softshell)	0.0	12.0	0.0	0.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Haleciidae;g__Halecium;s__Halecium halecinum (hydrozoans)	266.0	46.0	174.0	103.0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Candidae;g__Caberea;s__Caberea ellisii (bryozoans)	3.0	0.0	0.0	7.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Siphonophorae;f__Agalmatidae;g__Nanomia;s__Nanomia cara (siphonophores)	4.0	3.0	5.0	5.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Campanulariidae;g__Gonothyraea;s__Gonothyraea loveni (hydrozoans)	0.0	12.0	0.0	0.0
k__Metazoa;p__Mollusca;c__Bivalvia;o__Pectinida;f__Anomiidae;g__Heteranomia;s__Heteranomia squamula (bivalves)	6372.0	5375.0	4289.0	3866.0
k__Metazoa;p__Annelida;c__Polychaeta;o__Terebellida;f__Terebellidae;g__Nicolea;s__Nicolea zostericola (polychaetes)	60.0	0.0	21.0	18.0
k__Metazoa;p__Annelida;c__Polychaeta;o__Eunicida;f__Lumbrineridae;g__Ninoe;s__Ninoe nigripes (polychaetes)	15.0	0.0	8.0	3.0
k__Metazoa;p__Annelida;c__Polychaeta;o__Sabellida;f__Sabellariidae;g__Sabellaria;s__Sabellaria vulgaris (polychaetes)	30.0	84.0	17.0	531.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Pleuronectidae;g__Pseudopleuronectes;s__Pseudopleuronectes americanus (winter flounder)	9.0	0.0	0.0	0.0
k__Metazoa;p__Echinodermata;c__Echinoidea;o__Clypeasteroida;f__Echinarachniidae;g__Echinarachnius;s__Echinarachnius parma (sand dollars)	3.0	4.0	0.0	0.0
