	Zone_2A_1_22	Zone_2A_10_22	Zone_2A_12_22	Zone_2B_1_22	Zone_2B_2_22	Zone_2B_3_22	Zone_3_1_22	Zone_3_2_22	Zone_3_3_22	Musq_01_22	Musq_02_22	Musq_04_22	Musq_06_22	Musq_07_22	Musq_08_22	Musq_11_22	Musq_15_22	Musq_16_22	Musq_19_22	Musq_20_22	Musq_22_22	Musq_24_22	Musq_26_22	Musq_28_22	Musq_30_22	Musq_32_22
Zone_2A_1_22	0.0	0.1916	0.21455	0.18955	0.16685	0.2018	0.23795	0.16795	0.18175	0.7496	0.74465	0.47425	0.36725	0.5516	0.3328	0.393	0.2968	0.2871	0.25735	0.2371	0.20395	0.22705	0.22675	0.1833	0.2098	0.26
Zone_2A_10_22	0.1916	0.0	0.21345	0.19825	0.1813	0.1999	0.2314	0.1846	0.16975	0.78885	0.78265	0.51975	0.4092	0.59375	0.36935	0.4451	0.3381	0.3122	0.2977	0.2435	0.22835	0.21675	0.22155	0.1728	0.1914	0.2601
Zone_2A_12_22	0.21455	0.21345	0.0	0.2254	0.18875	0.14915	0.1557	0.21985	0.16925	0.7815	0.77365	0.50095	0.3911	0.5831	0.31475	0.4134	0.28255	0.23815	0.24315	0.1838	0.1722	0.16395	0.1634	0.20125	0.1743	0.16325
Zone_2B_1_22	0.18955	0.19825	0.2254	0.0	0.16105	0.19855	0.2438	0.1642	0.18495	0.79165	0.7849	0.52145	0.41605	0.595	0.38095	0.4326	0.3429	0.32485	0.29585	0.2699	0.24045	0.23195	0.23085	0.18715	0.21365	0.26885
Zone_2B_2_22	0.16685	0.1813	0.18875	0.16105	0.0	0.1701	0.2164	0.16045	0.1587	0.7855	0.7773	0.50775	0.40315	0.589	0.358	0.4185	0.32335	0.29775	0.2733	0.24385	0.21135	0.20495	0.20325	0.167	0.1915	0.23915
Zone_2B_3_22	0.2018	0.1999	0.14915	0.19855	0.1701	0.0	0.16285	0.20135	0.161	0.78195	0.77485	0.50215	0.38965	0.58405	0.3237	0.40445	0.29055	0.25375	0.2438	0.19735	0.1804	0.16995	0.16715	0.188	0.1743	0.18475
Zone_3_1_22	0.23795	0.2314	0.1557	0.2438	0.2164	0.16285	0.0	0.24435	0.18705	0.78725	0.7816	0.50555	0.3954	0.59005	0.31145	0.4144	0.2809	0.2334	0.2451	0.18465	0.19015	0.16735	0.16245	0.21985	0.1956	0.1617
Zone_3_2_22	0.16795	0.1846	0.21985	0.1642	0.16045	0.20135	0.24435	0.0	0.1787	0.776	0.7712	0.50495	0.40255	0.5809	0.3676	0.422	0.3317	0.3169	0.2828	0.25625	0.2305	0.23155	0.22755	0.16495	0.20455	0.27155
Zone_3_3_22	0.18175	0.16975	0.16925	0.18495	0.1587	0.161	0.18705	0.1787	0.0	0.784	0.7773	0.506	0.39785	0.58725	0.33945	0.4292	0.30895	0.2709	0.27055	0.21445	0.1908	0.17955	0.18655	0.1688	0.1739	0.20995
Musq_01_22	0.7496	0.78885	0.7815	0.79165	0.7855	0.78195	0.78725	0.776	0.784	0.0	0.15015	0.3787	0.5401	0.32615	0.5797	0.5205	0.6396	0.7164	0.70905	0.75665	0.7475	0.7875	0.78345	0.79005	0.79035	0.78365
