	2A12B	2A12S	2B03B	2B03S	301B	301S	M08B	M08S	M19S	M20B	M30B	M30S	M32B	M32S
2A12B	0.0	98.57033046098277	105.43999808978518	103.67647995796355	103.4875606748981	105.64719825365904	194.75958123029014	139.7150754372028	144.5274244449923	120.41771294989532	130.38269004477638	125.60673355172774	100.57721066883884	111.11483605654118
2A12S	98.57033046098277	0.0	103.55101133689844	96.77979899505179	104.65088711492977	99.13585111959209	190.06427098793907	136.24976036914185	139.62162602355164	117.62830887352993	126.4601110959497	118.4767156862284	98.55876295428351	110.6078754497925
2B03B	105.43999808978518	103.55101133689844	0.0	105.53339765481567	109.83607385396938	107.5563971403014	193.14614279949225	142.5608737017142	143.02254335729043	122.79263788821571	130.4366825603927	122.72748526289313	108.77972262277677	117.08012537875639
2B03S	103.67647995796355	96.77979899505179	105.53339765481567	0.0	106.760231746454	101.90907408458435	190.89162984134973	135.36589105846534	141.65807537146173	120.38474402751142	132.8892943843284	122.46755676184884	100.12230881161163	112.43218435351096
301B	103.4875606748981	104.65088711492977	109.83607385396938	106.760231746454	0.0	111.47081113043087	197.10773100654328	142.17388581627637	146.66403938095488	124.10331404109101	131.5287117620331	128.00193922914374	108.44713841227029	114.52091844247224
301S	105.64719825365904	99.13585111959209	107.5563971403014	101.90907408458435	111.47081113043087	0.0	179.6746984029575	133.06137446662964	137.08073389914514	119.96686758964067	130.02241077879634	113.01380654054269	100.5782298514495	119.70178820978643
M08B	194.75958123029014	190.06427098793907	193.14614279949225	190.89162984134973	197.10773100654328	179.6746984029575	0.0	176.90697699947063	182.87509822698348	188.9114113206186	204.3037693796281	186.9018911650169	186.44760681559202	200.00725599759616
M08S	139.7150754372028	136.24976036914185	142.5608737017142	135.36589105846534	142.17388581627637	133.06137446662964	176.90697699947063	0.0	132.23581718581448	136.76206671154523	160.7720464247546	147.0149743610414	133.20991390601966	148.39128530099575
M19S	144.5274244449923	139.62162602355164	143.02254335729043	141.65807537146173	146.66403938095488	137.08073389914514	182.87509822698348	132.23581718581448	0.0	133.49485995777738	149.87255463736676	147.52676580520958	139.13756593770825	156.99179311720312
M20B	120.41771294989532	117.62830887352993	122.79263788821571	120.38474402751142	124.10331404109101	119.96686758964067	188.9114113206186	136.76206671154523	133.49485995777738	0.0	135.83125777046556	135.14745629315212	120.33091447940264	132.8350525403696
M30B	130.38269004477638	126.4601110959497	130.4366825603927	132.8892943843284	131.5287117620331	130.02241077879634	204.3037693796281	160.7720464247546	149.87255463736676	135.83125777046556	0.0	136.36632791450515	133.98693324599773	141.00411003149142
M30S	125.60673355172774	118.4767156862284	122.72748526289313	122.46755676184884	128.00193922914374	113.01380654054269	186.9018911650169	147.0149743610414	147.52676580520958	135.14745629315212	136.36632791450515	0.0	122.33527941835284	131.74683685321483
M32B	100.57721066883884	98.55876295428351	108.77972262277677	100.12230881161163	108.44713841227029	100.5782298514495	186.44760681559202	133.20991390601966	139.13756593770825	120.33091447940264	133.98693324599773	122.33527941835284	0.0	116.2747665398605
M32S	111.11483605654118	110.6078754497925	117.08012537875639	112.43218435351096	114.52091844247224	119.70178820978643	200.00725599759616	148.39128530099575	156.99179311720312	132.8350525403696	141.00411003149142	131.74683685321483	116.2747665398605	0.0
