	2A12B	2A12S	2B03B	2B03S	301B	301S	M08B	M08S	M19S	M20B	M30B	M30S	M32B	M32S
2A12B	0.0	0.18825	0.16805	0.21035	0.1607	0.2124	0.40855	0.31695	0.2376	0.1989	0.22115	0.2354	0.2342	0.17985
2A12S	0.18825	0.0	0.1801	0.15705	0.1935	0.15705	0.4287	0.34625	0.253	0.2078	0.215	0.2079	0.2908	0.178
2B03B	0.16805	0.1801	0.0	0.19145	0.1677	0.19225	0.41605	0.3338	0.2369	0.19905	0.2002	0.20935	0.26785	0.1922
2B03S	0.21035	0.15705	0.19145	0.0	0.21455	0.15805	0.4391	0.3627	0.2685	0.23025	0.2182	0.198	0.3193	0.19875
301B	0.1607	0.1935	0.1677	0.21455	0.0	0.2179	0.40855	0.3232	0.24415	0.1985	0.21585	0.2344	0.2385	0.1892
301S	0.2124	0.15705	0.19225	0.15805	0.2179	0.0	0.448	0.37205	0.2762	0.2316	0.215	0.1997	0.32505	0.19845
M08B	0.40855	0.4287	0.41605	0.4391	0.40855	0.448	0.0	0.3071	0.3613	0.4066	0.44725	0.45425	0.4404	0.4221
M08S	0.31695	0.34625	0.3338	0.3627	0.3232	0.37205	0.3071	0.0	0.26635	0.31305	0.37305	0.3842	0.3477	0.33355
M19S	0.2376	0.253	0.2369	0.2685	0.24415	0.2762	0.3613	0.26635	0.0	0.2297	0.2556	0.28625	0.3293	0.2612
M20B	0.1989	0.2078	0.19905	0.23025	0.1985	0.2316	0.4066	0.31305	0.2297	0.0	0.22915	0.23625	0.2809	0.2019
M30B	0.22115	0.215	0.2002	0.2182	0.21585	0.215	0.44725	0.37305	0.2556	0.22915	0.0	0.2107	0.33715	0.22805
M30S	0.2354	0.2079	0.20935	0.198	0.2344	0.1997	0.45425	0.3842	0.28625	0.23625	0.2107	0.0	0.3519	0.2191
M32B	0.2342	0.2908	0.26785	0.3193	0.2385	0.32505	0.4404	0.3477	0.3293	0.2809	0.33715	0.3519	0.0	0.2671
M32S	0.17985	0.178	0.1922	0.19875	0.1892	0.19845	0.4221	0.33355	0.2612	0.2019	0.22805	0.2191	0.2671	0.0
