	2A12B	2A12S	2B03B	2B03S	301B	301S	M08B	M08S	M19S	M20B	M30B	M30S	M32B	M32S
2A12B	0.0	0.4448078495502862	0.4366533864541833	0.43584437086092714	0.43466353677621283	0.4392156862745098	0.7069983136593592	0.5294117647058824	0.5291157440690151	0.4806231003039514	0.5023025150549061	0.5106071689831748	0.4269521410579345	0.47703703703703704
2A12S	0.4448078495502862	0.0	0.44226044226044225	0.42488161859664225	0.45193458316713203	0.4334841628959276	0.6971706454465075	0.5251658213031604	0.535938075930704	0.4794198353586829	0.49633967789165445	0.5092417955488495	0.4216710182767624	0.47923809523809524
2B03B	0.4366533864541833	0.44226044226044225	0.0	0.422787979966611	0.437109375	0.437854339293502	0.7091750841750841	0.535486293653774	0.5301724137931034	0.4806231003039514	0.5028328611898017	0.4929681717246484	0.43090452261306533	0.49762513701132627
2B03S	0.43584437086092714	0.42488161859664225	0.422787979966611	0.0	0.43823410287565817	0.4212218649517685	0.699020480854853	0.5163966811536942	0.5310755489393375	0.47366336633663364	0.5082206795761783	0.49655436447166923	0.41878841088674273	0.4858778625954199
301B	0.43466353677621283	0.45193458316713203	0.437109375	0.43823410287565817	0.0	0.4593684210526316	0.7156862745098039	0.5297597042513863	0.5315251849242691	0.48080506895266495	0.49790648988136776	0.5166249553092599	0.44045676998368677	0.49641062455132806
301S	0.4392156862745098	0.4334841628959276	0.437854339293502	0.4212218649517685	0.4593684210526316	0.0	0.6924184261036468	0.5236514522821577	0.5431235431235432	0.49444215726636476	0.5071071840184402	0.5032102728731942	0.4265249537892791	0.4962106102911847
M08B	0.7069983136593592	0.6971706454465075	0.7091750841750841	0.699020480854853	0.7156862745098039	0.6924184261036468	0.0	0.6705985146352119	0.6828175895765473	0.6908333333333333	0.7421641791044776	0.737234878240377	0.6981981981981982	0.7369033760186263
M08S	0.5294117647058824	0.5251658213031604	0.535486293653774	0.5163966811536942	0.5297597042513863	0.5236514522821577	0.6705985146352119	0.0	0.5212649945474372	0.5190014903129657	0.5878401074907625	0.5741458259950687	0.5196819085487078	0.5549664192294097
M19S	0.5291157440690151	0.535938075930704	0.5301724137931034	0.5310755489393375	0.5315251849242691	0.5431235431235432	0.6828175895765473	0.5212649945474372	0.0	0.5064516129032258	0.5610474631751228	0.574310692669805	0.5440684269245073	0.5804311774461028
M20B	0.4806231003039514	0.4794198353586829	0.4806231003039514	0.47366336633663364	0.48080506895266495	0.49444215726636476	0.6908333333333333	0.5190014903129657	0.5064516129032258	0.0	0.513130615065653	0.5335926449787836	0.4730323611666001	0.5277777777777778
M30B	0.5023025150549061	0.49633967789165445	0.5028328611898017	0.5082206795761783	0.49790648988136776	0.5071071840184402	0.7421641791044776	0.5878401074907625	0.5610474631751228	0.513130615065653	0.0	0.535965205754433	0.512848751835536	0.539199470724446
M30S	0.5106071689831748	0.5092417955488495	0.4929681717246484	0.49655436447166923	0.5166249553092599	0.5032102728731942	0.737234878240377	0.5741458259950687	0.574310692669805	0.5335926449787836	0.535965205754433	0.0	0.5133587786259542	0.5470668485675307
M32B	0.4269521410579345	0.4216710182767624	0.43090452261306533	0.41878841088674273	0.44045676998368677	0.4265249537892791	0.6981981981981982	0.5196819085487078	0.5440684269245073	0.4730323611666001	0.512848751835536	0.5133587786259542	0.0	0.4859561369757599
M32S	0.47703703703703704	0.47923809523809524	0.49762513701132627	0.4858778625954199	0.49641062455132806	0.4962106102911847	0.7369033760186263	0.5549664192294097	0.5804311774461028	0.5277777777777778	0.539199470724446	0.5470668485675307	0.4859561369757599	0.0
