	Zone_2B_2_23	Zone_2B_3_23	Zone_2B_1_23	Zone_3_1_23	Zone_3_4_23	Zone_3_3_23	Zone_3_2_23	Zone_2A_12_23	Zone_2A_10_23	Zone_2A_1_23	Musq_25_23	Musq_27_23	Musq_29_23	Musq_31_23	Musq_19_23	Musq_01_23	Musq_03_23	Musq_05_23	Musq_07_23	Musq_09_23	Musq_11_23	Musq_13_23	Musq_15_23	Musq_17_23	Musq_21_23	Musq_23_23
Zone_2B_2_23	0.0	145.38862383413996	146.4916760216248	150.5398793570723	144.2230862831686	146.69901433820746	153.20586221931643	154.61092200386622	151.87078760872086	148.89655777413319	162.31695989110048	160.74405125016136	150.1254973869629	148.51770701820274	176.68469627980815	313.6762858262917	303.322256044187	263.3181546300163	243.75266116752513	231.83560001565584	214.23629240863292	211.14539924615434	201.94684321666213	195.4830528799641	188.95960130392095	179.32510700530833
Zone_2B_3_23	145.38862383413996	0.0	141.06695953536746	134.28513312366914	142.35349712671774	139.10654590761087	143.93826093273591	149.88051897470373	140.75882505525493	134.32399853643463	150.51791754034633	142.78435154790793	139.514538893789	144.0918311381907	156.44208351402912	314.04241584901376	301.43211013394455	259.19818312188687	236.79125379767888	223.86299686329076	202.92158959242204	199.05644082304065	187.3181856434514	178.71362565110982	172.1662894539066	160.37524336884653
Zone_2B_1_23	146.4916760216248	141.06695953536746	0.0	143.67121681980558	144.76349666653758	144.13258284514194	141.67846601707558	143.26437679770297	140.05406681240308	138.58918778682786	146.48066767015592	142.20788714106084	135.25798777198094	135.10443543744228	162.2724310634568	299.1556256581972	287.8589141848682	245.69894087231756	223.71128365520352	212.6774674848174	193.85090450016276	190.0853953124801	180.9341697411659	174.68745685400023	169.7180128136219	162.46900348869755
Zone_3_1_23	150.5398793570723	134.28513312366914	143.67121681980558	0.0	145.91214222869039	139.29169126128303	143.42176112390268	156.41572923714486	136.20869774142665	130.77220619971988	143.2166196355815	139.6465893458415	137.91875341801097	141.3055256654386	145.38121787808984	310.1026468778015	296.542473315843	252.592745419715	230.2244010904051	215.70820829357987	193.80793446556734	190.98441556290786	177.40649194268067	168.35762563559672	159.8116102582265	149.79341352385262
Zone_3_4_23	144.2230862831686	142.35349712671774	144.76349666653758	145.91214222869039	0.0	139.39770268342264	146.7978942870894	144.86861178711737	145.82548588273772	142.63471405900734	161.67666788711486	152.85460027277477	141.88959140912013	142.56150856986787	176.44381329128427	312.2631840809078	301.67332472933185	262.17675390650413	242.03914774292494	230.9862809781446	213.76697072235046	209.8427749450674	201.43521002468825	194.1669223221696	188.77001320051454	178.52452313901364
Zone_3_3_23	146.69901433820746	139.10654590761087	144.13258284514194	139.29169126128303	139.39770268342264	0.0	142.68513209571185	149.77752545392087	140.50859847441686	136.0483505361225	153.24215432865108	148.4887361619722	142.17617080623177	142.01686611235496	164.37050741235518	314.8029977480557	302.95399231741897	261.27311373836045	240.17526695597468	227.00130855530043	207.11489137732156	203.88970195375552	193.1320538424216	185.45528505678013	178.72544884431352	166.33911657067583
Zone_3_2_23	153.20586221931643	143.93826093273591	141.67846601707558	143.42176112390268	146.7978942870894	142.68513209571185	0.0	145.98050739658603	139.77487943732905	136.50088892717633	148.4107965072912	138.17673087508948	133.2386233895472	138.17713377376845	160.6171475840892	303.31617794356674	290.2544560151445	247.21877047234477	225.58242745635187	212.6785036473616	192.7925955220622	189.30204630056056	180.3166921508673	172.94159221160714	167.38156058778773	158.36585173564126
Zone_2A_12_23	154.61092200386622	149.88051897470373	143.26437679770297	156.41572923714486	144.86861178711737	149.77752545392087	145.98050739658603	0.0	144.6506160664412	145.19021725938006	155.83410510357479	149.92935099577682	137.22445221703686	137.3392435436473	178.39155336057735	297.8747228455547	288.31573193286386	248.60232117724965	228.02291722360005	219.60221562503986	203.35718758826823	201.03949467639288	192.6013090227418	186.21990544330163	184.24091613986334	175.04869767681842
Zone_2A_10_23	151.87078760872086	140.75882505525493	140.05406681240308	136.20869774142665	145.82548588273772	140.50859847441686	139.77487943732905	144.6506160664412	0.0	130.27273518567281	136.72633571149288	133.34231901766108	127.89798265660127	130.13845608977817	151.6563295073833	297.9331693978394	284.5285850369945	240.19990132809068	216.5969627831154	203.62454510088966	184.0014879274594	181.35172303738406	170.64821971415566	161.35701843829247	157.98654481878	150.04794107202463
Zone_2A_1_23	148.89655777413319	134.32399853643463	138.58918778682786	130.77220619971988	142.63471405900734	136.0483505361225	136.50088892717633	145.19021725938006	130.27273518567281	0.0	140.11393731184384	134.54928810187334	131.3011295617516	132.94143783411687	147.38751975476572	302.9123503684806	289.45951166767753	245.20625853743013	222.53202445309375	210.03351139240968	188.30209541900626	185.6756101172891	174.28393105957096	166.69786949032132	158.40003199364585	149.6043556473015
Musq_25_23	162.31695989110048	150.51791754034633	146.48066767015592	143.2166196355815	161.67666788711486	153.24215432865108	148.4107965072912	155.83410510357479	136.72633571149288	140.11393731184384	0.0	136.8684437256807	134.3731298759764	130.64791438710552	139.95777931974402	283.98757341687826	270.2798953575997	223.71739147798758	199.0583037108039	184.93342463279052	160.136891402304	161.85147552848068	145.3692405935421	135.44186315301067	138.42268027611024	132.63755311313062
