	Zone_2B_2_23	Zone_2B_3_23	Zone_2B_1_23	Zone_3_1_23	Zone_3_4_23	Zone_3_3_23	Zone_3_2_23	Zone_2A_12_23	Zone_2A_10_23	Zone_2A_1_23	Musq_25_23	Musq_27_23	Musq_29_23	Musq_31_23	Musq_19_23	Musq_01_23	Musq_03_23	Musq_05_23	Musq_07_23	Musq_09_23	Musq_11_23	Musq_13_23	Musq_15_23	Musq_17_23	Musq_21_23	Musq_23_23
Zone_2B_2_23	0.0	0.5122879889235029	0.5208628005657708	0.5225737646640597	0.5138584974471189	0.49965108164689465	0.5210084033613446	0.5274074074074074	0.5275045537340619	0.5251875669882101	0.5488993143269578	0.5411208151382824	0.5260416666666666	0.5119094103865678	0.5906593406593407	0.9405724953329185	0.8988077040660348	0.8286593707250342	0.7738343771746694	0.7497348886532343	0.6915458082773258	0.6900666900666901	0.6622331116555827	0.6433392539964476	0.6242754858506648	0.589050589050589
Zone_2B_3_23	0.5122879889235029	0.0	0.4936525208560029	0.5110068567304222	0.5150513950073421	0.48420305289314874	0.5113004816598741	0.5154251316779533	0.5046589638464406	0.507103825136612	0.5180096546602302	0.5197172619047619	0.5151057401812689	0.5073035925779708	0.552753108348135	0.9380113278791693	0.892059553349876	0.8207711010767628	0.753922967189729	0.7256540697674418	0.6696881798404641	0.6640202093107181	0.6320346320346321	0.5997782705099778	0.5701535166012138	0.5646306818181818
Zone_2B_1_23	0.5208628005657708	0.4936525208560029	0.0	0.5210176991150443	0.5186581228797588	0.5027027027027027	0.5045977011494253	0.5093385214007782	0.49594751061366266	0.5099139543583988	0.5080831408775982	0.5138461538461538	0.5072350410637466	0.4907369287772746	0.5598399417970171	0.9318479685452162	0.8841187863137508	0.8055353241077932	0.7438661710037174	0.7219291635267521	0.6558245083207261	0.652010522360015	0.6310498883097543	0.6009139375476009	0.5797736400146039	0.5578406169665809
Zone_3_1_23	0.5225737646640597	0.5110068567304222	0.5210176991150443	0.0	0.5260574018126888	0.4967225054624909	0.5160796324655437	0.5402916346891788	0.5057915057915058	0.49352627570449353	0.4982442450253609	0.5058411214953271	0.5113904163393559	0.5018526142445451	0.5377463741167721	0.9308862433862434	0.8805483028720626	0.800073773515308	0.7355714824594493	0.7072608528620822	0.6361175560711524	0.6427754479603508	0.6068702290076335	0.5742767787333855	0.5575056011949215	0.5316265060240963
Zone_3_4_23	0.5138584974471189	0.5150513950073421	0.5186581228797588	0.5260574018126888	0.0	0.4932985852568876	0.5146771037181996	0.49697214372224463	0.5135347194978422	0.5158942933741861	0.5457352373600927	0.5407925407925408	0.525248508946322	0.49810046433094135	0.5893772893772894	0.9429912810194501	0.9005252790544978	0.8299520472150498	0.7749063670411985	0.745607333842628	0.6867378048780488	0.6871698113207547	0.6627950543274634	0.644106463878327	0.6232253367309792	0.5918141592920354
Zone_3_3_23	0.49965108164689465	0.48420305289314874	0.5027027027027027	0.4967225054624909	0.4932985852568876	0.0	0.4983190138214419	0.5	0.4898419864559819	0.4981684981684982	0.5016885553470919	0.499434602336977	0.5024743052912067	0.4940286624203822	0.5571681415929204	0.9363779527559055	0.8917829457364341	0.8180236604036186	0.757640369580668	0.7295438088341781	0.6670297748729122	0.660882140274765	0.6342692584593232	0.6108464639061928	0.5810906515580736	0.557774607703281
Zone_3_2_23	0.5210084033613446	0.5113004816598741	0.5045977011494253	0.5160796324655437	0.5146771037181996	0.4983190138214419	0.0	0.5042492917847026	0.5017921146953405	0.5003897116134061	0.5172413793103449	0.4993963782696177	0.48290070045323447	0.4877944325481799	0.5607828377869778	0.9261168384879725	0.8788390145123186	0.791314373558801	0.7357755261106781	0.7059992054032579	0.6464766429136976	0.6436149312377211	0.6212534059945504	0.5956349206349206	0.5754931714719271	0.5426594926979247
Zone_2A_12_23	0.5274074074074074	0.5154251316779533	0.5093385214007782	0.5402916346891788	0.49697214372224463	0.5	0.5042492917847026	0.0	0.5156878519710378	0.5226917057902973	0.531812725090036	0.5128100854005694	0.5045567522783762	0.49674054758800523	0.5963337074448185	0.9336360461054838	0.886986301369863	0.8185313341022683	0.7623878267655092	0.7401107594936709	0.6864207221350078	0.6750294002352019	0.6602316602316602	0.6366496264254817	0.621115687008611	0.5930408472012103
Zone_2A_10_23	0.5275045537340619	0.5046589638464406	0.49594751061366266	0.5057915057915058	0.5135347194978422	0.4898419864559819	0.5017921146953405	0.5156878519710378	0.0	0.49921875	0.4921275736778361	0.49514955537590943	0.4922067268252666	0.4786361674579197	0.5354813962408899	0.9244827586206896	0.8759322033898305	0.788030888030888	0.7201581027667984	0.6885841064945543	0.6276638520305589	0.6357878068091845	0.5979381443298969	0.5638211382113821	0.559185242121445	0.5331266950794266
Zone_2A_1_23	0.5251875669882101	0.507103825136612	0.5099139543583988	0.49352627570449353	0.5158942933741861	0.4981684981684982	0.5003897116134061	0.5226917057902973	0.49921875	0.0	0.5097503900156006	0.5068600548804391	0.5100990099009901	0.49353358364622446	0.5421956684092606	0.9327339327339327	0.8831254103742613	0.8006693938267013	0.7308132875143184	0.7085913312693498	0.6422196352347691	0.6451860375911009	0.6127920337035618	0.5802275402118477	0.5684957073534901	0.5394190871369294
Musq_25_23	0.5488993143269578	0.5180096546602302	0.5080831408775982	0.4982442450253609	0.5457352373600927	0.5016885553470919	0.5172413793103449	0.531812725090036	0.4921275736778361	0.5097503900156006	0.0	0.4920570264765784	0.5069444444444444	0.47850629613547546	0.49623762376237623	0.9246789309267616	0.8738892686261107	0.7834568864611783	0.7106212424849699	0.6735112936344969	0.6018136850783182	0.6020408163265306	0.5517099299546766	0.5181434599156118	0.5153325368379131	0.4879518072289157
Musq_27_23	0.5411208151382824	0.5197172619047619	0.5138461538461538	0.5058411214953271	0.5407925407925408	0.499434602336977	0.4993963782696177	0.5128100854005694	0.49514955537590943	0.5068600548804391	0.4920570264765784	0.0	0.5051292572835453	0.4810787298825576	0.5391740640679274	0.92511320097527	0.8745286252999657	0.78671875	0.718	0.6870665034679723	0.6248982912937348	0.6137286758732737	0.5920418006430869	0.562037797863599	0.5461658841940532	0.5154272151898734
Musq_29_23	0.5260416666666666	0.5151057401812689	0.5072350410637466	0.5113904163393559	0.525248508946322	0.5024743052912067	0.48290070045323447	0.5045567522783762	0.4922067268252666	0.5100990099009901	0.5069444444444444	0.5051292572835453	0.0	0.48903508771929827	0.5573137784639135	0.9276640790402259	0.8814379536812997	0.7961432506887053	0.7337610264635124	0.7051857901184156	0.6462225832656376	0.6389001213101496	0.6120481927710844	0.5980511571254568	0.5784579620302208	0.5443833464257659
