	shannon_entropy
Zone_2B_2_23	8.622099221868995
Zone_2B_3_23	8.506533459173806
Zone_2B_1_23	8.300181339172054
Zone_3_1_23	8.206110646608066
Zone_3_4_23	8.315663374961183
Zone_3_3_23	8.502182980177027
Zone_3_2_23	8.069601505350036
Zone_2A_12_23	8.309305260197661
Zone_2A_10_23	8.09813921207055
Zone_2A_1_23	7.939152700310692
Musq_25_23	8.25904606071768
Musq_27_23	8.02116059014105
Musq_29_23	8.028344266572322
Musq_31_23	8.090276257983371
Musq_19_23	7.789821448847712
Musq_01_23	6.881298388571945
Musq_03_23	7.009580176353054
Musq_05_23	6.462108484483191
Musq_07_23	6.617908906668486
Musq_09_23	6.356966237197869
Musq_11_23	6.778543082488798
Musq_13_23	6.880664957386529
Musq_15_23	7.002678260978595
Musq_17_23	7.30048146022511
Musq_21_23	7.573375509582387
Musq_23_23	7.737813903476379
