	Zone_2B_2_23	Zone_2B_3_23	Zone_2B_1_23	Zone_3_1_23	Zone_3_4_23	Zone_3_3_23	Zone_3_2_23	Zone_2A_12_23	Zone_2A_10_23	Zone_2A_1_23	Musq_25_23	Musq_27_23	Musq_29_23	Musq_31_23	Musq_19_23	Musq_01_23	Musq_03_23	Musq_05_23	Musq_07_23	Musq_09_23	Musq_11_23	Musq_13_23	Musq_15_23	Musq_17_23	Musq_21_23	Musq_23_23
Zone_2B_2_23	0	0.1295119225978851	0.1389859467744827	0.2104649841785431	0.1176236122846603	0.1122234687209129	0.2346894443035126	0.1998784244060516	0.1658807843923569	0.1732536256313324	0.2751993238925934	0.2233277708292007	0.1858882009983063	0.1523301750421524	0.3590012788772583	0.6202667355537415	0.5115187168121338	0.4956460893154144	0.5582424998283386	0.5544443726539612	0.5325428247451782	0.5316288471221924	0.4946072697639465	0.4165094494819641	0.3666927814483643	0.3293803930282593
Zone_2B_3_23	0.1295119225978851	0	0.1236509829759598	0.1795449256896973	0.1434936225414276	0.1566769629716873	0.1967470943927765	0.1811728179454803	0.1130099967122078	0.1456557959318161	0.2309766709804535	0.1448132693767548	0.1535503715276718	0.1275521516799927	0.3120275139808655	0.6363353133201599	0.5212367177009583	0.4675411283969879	0.5228573083877563	0.5212118029594421	0.4797495901584625	0.4806895554065704	0.4405672550201416	0.3627952635288239	0.3171719908714294	0.2795510292053223
Zone_2B_1_23	0.1389859467744827	0.1236509829759598	0	0.2384794801473618	0.1406753212213516	0.1674633920192719	0.1432267427444458	0.1547211408615112	0.1450320333242416	0.1512386053800583	0.2879066169261932	0.1489780098199844	0.1023574993014336	0.106305718421936	0.3588027358055115	0.6786589622497559	0.5637097358703613	0.4756273627281189	0.5146757364273071	0.5096315145492554	0.4832015931606293	0.4799056351184845	0.4431822299957275	0.385793536901474	0.3458372056484222	0.3125181794166565
Zone_3_1_23	0.2104649841785431	0.1795449256896973	0.2384794801473618	0	0.2449157387018204	0.1807141005992889	0.3145742118358612	0.3110361993312836	0.1445940583944321	0.1284825652837753	0.1304303258657455	0.238525778055191	0.2510027885437012	0.2197827845811844	0.1931118220090866	0.5391110777854919	0.4815771877765656	0.4948466718196869	0.5435335636138916	0.5535421967506409	0.4949611723423004	0.5064879059791565	0.4521767199039459	0.3708682060241699	0.296961784362793	0.2152376770973206
Zone_3_4_23	0.1176236122846603	0.1434936225414276	0.1406753212213516	0.2449157387018204	0	0.1311004906892776	0.1868738681077957	0.1337683647871017	0.1962146908044815	0.2017155587673187	0.3298492729663849	0.2374393194913864	0.1553722620010376	0.169831171631813	0.4125008583068848	0.6681976914405823	0.5681697726249695	0.5336899161338806	0.5940034985542297	0.5885089039802551	0.5711974501609802	0.5692793726921082	0.5340198874473572	0.4618224799633026	0.4146226048469543	0.3820392489433289
Zone_3_3_23	0.1122234687209129	0.1566769629716873	0.1674633920192719	0.1807141005992889	0.1311004906892776	0	0.2373058646917343	0.2127809375524521	0.1669867038726807	0.1512925922870636	0.2456837147474289	0.2485957592725754	0.1845815479755402	0.1720190793275833	0.3326743543148041	0.6068741679191589	0.5136789679527283	0.5411563515663147	0.6021318435668945	0.5979699492454529	0.5700974464416504	0.5671777725219727	0.5307162404060364	0.4508016407489777	0.3746342062950134	0.3061916828155518
Zone_3_2_23	0.2346894443035126	0.1967470943927765	0.1432267427444458	0.3145742118358612	0.1868738681077957	0.2373058646917343	0	0.1652316153049469	0.2035854458808899	0.2202211022377014	0.3709390461444855	0.1484085321426392	0.1107736229896545	0.142048567533493	0.436535507440567	0.7450975179672241	0.6351614594459534	0.4864625632762909	0.4627735614776611	0.4555453956127167	0.4287526607513428	0.4264737069606781	0.3891944885253906	0.3998969197273254	0.3675526976585388	0.3549585938453674
Zone_2A_12_23	0.1998784244060516	0.1811728179454803	0.1547211408615112	0.3110361993312836	0.1337683647871017	0.2127809375524521	0.1652316153049469	0	0.2413486391305923	0.2505367398262024	0.3771706223487854	0.2260946035385132	0.1597610116004944	0.1863424181938171	0.4567929208278656	0.7206063270568848	0.6123269200325012	0.5455873608589172	0.5772797465324402	0.5752365589141846	0.5629697442054749	0.5636470913887024	0.5252878069877625	0.4879491031169891	0.457605391740799	0.4241901636123657
Zone_2A_10_23	0.1658807843923569	0.1130099967122078	0.1450320333242416	0.1445940583944321	0.1962146908044815	0.1669867038726807	0.2035854458808899	0.2413486391305923	0	0.08380095660686493	0.1987070739269257	0.1363867819309235	0.1389804035425186	0.1087824553251266	0.2664074599742889	0.6140789389610291	0.4983716905117035	0.4297266900539398	0.4826817810535431	0.4793314039707184	0.4383802711963654	0.4401825666427612	0.396908700466156	0.3171752393245697	0.246367409825325	0.2100433260202408
Zone_2A_1_23	0.1732536256313324	0.1456557959318161	0.1512386053800583	0.1284825652837753	0.2017155587673187	0.1512925922870636	0.2202211022377014	0.2505367398262024	0.08380095660686493	0	0.2061407119035721	0.1809803992509842	0.1577593237161636	0.1308536976575851	0.2531196475028992	0.6078896522521973	0.4948235750198364	0.4452717304229736	0.5011323690414429	0.4963614344596863	0.462359219789505	0.4610851407051086	0.4213501811027527	0.3407353758811951	0.267359733581543	0.2082933038473129
