	Musq_19_24	Musq_21_24	Musq_23_24	Musq_25_24	Musq_27_24	Musq_29_24	Musq_31_24	Zone_2B_1_24	Zone_2B_2_24	Zone_2B_3_24	Zone_3_1_24	Zone_3_3_24	Zone_3_2_24	Zone_2A_12_24	Zone_2A_10_24	Zone_2A_1_24	Musq_01_24	Musq_03_24	Musq_05_24	Musq_07_24	Musq_09_24	Musq_11_24	Musq_13_24	Musq_15_24	Musq_17_24
Musq_19_24	0.0	51.9611595914711	49.48207705597231	55.66958432946797	59.24224544008704	60.8915004478334	58.466807263191306	59.26054557655565	59.978708045888	61.06974900123485	63.67970691460206	67.65126567014184	56.68379791554887	62.443902268137975	49.85398571123611	55.23031921624364	99.34092128535534	80.39217366924376	69.72672959367736	60.659848536255204	57.95197944052274	63.93626939770259	64.97524216253032	73.30236757649621	62.198471114775224
Musq_21_24	51.9611595914711	0.0	52.78586656151662	59.949804270804364	64.14952618851405	66.47043040733662	63.80514293168251	63.56453660498779	63.450418704707815	63.542434183055335	67.05367916914705	70.06786480992821	61.363066281199536	64.1470693766634	55.571814292778704	58.31996632166748	101.85152469299557	83.57556067556338	71.36560359523781	62.930826328062544	60.54443421249678	65.45673769284305	66.26718422925376	71.50971002691637	62.332261520759644
Musq_23_24	49.48207705597231	52.78586656151662	0.0	50.392274658188946	51.58005217579103	54.595329360102525	51.61866850267003	52.85350161381515	52.585901473316866	52.35860950591939	56.43256392064988	59.97032475306552	50.77059932398227	53.681464060569496	48.47065737926149	52.19396331909083	107.1438924147796	89.27740754280485	77.60026368267414	68.06798082195	64.41906961501397	69.34809182855575	68.45981717951514	75.01800194946601	63.91102402164631
Musq_25_24	55.66958432946797	59.949804270804364	50.392274658188946	0.0	47.97131051159593	48.433290586516314	49.02141568941234	50.19022406552657	47.83790488397193	50.44711719854382	52.997394082757545	56.51344723299393	47.49755378659999	54.53653234124736	50.01338823440953	58.0888502895187	111.12352096135339	93.3793139480169	84.33943156732693	74.98208383389509	70.5174228942065	75.2131091496967	72.44830617799181	80.13811959821113	67.90511896741452
Musq_27_24	59.24224544008704	64.14952618851405	51.58005217579103	47.97131051159593	0.0	49.26853679712986	46.480104813539434	45.52039861255974	48.1918394316265	47.10083539630525	50.03900253226864	51.80052825092341	46.5197883358309	52.767924046437756	54.25629638043776	57.98086822954338	114.07936937718559	97.21508507065077	87.21599977862752	78.09179605215104	73.75702066800659	77.90852496982171	75.27459363992648	83.85940532212354	71.31149351977456
Musq_29_24	60.8915004478334	66.47043040733662	54.595329360102525	48.433290586516314	49.26853679712986	0.0	46.4900662620227	44.660776218081025	46.73876757592465	47.79751420494734	49.89235243984066	51.42121590540505	45.9869611335241	55.03169806563177	53.78122526549071	60.93564535542756	115.31789627641956	98.08439713548682	89.47160121002504	80.30645396887418	75.65842275189763	79.54419835728048	77.31968205792275	85.16505495475822	73.4250594213251
Musq_31_24	58.466807263191306	63.80514293168251	51.61866850267003	49.02141568941234	46.480104813539434	46.4900662620227	0.0	46.29175269375879	46.03348846782003	45.42376471978135	48.877600988395635	52.578856004799945	44.585808985641904	53.643553599897764	52.21249295556828	56.74901957293737	110.88120934321533	94.16874301529928	84.87916092910666	75.85464596899001	72.4576646075548	77.96248092563106	76.25682321868705	84.14801319434375	72.30005601727247
Zone_2B_1_24	59.26054557655565	63.56453660498779	52.85350161381515	50.19022406552657	45.52039861255974	44.660776218081025	46.29175269375879	0.0	43.515915118409325	44.107543848755284	46.67804201172271	51.78919811830956	43.576189227001045	52.553344760442485	51.22947106503937	58.19143789582675	112.56789633687806	95.7390170692977	86.3601367450396	77.52221524236104	73.35624619039865	77.17350606238496	74.67347796754711	82.53141436981144	70.64059177313676
Zone_2B_2_24	59.978708045888	63.450418704707815	52.585901473316866	47.83790488397193	48.1918394316265	46.73876757592465	46.03348846782003	43.515915118409325	0.0	46.239190102489374	47.8767461313579	50.684922231203	43.97238744583119	54.21905500016335	53.09264172794575	60.1884109291326	114.2827952894554	97.41487805709869	87.69036900136241	78.25633493215379	74.07974579218336	77.44586494832805	74.60726993219501	82.79569561310687	70.45601991367732
Zone_2B_3_24	61.06974900123485	63.542434183055335	52.35860950591939	50.44711719854382	47.10083539630525	47.79751420494734	45.42376471978135	44.107543848755284	46.239190102489374	0.0	46.94884544181826	48.62799743835512	46.23987384245598	52.214076248707094	53.71972186370463	59.239068424852526	113.06273076062232	96.32316444332818	86.74698076342484	77.50165481744385	72.83639415343418	76.80410989998471	74.19690333519365	82.32583582397343	70.78411296248039
