	Musq_19_24	Musq_21_24	Musq_23_24	Musq_25_24	Musq_27_24	Musq_29_24	Musq_31_24	Zone_2B_1_24	Zone_2B_2_24	Zone_2B_3_24	Zone_3_1_24	Zone_3_3_24	Zone_3_2_24	Zone_2A_12_24	Zone_2A_10_24	Zone_2A_1_24	Musq_01_24	Musq_03_24	Musq_05_24	Musq_07_24	Musq_09_24	Musq_11_24	Musq_13_24	Musq_15_24	Musq_17_24
Musq_19_24	0.0	0.1506	0.09	0.11745	0.14425	0.14965	0.1303	0.15195	0.14105	0.1744	0.14525	0.15565	0.1404	0.16535	0.09315	0.1224	0.40295	0.289	0.2239	0.20375	0.12435	0.1607	0.1915	0.1827	0.1571
Musq_21_24	0.1506	0.0	0.1343	0.1655	0.22765	0.19445	0.19545	0.1662	0.164	0.17295	0.2102	0.23845	0.16925	0.138	0.14005	0.1469	0.43285	0.3512	0.2828	0.2585	0.178	0.16325	0.27905	0.20965	0.2247
Musq_23_24	0.09	0.1343	0.0	0.10805	0.1477	0.1249	0.1058	0.1218	0.1258	0.139	0.13955	0.1511	0.11185	0.128	0.09485	0.1293	0.4212	0.31955	0.2492	0.21805	0.1481	0.17095	0.217	0.1818	0.17285
Musq_25_24	0.11745	0.1655	0.10805	0.0	0.1093	0.0838	0.0811	0.10565	0.09205	0.1142	0.09385	0.1244	0.11705	0.14785	0.12295	0.1481	0.4496	0.3547	0.2938	0.26185	0.1759	0.18395	0.20695	0.189	0.1648
Musq_27_24	0.14425	0.22765	0.1477	0.1093	0.0	0.13485	0.11765	0.15415	0.1333	0.162	0.1144	0.10465	0.15465	0.1968	0.15755	0.1884	0.46215	0.3559	0.29485	0.2579	0.1825	0.2224	0.19395	0.20395	0.1647
Musq_29_24	0.14965	0.19445	0.1249	0.0838	0.13485	0.0	0.07455	0.10105	0.09945	0.10915	0.1035	0.1265	0.11065	0.14765	0.13985	0.1679	0.46575	0.37835	0.3207	0.2844	0.218	0.2097	0.23685	0.20635	0.1915
Musq_31_24	0.1303	0.19545	0.1058	0.0811	0.11765	0.07455	0.0	0.10325	0.09365	0.10325	0.0996	0.12195	0.09495	0.1434	0.1231	0.1585	0.4575	0.35975	0.2981	0.2648	0.2037	0.21425	0.2332	0.2037	0.19145
Zone_2B_1_24	0.15195	0.1662	0.1218	0.10565	0.15415	0.10105	0.10325	0.0	0.07295	0.0767	0.12805	0.1463	0.08435	0.10455	0.12195	0.12225	0.4636	0.37585	0.31725	0.2802	0.2156	0.2034	0.24385	0.22875	0.197
Zone_2B_2_24	0.14105	0.164	0.1258	0.09205	0.1333	0.09945	0.09365	0.07295	0.0	0.08195	0.09615	0.1307	0.10395	0.12945	0.1167	0.129	0.4592	0.37075	0.3118	0.28125	0.2045	0.20115	0.235	0.2227	0.1966
Zone_2B_3_24	0.1744	0.17295	0.139	0.1142	0.162	0.10915	0.10325	0.0767	0.08195	0.0	0.12115	0.1395	0.10255	0.1149	0.14385	0.1462	0.4784	0.39365	0.3336	0.29845	0.2357	0.22105	0.25765	0.2391	0.21705
Zone_3_1_24	0.14525	0.2102	0.13955	0.09385	0.1144	0.1035	0.0996	0.12805	0.09615	0.12115	0.0	0.11025	0.1401	0.1767	0.1496	0.17515	0.4691	0.3742	0.31675	0.28085	0.20835	0.2162	0.2218	0.22505	0.19245
Zone_3_3_24	0.15565	0.23845	0.1511	0.1244	0.10465	0.1265	0.12195	0.1463	0.1307	0.1395	0.11025	0.0	0.16285	0.1889	0.1595	0.2012	0.47425	0.35425	0.29575	0.2569	0.20125	0.23605	0.20005	0.22055	0.16965
Zone_3_2_24	0.1404	0.16925	0.11185	0.11705	0.15465	0.11065	0.09495	0.08435	0.10395	0.10255	0.1401	0.16285	0.0	0.1049	0.1054	0.1083	0.4464	0.3489	0.29195	0.2566	0.19535	0.20605	0.24445	0.2046	0.19515
Zone_2A_12_24	0.16535	0.138	0.128	0.14785	0.1968	0.14765	0.1434	0.10455	0.12945	0.1149	0.1767	0.1889	0.1049	0.0	0.1374	0.12455	0.4516	0.3726	0.30225	0.27795	0.21045	0.1813	0.27605	0.22295	0.22985
Zone_2A_10_24	0.09315	0.14005	0.09485	0.12295	0.15755	0.13985	0.1231	0.12195	0.1167	0.14385	0.1496	0.1595	0.1054	0.1374	0.0	0.0999	0.4159	0.3027	0.24605	0.21575	0.1588	0.18965	0.21985	0.20775	0.18315
Zone_2A_1_24	0.1224	0.1469	0.1293	0.1481	0.1884	0.1679	0.1585	0.12225	0.129	0.1462	0.17515	0.2012	0.1083	0.12455	0.0999	0.0	0.41815	0.32595	0.26875	0.24715	0.1737	0.18205	0.2447	0.21615	0.19955
Musq_01_24	0.40295	0.43285	0.4212	0.4496	0.46215	0.46575	0.4575	0.4636	0.4592	0.4784	0.4691	0.47425	0.4464	0.4516	0.4159	0.41815	0.0	0.1957	0.2586	0.3017	0.33655	0.37385	0.43495	0.39185	0.4303
Musq_03_24	0.289	0.3512	0.31955	0.3547	0.3559	0.37835	0.35975	0.37585	0.37075	0.39365	0.3742	0.35425	0.3489	0.3726	0.3027	0.32595	0.1957	0.0	0.12095	0.16165	0.22475	0.2888	0.32145	0.30875	0.32295
Musq_05_24	0.2239	0.2828	0.2492	0.2938	0.29485	0.3207	0.2981	0.31725	0.3118	0.3336	0.31675	0.29575	0.29195	0.30225	0.24605	0.26875	0.2586	0.12095	0.0	0.10755	0.16085	0.21535	0.272	0.2567	0.27655
Musq_07_24	0.20375	0.2585	0.21805	0.26185	0.2579	0.2844	0.2648	0.2802	0.28125	0.29845	0.28085	0.2569	0.2566	0.27795	0.21575	0.24715	0.3017	0.16165	0.10755	0.0	0.1503	0.19735	0.21135	0.22115	0.22845
Musq_09_24	0.12435	0.178	0.1481	0.1759	0.1825	0.218	0.2037	0.2156	0.2045	0.2357	0.20835	0.20125	0.19535	0.21045	0.1588	0.1737	0.33655	0.22475	0.16085	0.1503	0.0	0.12975	0.1823	0.1632	0.16875
Musq_11_24	0.1607	0.16325	0.17095	0.18395	0.2224	0.2097	0.21425	0.2034	0.20115	0.22105	0.2162	0.23605	0.20605	0.1813	0.18965	0.18205	0.37385	0.2888	0.21535	0.19735	0.12975	0.0	0.2252	0.1534	0.19
