Fundulus heteroclitus	305	437	787	180	1
Microgadus tomcod	85	142	841	206	1
Osmerus mordax	15	20	86	80	1
Pseudopleuronectes americanus	30	0	0	9	1
Brevoortia tyrannus	0	105	40	23	0
Menidia menidia	0	0	88	24	1
Anguilla rostrata	0	10	0	0	1
Phocoena phocoena	0	0	125	7	0
Merluccius bilinearis	10	0	0	0	0
Morone saxatilis	0	215	0	0	0
Catostomus commersonii	0	205	0	0	0
Scomber scombrus	0	0	105	0	0
Urophycis tenuis	0	0	64	0	0
Tautogolabrus adspersus	0	0	10	0	0
Brevoortia patronus	0	0	5	0	0
Squalus acanthias	0	0	0	17	0
Zoarces americanus	0	0	0	9	0
