Species,2022,2023,2024,2025,Singh et al. 2000,Reinhart et al. 2025,Musq Benthic Infauna
Dynamena pumila,80,1037,179,157,1,1,1
Semibalanus balanoides,114,595,155,80,1,1,1
Carcinus maenas,64,46,268,53,1,1,1
Electra pilosa,9410,12319,23953,1764,1,1,0
Halichondria panicea,26,96,153,43,1,1,0
Corophium volutator,263,27,410,176,1,0,1
Littorina obtusata,0,95,63,14,1,1,1
Flustra foliacea,691,654,338,209,1,0,0
Membranipora membranacea,1147,3351,16938,2476,0,1,0
Oithona similis,2914,2759,366,40,0,1,0
Centropages hamatus,40,456,983,524,0,1,0
Polydora cornuta,1944,111870,73910,52,0,0,1
Heteranomia squamula,7381,14203,8062,19902,0,0,1
Amphibalanus improvisus,675,15075,11695,39,0,0,1
Sabellaria vulgaris,31,15244,75,662,0,0,1
Streblospio benedicti,122,332,1294,632,0,0,1
Tubificoides benedii,17,104,208,16,0,0,1
Centropages typicus,305,7293,30,0,0,1,1
Hediste diversicolor,33,28,0,10,1,0,1
Ninoe nigripes,0,13309,104,26,1,0,1
Alitta virens,0,17,1025,159,1,0,1
Mya arenaria,0,37,28,12,1,0,1
Nucula proxima,0,3136,204,1647,0,1,1
Balanus crenatus,0,10286,39,0,1,1,1
Littorina littorea,0,52,99,0,1,1,1
Lacuna vincta,0,58,0,10,1,1,1
Littorina saxatilis,0,0,21,20,1,1,1
Hartlaubella gelatinosa,606,6079,7411,622,0,0,0
Paracalanus parvus,765,6015,688,416,0,0,0
Alcyonidium polyoum,2140,83,322,85,0,0,0
Halecium halecinum,235,174,466,589,0,0,0
Obelia dichotoma,174,115,592,132,0,0,0
Obelia geniculata,209,36,56,63,0,0,0
Amathia gracilis,7,119,23,18,0,0,0
Modiolus modiolus,158,19635,0,0,1,1,0
Capitella capitata,54752,130,0,0,1,0,1
Strongylocentrotus droebachiensis,13,0,88,0,1,1,0
Leptasterias littoralis,0,57,21,9,1,0,0
Clava multicornis,0,20,22,11,0,1,0
Mytilus edulis,0,14,0,0,1,1,1
Tubularia indivisa,24,13,0,12,0,0,0
Pleurobrachia pileus,22,6576,0,0,1,0,0
Spisula solidissima,301,142,0,0,0,1,0
Nicolea zostericola,40,0,53,99,0,0,0
Nanomia cara,87,0,6,17,0,0,0
Balanus balanus,19,0,0,0,1,1,0
Laomedea flexuosa,0,237,5,489,0,0,0
Marenzelleria viridis,0,21,150,24,0,0,0
Orchestia grillus,0,0,9,11,1,0,0
Clymenella torquata,0,0,110,226,0,0,1
Calycella syringa,0,0,17,48,0,0,1
Pherusa affinis,0,0,25,21,0,0,1
Euspira heros,0,0,0,0,1,1,1
Pygospio elegans,0,0,0,0,1,1,1
Anomia simplex,0,0,0,0,1,1,1
Eurytemora affinis,964,14256,0,0,0,0,0
Pseudocalanus moultoni,357,656,0,0,0,0,0
Metridia lucens,41,0,0,0,0,1,0
Yoldia limatula,13,0,0,0,0,0,1
Echinarachnius parma,0,7594,0,7,0,0,0
Pseudocalanus newmani,0,1915,0,194,0,0,0
Siphonenteron bicolour,0,5564,0,0,1,0,0
Placopecten magellanicus,0,80,0,0,1,0,0
Gammarus lawrencianus,0,32,0,0,1,0,0
Lineus viridis,0,33,0,0,0,1,0
Arctica islandica,0,4080,0,0,0,0,1
Parvicardium pinnulatum,0,127,0,0,0,0,1
Terebellides stroemii,0,85,0,0,0,0,1
Obelia longissima,0,0,160,7098,0,0,0
Dodecaceria concharum,0,0,29,17,0,0,0
Gonothyraea loveni,0,0,32,12,0,0,0
Dendrobeania murrayana,0,0,27,12,0,0,0
Henricia sanguinolenta,0,0,9,0,1,0,0
Stereobalanus canadensis,0,0,46,0,0,0,1
Ophelina acuminata,0,0,27,0,0,0,1
Sternaspis scutata,0,0,19,0,0,0,1
Polycirrus eximius,0,0,15,0,0,0,1
Zoarces americanus,0,0,0,9,1,0,0
Onchidoris muricata,0,0,0,6,1,0,0
Caberea ellisii,0,0,0,10,0,1,0
Monocorophium insidiosum,0,0,0,13,0,0,1
Nucella lapillus,0,0,0,0,1,1,0
Idotea baltica,0,0,0,0,1,1,0
Gammarus oceanicus,0,0,0,0,1,1,0
Enchytraeus albidus,0,0,0,0,1,1,0
Urticina felina,0,0,0,0,1,1,0
Asterias forbesi,0,0,0,0,1,1,0
Asterias rubens,0,0,0,0,1,1,0
Calliopius laeviusculus,0,0,0,0,1,1,0
Buccinum undatum,0,0,0,0,1,1,0
Crangon septemspinosa,0,0,0,0,1,0,1
Goniada maculata,0,0,0,0,1,0,1
Saccoglossus kowalevskii,0,0,0,0,1,0,1
Macoma balthica,0,0,0,0,1,0,1
Nephtys incisa,0,0,0,0,1,0,1
Ilyanassa trivittata,0,0,0,0,1,0,1
Harmothoe imbricata,0,0,0,0,1,0,1
Glycera dibranchiata,0,0,0,0,1,0,1
Phyllodoce maculata,0,0,0,0,1,0,1
Eulalia viridis,0,0,0,0,1,0,1
Eteone longa,0,0,0,0,1,0,1
Scoletoma fragilis,0,0,0,0,1,0,1
Adalaria proxima,0,0,0,0,1,0,1
Protodorvillea kefersteini,0,0,0,0,0,1,1
Diastylis sculpta,0,0,0,0,0,1,1
Ecrobia truncata,0,0,0,0,0,1,1
Marinogammarus obtusatus,0,0,0,0,0,1,1
Margarites helicinus,0,0,0,0,0,1,1
Mancocuma stellifera,0,0,0,0,0,1,1
Paraonis fulgens,0,0,0,0,0,1,1
Fabricia stellaris,0,0,0,0,0,1,1
Scolelepis squamata,0,0,0,0,0,1,1
Spiophanes bombyx,0,0,0,0,0,1,1
Celleporella hyalina,0,0,0,0,0,1,1
