Species,2025_Leary Primer,2025_Leray full set,2025_New Primer,Singh et al. 2000
Alitta virens,37,159,243,1
Sabellaria vulgaris,26,662,1618,0
Myrianida prolifera,9,16,13,0
Flustra foliacea,47,209,0,1
Microgadus tomcod,38,206,0,1
Corophium volutator,40,176,0,1
Fundulus heteroclitus,18,180,0,1
Dynamena pumila,9,157,0,1
Osmerus mordax,31,80,0,1
Carcinus maenas,14,53,0,1
Menidia menidia,10,24,0,1
Littorina obtusata,10,14,0,1
Electra pilosa,0,1764,76,1
Semibalanus balanoides,0,80,542,1
Heteranomia squamula,3727,19902,0,0
Obelia longissima,7005,7098,0,0
Membranipora membranacea,30,2476,0,0
Nucula proxima,224,1647,0,0
Hartlaubella gelatinosa,146,622,0,0
Streblospio benedicti,119,632,0,0
Halecium halecinum,94,589,0,0
Clymenella torquata,28,226,0,0
Nicolea zostericola,9,99,0,0
Obelia geniculata,38,63,0,0
Polydora cornuta,23,52,0,0
Oithona similis,0,40,94,0
Halichondria panicea,0,43,0,1
Ninoe nigripes,0,26,0,1
Littorina saxatilis,0,20,0,1
Mya arenaria,0,12,0,1
Orchestia grillus,0,11,0,1
Hediste diversicolor,0,10,0,1
Lacuna vincta,0,10,0,1
Pseudopleuronectes americanus,0,9,0,1
Leptasterias littoralis,0,9,0,1
Centropages hamatus,0,524,0,0
Laomedea flexuosa,0,489,0,0
Paracalanus parvus,0,416,0,0
Pista maculata,0,312,0,0
Pseudocalanus newmani,0,194,0,0
Obelia dichotoma,0,132,0,0
Alcyonidium polyoum,0,85,0,0
Calycella syringa,0,48,0,0
Amphibalanus improvisus,0,39,0,0
Marenzelleria viridis,0,24,0,0
Brevoortia tyrannus,0,23,0,0
Pherusa affinis,0,21,0,0
Amathia gracilis,0,18,0,0
Nanomia cara,0,17,0,0
Squalus acanthias,0,17,0,0
Dodecaceria concharum,0,17,0,0
Tubificoides benedii,0,16,0,0
Evadne nordmanni,0,14,0,0
Monocorophium insidiosum,0,13,0,0
Dendrobeania murrayana,0,12,0,0
Gonothyraea loveni,0,12,0,0
Tubularia indivisa,0,12,0,0
Amathia imbricata,0,11,0,0
Clava multicornis,0,11,0,0
Caberea ellisii,0,10,0,0
Zoarces americanus,0,9,0,0
Illex coindetii,0,9,0,0
Phocoena phocoena,0,7,0,0
Echinarachnius parma,0,7,0,0
Onchidoris muricata,0,6,0,0
Centropages typicus,0,0,4118,0
Cancer borealis,0,0,132,0
Stereobalanus canadensis,0,0,91,0
Gammarus lawrencianus,0,0,0,1
Modiolus modiolus,0,0,0,1
Strongylocentrotus droebachiensis,0,0,0,1
Henricia sanguinolenta,0,0,0,1
Mytilus edulis,0,0,0,1
Anguilla rostrata,0,0,0,1
Siphonenteron bicolour,0,0,0,1
Capitella capitata,0,0,0,1
Balanus balanus,0,0,0,1
Balanus crenatus,0,0,0,1
Pleurobrachia pileus,0,0,0,1
Placopecten magellanicus,0,0,0,1
Littorina littorea,0,0,0,1
