Taxonomy,Species,Zone_1_2025_Leary Primer,Zone_2A_2025_Leary Primer,Zone_2B_2025_Leary Primer,Zone_1_2025_Leray full set,Zone_2A_2025_Leray full set,Zone_2B_2025_Leray full set,Zone_3_2025_Leray full set,Zone_1_2025_New Primer,Zone_2A_2025_New Primer,Zone_2B_2025_New Primer,Singh et al. 2000
k__Metazoa;p__Mollusca;c__Bivalvia;o__Pectinida;f__Anomiidae;g__Heteranomia;s__Heteranomia squamula (bivalves),Heteranomia squamula,1723,1286,718,5375,6372,3866,4289,0,0,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Obeliidae;g__Obelia;s__Obelia longissima (hydrozoans),Obelia longissima,6999,0,6,7071,21,6,0,0,0,0,0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Centropagidae;g__Centropages;s__Centropages typicus (copepods),Centropages typicus,0,0,0,0,0,0,0,3886,232,0,0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Membraniporidae;g__Membranipora;s__Membranipora membranacea (bryozoans),Membranipora membranacea,4,20,6,605,774,495,602,0,0,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Sabellida;f__Sabellariidae;g__Sabellaria;s__Sabellaria vulgaris (polychaetes),Sabellaria vulgaris,22,0,4,84,30,531,17,1541,46,31,0
k__Metazoa;p__Mollusca;c__Bivalvia;o__Nuculida;f__Nuculidae;g__Nucula;s__Nucula proxima (atlantic nutclam),Nucula proxima,134,76,14,1214,392,14,27,0,0,0,0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Electridae;g__Electra;s__Electra pilosa (bryozoans),Electra pilosa,0,0,0,468,730,106,460,0,15,61,1
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Campanulariidae;g__Hartlaubella;s__Hartlaubella gelatinosa (hydrozoans),Hartlaubella gelatinosa,118,28,0,505,46,32,39,0,0,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Spionida;f__Spionidae;g__Streblospio;s__Streblospio benedicti (polychaetes),Streblospio benedicti,78,41,0,493,127,0,12,0,0,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Haleciidae;g__Halecium;s__Halecium halecinum (hydrozoans),Halecium halecinum,7,68,19,46,266,103,174,0,0,0,0
