Species	2022 Complete set
Spisula solidissima	301
Electra pilosa	9410
Membranipora membranacea	1147
Pseudocalanus moultoni	357
Microgadus tomcod	85
Amphibalanus improvisus	675
Tubificoides benedii	17
Clausocalanus pergens	296
Paracalanus parvus	765
Merluccius bilinearis	10
Metridia lucens	41
Balanus balanus	19
Dynamena pumila	80
Nicolea zostericola	40
Flustra foliacea	691
Modiolus modiolus	158
Centropages typicus	305
Streblospio benedicti	122
Pseudopleuronectes americanus	30
Hartlaubella gelatinosa	606
Amathia gracilis	7
Halichondria panicea	26
Palio dubia	448
Carcinus maenas	64
Pleurobrachia pileus	22
Yoldia limatula	13
Strongylocentrotus droebachiensis	13
Corophium volutator	263
Capitella capitata	54752
Centropages hamatus	40
Alcyonidium polyoum	2140
Tubularia indivisa	24
Halecium halecinum	235
Eurytemora affinis	964
Oithona similis	2914
Osmerus mordax	15
Polydora cornuta	1944
Sabellaria vulgaris	31
Obelia dichotoma	174
Hediste diversicolor	33
Bougainvillia muscus	17
Semibalanus balanoides	114
Heteranomia squamula	7381
Nanomia cara	87
Obelia geniculata	209
Fundulus heteroclitus	305

