Species,2025_Leray,2025_New Primer,2025 All data
Sabellaria vulgaris,26,1618,1
Alitta virens,37,243,1
Myrianida prolifera,9,13,1
Obelia longissima,7005,0,1
Heteranomia squamula,3727,0,1
Nucula proxima,224,0,1
Hartlaubella gelatinosa,146,0,1
Streblospio benedicti,119,0,1
Halecium halecinum,94,0,1
Flustra foliacea,47,0,1
Corophium volutator,40,0,1
Obelia geniculata,38,0,1
Microgadus tomcod,38,0,1
Osmerus mordax,31,0,1
Membranipora membranacea,30,0,1
Clymenella torquata,28,0,1
Polydora cornuta,23,0,1
Fundulus heteroclitus,18,0,1
Carcinus maenas,14,0,1
Menidia menidia,10,0,1
Littorina obtusata,10,0,1
Dynamena pumila,9,0,1
Nicolea zostericola,9,0,1
Centropages typicus,0,4118,1
Semibalanus balanoides,0,542,1
Oithona similis,0,94,1
Stereobalanus canadensis,0,91,1
Electra pilosa,0,76,1
Cancer borealis,0,132,0
Obelia dichotoma,0,0,1
Nanomia cara,0,0,1
Nephtys caeca,0,0,1
Ninoe nigripes,0,0,1
Ophelina acuminata,0,0,1
Myxine limosa,0,0,1
Myxine glutinosa,0,0,1
Onchidoris bilamellata,0,0,1
Onchidoris muricata,0,0,1
Nereis pelagica,0,0,1
Neochildia fusca,0,0,1
Neomysis americana,0,0,1
Acanthodoris pilosa,0,0,1
Orchestia grillus,0,0,1
Paracalanus parvus,0,0,1
Urophycis tenuis,0,0,1
Tubularia indivisa,0,0,1
Tubificoides benedii,0,0,1
Tetrastemma candidum,0,0,1
Terebellides stroemii,0,0,1
Tautogolabrus adspersus,0,0,1
Strongylocentrotus droebachiensis,0,0,1
Sternaspis scutata,0,0,1
Squalus acanthias,0,0,1
Scomber scombrus,0,0,1
Pseudopleuronectes americanus,0,0,1
Pseudocalanus newmani,0,0,1
Pseudocalanus moultoni,0,0,1
Priapulus caudatus,0,0,1
Pontogeneia inermis,0,0,1
Polycirrus eximius,0,0,1
Pleopis polyphemoides,0,0,1
Pista maculata,0,0,1
Phocoena phocoena,0,0,1
Pherusa affinis,0,0,1
Parasagitta elegans,0,0,1
Mytilus trossulus,0,0,1
Littorina saxatilis,0,0,1
Mya arenaria,0,0,1
Dodecaceria concharum,0,0,1
Clytia hemisphaerica,0,0,1
Clupea harengus,0,0,1
Clava multicornis,0,0,1
Chone infundibuliformis,0,0,1
Centropages hamatus,0,0,1
Capitella capitata,0,0,1
Cancer irroratus,0,0,1
Calycella syringa,0,0,1
Caberea ellisii,0,0,1
Brevoortia tyrannus,0,0,1
Brevoortia patronus,0,0,1
Bougainvillia muscus,0,0,1
Boltenia echinata,0,0,1
Balanus crenatus,0,0,1
Balanus balanus,0,0,1
Apeltes quadracus,0,0,1
Anobothrus gracilis,0,0,1
Amphibalanus improvisus,0,0,1
Amathia imbricata,0,0,1
Amathia gracilis,0,0,1
Alderia modesta,0,0,1
Dendrobeania murrayana,0,0,1
Echinarachnius parma,0,0,1
Morone saxatilis,0,0,1
Eubranchus exiguus,0,0,1
Monocorophium insidiosum,0,0,1
Modiolus modiolus,0,0,1
Marenzelleria viridis,0,0,1
Alcyonidium polyoum,0,0,1
Littorina littorea,0,0,1
Leucoraja erinaceus,0,0,1
Leuckartiara octona,0,0,1
Leptasterias littoralis,0,0,1
Laomedea flexuosa,0,0,1
Lafoea dumosa,0,0,1
Lacuna vincta,0,0,1
Ilyanassa trivittata,0,0,1
Illex coindetii,0,0,1
Hediste diversicolor,0,0,1
Haliclystus auricula,0,0,1
Halichondria panicea,0,0,1
Gonothyraea loveni,0,0,1
Gammarus mucronatus,0,0,1
Flustrellidra hispida,0,0,1
Evadne nordmanni,0,0,1
Eubranchus tricolor,0,0,1
Zoarces americanus,0,0,1
