Taxonomy,Species,Zone_1_2025_Leray,Zone_2A_2025_Leray,Zone_2B_2025_Leray,Zone_1_2025_New Primer,Zone_2A_2025_New Primer,Zone_2B_2025_New Primer,2025 All data
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Obeliidae;g__Obelia;s__Obelia longissima (hydrozoans),Obelia longissima,6999,0,6,0,0,0,1
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Centropagidae;g__Centropages;s__Centropages typicus (copepods),Centropages typicus,0,0,0,3886,232,0,1
k__Metazoa;p__Mollusca;c__Bivalvia;o__Pectinida;f__Anomiidae;g__Heteranomia;s__Heteranomia squamula (bivalves),Heteranomia squamula,1723,1286,718,0,0,0,1
k__Metazoa;p__Annelida;c__Polychaeta;o__Sabellida;f__Sabellariidae;g__Sabellaria;s__Sabellaria vulgaris (polychaetes),Sabellaria vulgaris,22,0,4,1541,46,31,1
k__Metazoa;p__Arthropoda;c__Thecostraca;o__Balanomorpha;f__Balanidae;g__Semibalanus;s__Semibalanus balanoides (northern acorn barnacle),Semibalanus balanoides,0,0,0,81,240,221,1
k__Metazoa;p__Annelida;c__Polychaeta;o__Phyllodocida;f__Nereididae;g__Alitta;s__Alitta virens (sandworms),Alitta virens,17,20,0,213,30,0,1
k__Metazoa;p__Mollusca;c__Bivalvia;o__Nuculida;f__Nuculidae;g__Nucula;s__Nucula proxima (atlantic nutclam),Nucula proxima,134,76,14,0,0,0,1
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Campanulariidae;g__Hartlaubella;s__Hartlaubella gelatinosa (hydrozoans),Hartlaubella gelatinosa,118,28,0,0,0,0,1
k__Metazoa;p__Arthropoda;c__Malacostraca;o__Decapoda;f__Cancridae;g__Cancer;s__Cancer borealis (Jonah crab),Cancer borealis,0,0,0,0,47,85,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Spionida;f__Spionidae;g__Streblospio;s__Streblospio benedicti (polychaetes),Streblospio benedicti,78,41,0,0,0,0,1
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Haleciidae;g__Halecium;s__Halecium halecinum (hydrozoans),Halecium halecinum,7,68,19,0,0,0,1
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Cyclopoida;f__Oithonidae;g__Oithona;s__Oithona similis (copepods),Oithona similis,0,0,0,30,0,64,1
k__Metazoa;p__Hemichordata;c__Enteropneusta;o__unclassified Enteropneusta order;f__Harrimaniidae;g__Stereobalanus;s__Stereobalanus canadensis (acorn worms),Stereobalanus canadensis,0,0,0,0,9,82,1
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Electridae;g__Electra;s__Electra pilosa (bryozoans),Electra pilosa,0,0,0,0,15,61,1
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Flustridae;g__Flustra;s__Flustra foliacea (greater hornwrack),Flustra foliacea,0,32,15,0,0,0,1
"k__Metazoa;p__Arthropoda;c__Malacostraca;o__Amphipoda;f__Corophiidae;g__Corophium;s__Corophium volutator (beach hoppers, scuds and well shrimps)",Corophium volutator,40,0,0,0,0,0,1
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Obeliidae;g__Obelia;s__Obelia geniculata (knotted thread hydroid),Obelia geniculata,0,21,17,0,0,0,1
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__Microgadus tomcod (Atlantic tomcod),Microgadus tomcod,38,0,0,0,0,0,1
k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Osmerus;s__Osmerus mordax (rainbow smelt),Osmerus mordax,31,0,0,0,0,0,1
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Membraniporidae;g__Membranipora;s__Membranipora membranacea (bryozoans),Membranipora membranacea,4,20,6,0,0,0,1
k__Metazoa;p__Annelida;c__Polychaeta;o__;f__Maldanidae;g__Clymenella;s__Clymenella torquata (bamboo worm),Clymenella torquata,16,12,0,0,0,0,1
k__Metazoa;p__Annelida;c__Polychaeta;o__Spionida;f__Spionidae;g__Polydora;s__Polydora cornuta (polychaetes),Polydora cornuta,23,0,0,0,0,0,1
k__Metazoa;p__Annelida;c__Polychaeta;o__Phyllodocida;f__Syllidae;g__Myrianida;s__Myrianida prolifera (polychaetes),Myrianida prolifera,3,0,6,10,0,3,1
k__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Fundulidae;g__Fundulus;s__Fundulus heteroclitus (mummichog),Fundulus heteroclitus,18,0,0,0,0,0,1
k__Metazoa;p__Arthropoda;c__Malacostraca;o__Decapoda;f__Carcinidae;g__Carcinus;s__Carcinus maenas (green crab),Carcinus maenas,14,0,0,0,0,0,1
