Species,2022 Surface,2022 Bottom,2022 All data
Capitella capitata,20477,34222,1
Electra pilosa,1631,3337,1
Heteranomia squamula,3263,1244,1
Oithona similis,510,1387,1
Membranipora membranacea,205,375,1
Alcyonidium polyoum,17,543,1
Paracalanus parvus,176,302,1
Flustra foliacea,160,243,1
Pseudocalanus moultoni,30,176,1
Hartlaubella gelatinosa,129,39,1
Spisula solidissima,162,6,1
Centropages typicus,42,107,1
Halecium halecinum,43,61,1
Modiolus modiolus,19,78,1
Obelia geniculata,60,20,1
Dynamena pumila,13,55,1
Streblospio benedicti,31,29,1
Nanomia cara,11,47,1
Amphibalanus improvisus,18,8,1
Pleurobrachia pileus,19,3,1
Tubularia indivisa,12,9,1
Microgadus tomcod,7,12,1
Fundulus heteroclitus,55,0,1
Nicolea zostericola,40,0,1
Carcinus maenas,19,0,1
Sabellaria vulgaris,14,0,1
Obelia dichotoma,14,0,1
Strongylocentrotus droebachiensis,13,0,1
Semibalanus balanoides,0,14,1
Yoldia limatula,0,13,1
Amathia gracilis,0,7,1
Osmerus mordax,0,0,1
Palio dubia,0,0,1
Merluccius bilinearis,0,0,1
Hediste diversicolor,0,0,1
Polydora cornuta,0,0,1
Halichondria panicea,0,0,1
Pseudopleuronectes americanus,0,0,1
Eurytemora affinis,0,0,1
Corophium volutator,0,0,1
Clausocalanus pergens,0,0,1
Centropages hamatus,0,0,1
Bougainvillia muscus,0,0,1
Tubificoides benedii,0,0,1
Balanus balanus,0,0,1
Metridia lucens,0,0,1
