Taxonomy,Species,2022 All data,surface_2022 Surface,bottom_2022 Bottom
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Brevoortia;s__Brevoortia tyrannus (Atlantic menhaden),Brevoortia tyrannus,1,3345299,5559585
k__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Fundulidae;g__Fundulus;s__Fundulus heteroclitus (mummichog),Fundulus heteroclitus,1,5067961,1466359
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__Clupea harengus (Atlantic herring),Clupea harengus,1,1615357,4523163
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Brevoortia;s__Brevoortia patronus (Gulf menhaden),Brevoortia patronus,1,3140100,202
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__Microgadus tomcod (Atlantic tomcod),Microgadus tomcod,1,1811561,1153340
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Alosa;s__Alosa pseudoharengus (alewife),Alosa pseudoharengus,1,382573,2297590
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gaidropsaridae;g__Enchelyopus;s__Enchelyopus cimbrius (fourbeard rockling),Enchelyopus cimbrius,1,633,7
k__Metazoa;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Pleuronectidae;g__Reinhardtius;s__Reinhardtius hippoglossoides (Greenland flounder),Reinhardtius hippoglossoides,1,38,41
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Sebastidae;g__Sebastes;s__Sebastes mentella (deepwater redfish),Sebastes mentella,1,5,5
,Phocoena phocoena,1,0,0
,Tautogolabrus adspersus,1,0,0
,Scomber scombrus,1,0,0
,Menidia menidia,1,0,0
,Osmerus mordax,1,0,0
,Alosa sapidissima,1,0,0
,Anguilla rostrata,1,0,0
,Ammodytes dubius,1,0,0
,Urophycis chuss,1,0,0
