,Faith's PD,Year
Zone_2B_1_22,2.807826716,2022
Zone_2B_2_22,1.20966768,2022
Zone_2B_3_22,0.93956572,2022
Musq_01_22,1.538780093,2022
Musq_02_22,3.143087121,2022
Musq_04_22,0.636817758,2022
Musq_06_22,5.46790727,2022
Musq_07_22,4.584288422,2022
Musq_08_22,0.918759803,2022
Musq_11_22,1.668100119,2022
Musq_15_22,2.795428325,2022
Musq_16_22,5.069139975,2022
Musq_19_22,2.944910649,2022
Musq_26_22,3.259282743,2022
Musq_28_22,2.604453059,2022
Zone_2B_2_23,20.82491985,2023
Zone_2B_3_23,19.34129094,2023
Zone_2B_1_23,20.76293268,2023
Zone_3_1_23,30.42095721,2023
Zone_3_4_23,22.9278679,2023
Zone_3_3_23,18.74573361,2023
Zone_3_2_23,18.20424709,2023
Zone_2A_12_23,19.93291628,2023
Zone_2A_10_23,21.12701551,2023
Zone_2A_1_23,22.40007427,2023
Musq_25_23,22.54582291,2023
Musq_27_23,25.58336373,2023
Musq_29_23,25.31350983,2023
Musq_31_23,22.30060077,2023
Musq_19_23,31.41868078,2023
Musq_01_23,15.19661247,2023
Musq_03_23,21.72803599,2023
Musq_05_23,33.32692417,2023
Musq_07_23,26.69089995,2023
Musq_09_23,29.22185577,2023
Musq_11_23,28.69808819,2023
Musq_13_23,41.85720559,2023
Musq_15_23,35.28210518,2023
Musq_17_23,31.7512071,2023
Musq_21_23,22.95606911,2023
Musq_23_23,23.58280382,2023
Musq_19_24,9.697540118,2024
Musq_21_24,13.0733771,2024
Musq_23_24,11.46066186,2024
Musq_25_24,11.30241382,2024
Musq_27_24,12.99323017,2024
Musq_29_24,10.85113687,2024
Musq_31_24,11.46473954,2024
Zone_2B_1_24,13.17491868,2024
Zone_2B_2_24,12.89558275,2024
Zone_2B_3_24,10.8923914,2024
Zone_3_1_24,13.26040088,2024
Zone_3_3_24,12.49045582,2024
Zone_3_2_24,13.46379611,2024
Zone_2A_12_24,13.21649391,2024
Zone_2A_10_24,9.324950889,2024
Zone_2A_1_24,8.527436014,2024
Musq_01_24,12.28083445,2024
Musq_03_24,9.984415361,2024
Musq_05_24,13.18526343,2024
Musq_07_24,11.95952741,2024
Musq_09_24,12.95871643,2024
Musq_11_24,11.85589954,2024
Musq_13_24,13.04844293,2024
Musq_15_24,11.70869012,2024
Musq_17_24,11.00030755,2024
