Year,Zone,cld,Marker,Metric
2022,Zone_1,a,COI,Faith's PD
2022,Zone_2A,a,COI,Faith's PD
2022,Zone_2B,a,COI,Faith's PD
2022,Zone_3,a,COI,Faith's PD
2023,Zone_1,a,COI,Faith's PD
2023,Zone_2A,ab,COI,Faith's PD
2023,Zone_2B,b,COI,Faith's PD
2023,Zone_3,ab,COI,Faith's PD
2024,Zone_1,a,COI,Faith's PD
2024,Zone_2A,b,COI,Faith's PD
2024,Zone_2B,ab,COI,Faith's PD
2024,Zone_3,ab,COI,Faith's PD
2025,Zone_1,a,COI,Faith's PD
2025,Zone_2A,b,COI,Faith's PD
2025,Zone_2B,ab,COI,Faith's PD
2025,Zone_3,ab,COI,Faith's PD
