Zone,Year,Marker,Metric,n,mean,sd,median,min,max
Zone_1,2022,COI,Faith's PD,10,221.0288728181149,46.414941940615215,241.69485372060785,150.1253833584269,270.5481580365623
Zone_1,2023,COI,Faith's PD,10,175.3488220825248,19.139035671504256,172.6696029566275,148.2486791048274,210.0537418772624
Zone_1,2024,COI,Faith's PD,10,98.34970592296939,21.390875477788725,96.78996154494669,69.30688966811587,134.2603365846126
Zone_1,2025,COI,Faith's PD,10,84.19074613543782,10.381830371451402,84.42518907117548,62.12437685692471,96.8245793920096
Zone_2A,2022,COI,Faith's PD,8,206.11547681054142,33.139567374528156,200.57771554382782,159.2579141115656,252.9856697283939
Zone_2A,2023,COI,Faith's PD,8,181.43883527437373,15.40406119235473,179.67939715648043,158.9390828374644,208.8900277584775
Zone_2A,2024,COI,Faith's PD,8,75.05968543653123,3.7129795373099697,74.69483799797223,68.99884492331334,81.63629455959321
Zone_2A,2025,COI,Faith's PD,8,64.09706271759427,9.851349848742716,64.59170986928814,50.65019122756473,75.90672543650699
Zone_2B,2022,COI,Faith's PD,3,209.42568337039208,30.77142221542857,218.7945147913641,175.0587951632587,234.4237401565534
Zone_2B,2023,COI,Faith's PD,3,230.3791980882285,11.917613671749201,237.0373429959187,216.620296037491,237.4799552312758
Zone_2B,2024,COI,Faith's PD,3,74.67028966265552,1.9630886797375318,75.5967593417257,72.4154193649883,75.99869028125256
Zone_2B,2025,COI,Faith's PD,3,70.55948761377707,12.806079862316967,64.17499930230643,62.20078318549725,85.30268035352752
Zone_3,2022,COI,Faith's PD,5,183.638748133803,14.606967381889312,178.3084036191684,170.2992605755496,206.9517896557688
Zone_3,2023,COI,Faith's PD,5,198.01220480064998,23.87514085168556,200.0404676656625,173.2491114924726,224.5325282261803
Zone_3,2024,COI,Faith's PD,4,73.76385332161726,8.96362228867477,72.30390175555772,65.40118047755094,85.0464292978027
Zone_3,2025,COI,Faith's PD,4,73.61450202980929,11.9397484184359,75.06873956070594,58.18283723929623,86.13769175852907
