Year,Zone,cld,Marker,Metric
2022,Zone_1,a,COI,Observed Features (ASVs)
2022,Zone_2A,a,COI,Observed Features (ASVs)
2022,Zone_2B,a,COI,Observed Features (ASVs)
2022,Zone_3,a,COI,Observed Features (ASVs)
2023,Zone_1,a,COI,Observed Features (ASVs)
2023,Zone_2A,b,COI,Observed Features (ASVs)
2023,Zone_2B,b,COI,Observed Features (ASVs)
2023,Zone_3,b,COI,Observed Features (ASVs)
2024,Zone_1,a,COI,Observed Features (ASVs)
2024,Zone_2A,ab,COI,Observed Features (ASVs)
2024,Zone_2B,b,COI,Observed Features (ASVs)
2024,Zone_3,b,COI,Observed Features (ASVs)
2025,Zone_1,a,COI,Observed Features (ASVs)
2025,Zone_2A,b,COI,Observed Features (ASVs)
2025,Zone_2B,ab,COI,Observed Features (ASVs)
2025,Zone_3,ab,COI,Observed Features (ASVs)
