Zone,Year,Marker,Metric,n,mean,sd,median,min,max
Zone_1,2022,COI,Observed Features (ASVs),10,1896.7,437.64243395722036,2083,1121,2356
Zone_1,2023,COI,Observed Features (ASVs),10,1495,221.04901417257364,1460,1229,1931
Zone_1,2024,COI,Observed Features (ASVs),10,662.3,143.92594546424831,654.5,475,928
Zone_1,2025,COI,Observed Features (ASVs),10,558.5,73.13040103510684,564,401,652
Zone_2A,2022,COI,Observed Features (ASVs),8,1980.25,159.6529718751625,1955.5,1828,2293
Zone_2A,2023,COI,Observed Features (ASVs),8,1855.625,43.144069282877275,1860.5,1784,1920
Zone_2A,2024,COI,Observed Features (ASVs),8,519,23.928464818525832,517,473,547
Zone_2A,2025,COI,Observed Features (ASVs),8,386.875,63.95631879873727,400.5,301,462
Zone_2B,2022,COI,Observed Features (ASVs),3,2024.3333333333333,136.25833307850692,2102,1867,2104
Zone_2B,2023,COI,Observed Features (ASVs),3,2097.6666666666665,91.63150840913475,2092,2009,2192
Zone_2B,2024,COI,Observed Features (ASVs),3,502.3333333333333,9.0737717258774655,506,492,509
Zone_2B,2025,COI,Observed Features (ASVs),3,422.6666666666667,63.5793467513888,389,383,496
Zone_3,2022,COI,Observed Features (ASVs),5,1862.6,45.407047911089755,1850,1810,1926
Zone_3,2023,COI,Observed Features (ASVs),5,1914.8,142.2768428100652,1909,1704,2077
Zone_3,2024,COI,Observed Features (ASVs),4,500,56.40921910468182,492,442,574
Zone_3,2025,COI,Observed Features (ASVs),4,447,76.15335405176408,454.5,352,527
