Year,Zone,cld,Marker,Metric
2022,Zone_1,a,COI,Shannon Index
2022,Zone_2A,a,COI,Shannon Index
2022,Zone_2B,a,COI,Shannon Index
2022,Zone_3,a,COI,Shannon Index
2023,Zone_1,a,COI,Shannon Index
2023,Zone_2A,b,COI,Shannon Index
2023,Zone_2B,b,COI,Shannon Index
2023,Zone_3,b,COI,Shannon Index
2024,Zone_1,a,COI,Shannon Index
2024,Zone_2A,b,COI,Shannon Index
2024,Zone_2B,b,COI,Shannon Index
2024,Zone_3,b,COI,Shannon Index
2025,Zone_1,a,COI,Shannon Index
2025,Zone_2A,b,COI,Shannon Index
2025,Zone_2B,b,COI,Shannon Index
2025,Zone_3,b,COI,Shannon Index
