Marker,Metric,Year,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
COI,Shannon Index,2022,diversity_value,Zone_1,Zone_2A,10,8,0.2618511063549955,0.7934362360960305,0.7934362360960305,ns
COI,Shannon Index,2022,diversity_value,Zone_1,Zone_2B,10,3,-1.251271542620858,0.21083542420828016,0.6325062726248405,ns
COI,Shannon Index,2022,diversity_value,Zone_1,Zone_3,10,5,-0.4535394202249742,0.6501603643992435,0.7801924372790922,ns
COI,Shannon Index,2022,diversity_value,Zone_2A,Zone_2B,8,3,-1.4001331937972759,0.16147343664677435,0.6325062726248405,ns
COI,Shannon Index,2022,diversity_value,Zone_2A,Zone_3,8,5,-0.6536198703460924,0.5133567392545338,0.7700351088818007,ns
COI,Shannon Index,2022,diversity_value,Zone_2B,Zone_3,3,5,0.7877263614433763,0.430856782499728,0.7700351088818007,ns
COI,Shannon Index,2023,diversity_value,Zone_1,Zone_2A,10,8,2.6667467936679823,0.007658935077902789,0.015317870155805578,*
COI,Shannon Index,2023,diversity_value,Zone_1,Zone_2B,10,3,3.63464590951773,2.7836268418438356e-4,0.0016701761051063015,**
COI,Shannon Index,2023,diversity_value,Zone_1,Zone_3,10,5,3.365739907985334,7.633865136583945e-4,0.0022901595409751834,**
COI,Shannon Index,2023,diversity_value,Zone_2A,Zone_2B,8,3,1.665675696069173,0.09577802525701112,0.14366703788551669,ns
COI,Shannon Index,2023,diversity_value,Zone_2A,Zone_3,8,5,1.0148308513268278,0.31018646470138134,0.3722237576416576,ns
COI,Shannon Index,2023,diversity_value,Zone_2B,Zone_3,3,5,-0.7519206177414044,0.45209879839525974,0.45209879839525974,ns
COI,Shannon Index,2024,diversity_value,Zone_1,Zone_2A,10,8,-2.2557618532242136,0.024085549548600014,0.04817109909720003,*
COI,Shannon Index,2024,diversity_value,Zone_1,Zone_2B,10,3,-2.304870069115168,0.021173851359959046,0.04817109909720003,*
COI,Shannon Index,2024,diversity_value,Zone_1,Zone_3,10,4,-2.35409393222918,0.018567918359580708,0.04817109909720003,*
COI,Shannon Index,2024,diversity_value,Zone_2A,Zone_2B,8,3,-0.6606311879056018,0.5088488630220983,0.7178613173892384,ns
COI,Shannon Index,2024,diversity_value,Zone_2A,Zone_3,8,4,-0.5269651864139677,0.598217764491032,0.7178613173892384,ns
COI,Shannon Index,2024,diversity_value,Zone_2B,Zone_3,3,4,0.1630748496654423,0.8704595017604271,0.8704595017604271,ns
COI,Shannon Index,2025,diversity_value,Zone_1,Zone_2A,10,8,-3.8670203198129376,1.1017325115147732e-4,6.610395069088639e-4,***
COI,Shannon Index,2025,diversity_value,Zone_1,Zone_2B,10,3,-2.511276343961302,0.012029548638074301,0.027103712966411595,*
COI,Shannon Index,2025,diversity_value,Zone_1,Zone_3,10,4,-2.4689277825818228,0.013551856483205798,0.027103712966411595,*
COI,Shannon Index,2025,diversity_value,Zone_2A,Zone_2B,8,3,0.2675974432022692,0.7890091992406569,0.8010219197412635,ns
COI,Shannon Index,2025,diversity_value,Zone_2A,Zone_3,8,4,0.610170215847752,0.5417490574450204,0.8010219197412635,ns
COI,Shannon Index,2025,diversity_value,Zone_2B,Zone_3,3,4,0.25202476766477433,0.8010219197412635,0.8010219197412635,ns
