Year,Zone,cld,Marker,Metric
2022,Zone_1,a,mifish,Faith's PD
2022,Zone_2A,a,mifish,Faith's PD
2022,Zone_2B,a,mifish,Faith's PD
2023,Zone_1,a,mifish,Faith's PD
2023,Zone_2A,b,mifish,Faith's PD
2023,Zone_2B,ab,mifish,Faith's PD
2023,Zone_3,b,mifish,Faith's PD
2024,Zone_1,a,mifish,Faith's PD
2024,Zone_2A,a,mifish,Faith's PD
2024,Zone_2B,a,mifish,Faith's PD
2024,Zone_3,a,mifish,Faith's PD
2025,Zone_1,a,mifish,Faith's PD
2025,Zone_2A,a,mifish,Faith's PD
2025,Zone_2B,a,mifish,Faith's PD
2025,Zone_3,a,mifish,Faith's PD
