Year,Zone,cld,Marker,Metric
2022,Zone_1,a,mifish,Observed Features (ASVs)
2022,Zone_2A,a,mifish,Observed Features (ASVs)
2022,Zone_2B,a,mifish,Observed Features (ASVs)
2023,Zone_1,a,mifish,Observed Features (ASVs)
2023,Zone_2A,ab,mifish,Observed Features (ASVs)
2023,Zone_2B,ab,mifish,Observed Features (ASVs)
2023,Zone_3,b,mifish,Observed Features (ASVs)
2024,Zone_1,a,mifish,Observed Features (ASVs)
2024,Zone_2A,a,mifish,Observed Features (ASVs)
2024,Zone_2B,a,mifish,Observed Features (ASVs)
2024,Zone_3,a,mifish,Observed Features (ASVs)
2025,Zone_1,a,mifish,Observed Features (ASVs)
2025,Zone_2A,a,mifish,Observed Features (ASVs)
2025,Zone_2B,a,mifish,Observed Features (ASVs)
2025,Zone_3,a,mifish,Observed Features (ASVs)
