,shannon_entropy,Year
Zone_2A_1_22,7.965796818,2022
Zone_2A_10_22,8.203505479,2022
Zone_2A_12_22,8.25256877,2022
Zone_2B_1_22,7.848593357,2022
Zone_2B_2_22,8.039188774,2022
Zone_2B_3_22,8.144679866,2022
Zone_3_1_22,8.28528891,2022
Zone_3_2_22,7.810131113,2022
Zone_3_3_22,8.101991729,2022
Musq_01_22,6.776539913,2022
Musq_02_22,6.827926584,2022
Musq_04_22,7.813450285,2022
Musq_06_22,8.529942371,2022
Musq_07_22,8.03425277,2022
Musq_08_22,8.170985197,2022
Musq_11_22,8.420823585,2022
Musq_15_22,8.437505095,2022
Musq_16_22,8.657247598,2022
Musq_19_22,8.427292867,2022
Musq_20_22,8.409475413,2022
Musq_22_22,8.163693404,2022
Musq_24_22,8.372781589,2022
Musq_26_22,8.559254839,2022
Musq_28_22,8.059415526,2022
Musq_30_22,8.189737202,2022
Musq_32_22,8.333444583,2022
Zone_2B_2_23,8.622099222,2023
Zone_2B_3_23,8.506533459,2023
Zone_2B_1_23,8.300181339,2023
Zone_3_1_23,8.206110647,2023
Zone_3_4_23,8.315663375,2023
Zone_3_3_23,8.50218298,2023
Zone_3_2_23,8.069601505,2023
Zone_2A_12_23,8.30930526,2023
Zone_2A_10_23,8.098139212,2023
Zone_2A_1_23,7.9391527,2023
Musq_25_23,8.259046061,2023
Musq_27_23,8.02116059,2023
Musq_29_23,8.028344267,2023
Musq_31_23,8.090276258,2023
Musq_19_23,7.789821449,2023
Musq_01_23,6.881298389,2023
Musq_03_23,7.009580176,2023
Musq_05_23,6.462108484,2023
Musq_07_23,6.617908907,2023
Musq_09_23,6.356966237,2023
Musq_11_23,6.778543082,2023
Musq_13_23,6.880664957,2023
Musq_15_23,7.002678261,2023
Musq_17_23,7.30048146,2023
Musq_21_23,7.57337551,2023
Musq_23_23,7.737813903,2023
Musq_19_24,4.606456723,2024
Musq_21_24,4.907800802,2024
Musq_23_24,4.643339044,2024
Musq_25_24,4.787489226,2024
Musq_27_24,4.762167176,2024
Musq_29_24,4.819366632,2024
Musq_31_24,4.673010964,2024
Zone_2B_1_24,4.708374355,2024
Zone_2B_2_24,4.662301206,2024
Zone_2B_3_24,4.605569125,2024
Zone_3_1_24,4.62998435,2024
Zone_3_3_24,4.827556242,2024
Zone_3_2_24,4.553782431,2024
Zone_2A_12_24,4.798091068,2024
Zone_2A_10_24,4.534688327,2024
Zone_2A_1_24,4.581928064,2024
Musq_01_24,5.590330567,2024
Musq_03_24,5.032901921,2024
Musq_05_24,4.879849551,2024
Musq_07_24,4.723506607,2024
Musq_09_24,4.882627264,2024
Musq_11_24,5.307659484,2024
Musq_13_24,4.891636522,2024
Musq_15_24,5.467779642,2024
Musq_17_24,5.118917377,2024
