,Shannon Entropy,Year
Zone_2B_1_22,0.808202653,2022
Zone_2B_2_22,1.417870653,2022
Zone_2B_3_22,0.49638326,2022
Musq_01_22,1.847559636,2022
Musq_02_22,2.268487694,2022
Musq_04_22,0.371000771,2022
Musq_06_22,2.358354755,2022
Musq_07_22,1.162429432,2022
Musq_08_22,0.64985152,2022
Musq_11_22,0.760004681,2022
Musq_15_22,1.354678769,2022
Musq_16_22,1.309035821,2022
Musq_19_22,1.72244002,2022
Musq_26_22,1.080962511,2022
Musq_28_22,0.151082402,2022
Zone_2B_2_23,2.776366148,2023
Zone_2B_3_23,2.703567363,2023
Zone_2B_1_23,3.512378691,2023
Zone_3_1_23,6.168517206,2023
Zone_3_4_23,5.975861555,2023
Zone_3_3_23,2.540294571,2023
Zone_3_2_23,2.753559728,2023
Zone_2A_12_23,3.686291688,2023
Zone_2A_10_23,3.085004677,2023
Zone_2A_1_23,3.642764951,2023
Musq_25_23,3.234511739,2023
Musq_27_23,6.315895047,2023
Musq_29_23,5.082479522,2023
Musq_31_23,3.758942564,2023
Musq_19_23,4.127131921,2023
Musq_01_23,2.740362416,2023
Musq_03_23,3.221989391,2023
Musq_05_23,6.169717526,2023
Musq_07_23,6.030417908,2023
Musq_09_23,3.42547327,2023
Musq_11_23,3.912002887,2023
Musq_13_23,7.120506493,2023
Musq_15_23,4.846883321,2023
Musq_17_23,4.470068914,2023
Musq_21_23,3.663131157,2023
Musq_23_23,3.50126025,2023
Musq_19_24,1.720375898,2024
Musq_21_24,3.847195818,2024
Musq_23_24,2.857114995,2024
Musq_25_24,3.511313495,2024
Musq_27_24,4.470160926,2024
Musq_29_24,3.378604605,2024
Musq_31_24,3.572507489,2024
Zone_2B_1_24,4.410380237,2024
Zone_2B_2_24,3.997981381,2024
Zone_2B_3_24,3.57200077,2024
Zone_3_1_24,3.871701538,2024
Zone_3_3_24,2.735271624,2024
Zone_3_2_24,3.856695494,2024
Zone_2A_12_24,4.422924763,2024
Zone_2A_10_24,2.98604547,2024
Zone_2A_1_24,2.529837502,2024
Musq_01_24,2.833090481,2024
Musq_03_24,2.568840427,2024
Musq_05_24,2.586288056,2024
Musq_07_24,2.843988621,2024
Musq_09_24,3.164569797,2024
Musq_11_24,3.24869218,2024
Musq_13_24,3.306839186,2024
Musq_15_24,2.48203279,2024
Musq_17_24,2.202373709,2024
