	shannon_entropy
Zone_2A_1_22	7.965796817666569
Zone_2A_10_22	8.203505479218
Zone_2A_12_22	8.252568770008285
Zone_2B_1_22	7.8485933568013335
Zone_2B_2_22	8.039188773869022
Zone_2B_3_22	8.144679865775862
Zone_3_1_22	8.285288909506045
Zone_3_2_22	7.810131113006395
Zone_3_3_22	8.101991729246429
Musq_01_22	6.776539912509722
Musq_02_22	6.827926584420376
Musq_04_22	7.813450284699887
Musq_06_22	8.529942370769911
Musq_07_22	8.034252770110225
Musq_08_22	8.170985196912708
Musq_11_22	8.420823585343644
Musq_15_22	8.437505095330874
Musq_16_22	8.657247598409326
Musq_19_22	8.427292867038092
Musq_20_22	8.409475412953778
Musq_22_22	8.163693404168999
Musq_24_22	8.372781589012789
Musq_26_22	8.559254839414344
Musq_28_22	8.059415526353874
Musq_30_22	8.189737201511265
Musq_32_22	8.333444582595094
