	Zone_2A_1_22	Zone_2A_10_22	Zone_2A_12_22	Zone_2B_1_22	Zone_2B_2_22	Zone_2B_3_22	Zone_3_1_22	Zone_3_2_22	Zone_3_3_22	Musq_01_22	Musq_02_22	Musq_04_22	Musq_06_22	Musq_07_22	Musq_08_22	Musq_11_22	Musq_15_22	Musq_16_22	Musq_19_22	Musq_20_22	Musq_22_22	Musq_24_22	Musq_26_22	Musq_28_22	Musq_30_22	Musq_32_22
Zone_2A_1_22	0.0	132.72298802494737	97.80409082136622	123.9356595383885	117.14176033163578	98.4098933461428	97.73839220960089	100.08022239137487	105.10320209140333	183.06493288118548	190.70001832149433	136.19794459891835	150.7642737747628	185.1507858400349	117.27121785998992	152.37556676256682	140.87859380107614	132.21606466451505	127.679361884169	116.50638434285278	97.94043639487666	109.87000337618929	126.35411156025151	104.94873882306608	108.43458091163096	104.35946224517282
Zone_2A_10_22	132.72298802494737	0.0	126.14052050162347	145.56049468599602	138.27050074557144	126.32841746286715	126.19747985075232	131.71926490965768	132.20787779517497	207.1961856616571	215.53121889657328	170.3204347549544	180.464422122405	211.4464101717058	151.62155148584216	184.00509821584632	173.42260518495158	158.62873849691164	162.1217391477144	145.63938264486555	134.1736628243621	136.70082759233634	147.46857908458705	131.77877359110218	132.57424330993103	130.892184700551
Zone_2A_12_22	97.80409082136622	126.14052050162347	0.0	111.27991363005377	100.151831622424	78.63055403110346	77.16005555515868	98.33165860052505	88.81695770605937	199.54451017917663	205.8300434636696	152.26024628217047	160.44479861187003	199.26292090252457	129.68037316656535	164.7799189595723	151.14297145287722	131.3285607525005	137.43064673209685	111.48626948801382	98.91372930317935	98.0318858488608	109.33073822299832	100.09501616310557	102.81894832902935	82.27972082634894
Zone_2B_1_22	123.9356595383885	145.56049468599602	111.27991363005377	0.0	120.02742690298956	111.13770177391652	111.91543786329649	125.57574930062205	119.49529049052609	215.84446247453303	222.6336656179618	172.41535838727913	174.62524177982996	216.36314026598993	151.47658809708955	184.01328640916077	169.72559673938056	148.7124243737506	156.97843601471692	137.84271611692998	126.53930542618059	125.22235414423122	126.26870934390834	127.52874963847606	129.75843413332717	121.41807811617274
Zone_2B_2_22	117.14176033163578	138.27050074557144	100.151831622424	120.02742690298956	0.0	103.98146109894391	105.03261254163405	118.01595183260537	110.40264538139283	209.43015198615961	216.5684178430099	165.84120115951652	171.34170451661402	211.3121936722827	145.24533097778698	178.35097308301647	165.0082145203952	143.79816314297798	153.86960558068319	131.47502474192152	119.328681936766	118.24907467591872	120.96628482677202	119.38112660220679	123.8512400094637	111.6291221965994
Zone_2B_3_22	98.4098933461428	126.32841746286715	78.63055403110346	111.13770177391652	103.98146109894391	0.0	78.76154440410417	98.72513471663446	90.12071161382023	199.19537928588417	206.4333362016791	151.84159116423496	160.0543170671862	199.04932327989982	127.79778935838604	164.44101930266095	151.04056686177074	131.38905199380469	136.80035331178718	112.60335031905102	99.80381762575837	100.13867763520545	112.18459455664592	101.98778339983238	104.24791890194119	86.10170635963415
Zone_3_1_22	97.73839220960089	126.19747985075232	77.16005555515868	111.91543786329649	105.03261254163405	78.76154440410417	0.0	99.42303470333825	87.82105428855472	196.15800043511192	202.9959865404961	149.36160694079655	160.45457664875084	196.84412411869633	124.20487776488237	162.3767357090517	147.93735917083094	130.5543547119186	134.32463067951988	110.73256973405483	97.24075840628153	98.67672629604974	111.85665350746127	99.4801679594254	101.1490647179594	84.72090787712004
Zone_3_2_22	100.08022239137487	131.71926490965768	98.33165860052505	125.57574930062205	118.01595183260537	98.72513471663446	99.42303470333825	0.0	105.91403174515536	187.16149320391457	195.71022570910122	142.71797472937533	158.60141329325577	190.73955243100053	125.13696755924714	159.49436218838275	149.28700662336936	137.8834692872348	136.4090929237211	121.5604985978477	105.26740658005181	112.0639429237153	128.29993902302536	107.99438427162804	110.45122039165884	103.50233021857981
Zone_3_3_22	105.10320209140333	132.20787779517497	88.81695770605937	119.49529049052609	110.40264538139283	90.12071161382023	87.82105428855472	105.91403174515536	0.0	200.28674441048872	207.50360258949442	155.50504264243122	164.92580300713226	202.43922727618977	132.3902927617476	168.63965054435818	156.5812487232172	138.43265017848182	143.59255803777907	121.908048317584	107.501148976154	108.38244000347858	119.7644097271893	107.40734301021551	111.72959372956896	95.99452434128332
Musq_01_22	183.06493288118548	207.1961856616571	199.54451017917663	215.84446247453303	209.43015198615961	199.19537928588417	196.15800043511192	187.16149320391457	200.28674441048872	0.0	111.8703936022539	130.6545553360727	177.99856570039915	156.73106560158388	153.6274490898296	160.74522584481875	182.30815871609911	196.37412435785413	182.03011760041804	197.1579229995265	180.5199161439074	205.08302122873803	216.53748596966474	195.32890771885866	195.97879191288456	195.49296998266158
