	Zone_2A_1_22	Zone_2A_10_22	Zone_2A_12_22	Zone_2B_1_22	Zone_2B_2_22	Zone_2B_3_22	Zone_3_1_22	Zone_3_2_22	Zone_3_3_22	Musq_01_22	Musq_02_22	Musq_04_22	Musq_06_22	Musq_07_22	Musq_08_22	Musq_11_22	Musq_15_22	Musq_16_22	Musq_19_22	Musq_20_22	Musq_22_22	Musq_24_22	Musq_26_22	Musq_28_22	Musq_30_22	Musq_32_22
Zone_2A_1_22	0	0.5196382999420166	0.4060253798961639	0.489658534526825	0.4455204010009766	0.4103683531284332	0.3306674361228943	0.3969292342662811	0.4662981331348419	0.7065292596817017	0.7183487415313721	0.5881879329681396	0.5482581257820129	0.6859279274940491	0.4316577911376953	0.6261964440345764	0.5231977701187134	0.5304701328277588	0.5057184100151062	0.514773964881897	0.454141765832901	0.4472555220127106	0.506816029548645	0.3511287569999695	0.4131124913692474	0.4164883196353912
Zone_2A_10_22	0.5196382999420166	0	0.5202971696853638	0.5041050910949707	0.5025027990341187	0.5275355577468872	0.4893486797809601	0.5285556316375732	0.5222506523132324	0.7318500876426697	0.7319300174713135	0.6050834655761719	0.6214849948883057	0.6818708777427673	0.5518029928207397	0.6229009628295898	0.6068430542945862	0.5944780111312866	0.5232040882110596	0.5476518869400024	0.5687970519065857	0.4712365865707397	0.5074071884155273	0.5027243494987488	0.509071409702301	0.5089414715766907
Zone_2A_12_22	0.4060253798961639	0.5202971696853638	0	0.4580561220645905	0.4773577153682709	0.3361470997333527	0.3681949079036713	0.4267011284828186	0.4967451393604279	0.7347232103347778	0.745722234249115	0.6283265948295593	0.6033938527107239	0.6929624676704407	0.4765166044235229	0.6515480279922485	0.5740545392036438	0.4946187138557434	0.5428159832954407	0.5416243672370911	0.471412718296051	0.3866464197635651	0.4919802248477936	0.4309599697589874	0.4466483592987061	0.363850861787796
Zone_2B_1_22	0.489658534526825	0.5041050910949707	0.4580561220645905	0	0.5206591486930847	0.4711034595966339	0.4557772874832153	0.4717217981815338	0.5144242644309998	0.7583879828453064	0.7666550278663635	0.6450405120849609	0.5740609765052795	0.702670156955719	0.5280075669288635	0.6544064879417419	0.5821681618690491	0.5441876649856567	0.54986572265625	0.5453535318374634	0.5237231850624084	0.4948601722717285	0.5040575861930847	0.4438837170600891	0.4739174544811249	0.4556309580802917
Zone_2B_2_22	0.4455204010009766	0.5025027990341187	0.4773577153682709	0.5206591486930847	0	0.4607109129428864	0.4449025392532349	0.480943351984024	0.4875264167785645	0.7138040065765381	0.7324801087379456	0.60666424036026	0.595768928527832	0.684631884098053	0.5216537714004517	0.6332215666770935	0.5761030912399292	0.5332976579666138	0.5338721871376038	0.5071315765380859	0.5261563658714294	0.4686188697814941	0.4922263324260712	0.4382889866828918	0.4905042946338654	0.4971373379230499
Zone_2B_3_22	0.4103683531284332	0.5275355577468872	0.3361470997333527	0.4711034595966339	0.4607109129428864	0	0.3866908550262451	0.4036422669887543	0.4832801520824432	0.7289275527000427	0.7460712790489197	0.6050464510917664	0.5993826985359192	0.7083998918533325	0.4422355890274048	0.660767674446106	0.5637507438659668	0.4952829778194427	0.5125537514686584	0.5248352289199829	0.4349364638328552	0.3969486653804779	0.4812829494476318	0.4169715046882629	0.4277716279029846	0.3499046862125397
Zone_3_1_22	0.3306674361228943	0.4893486797809601	0.3681949079036713	0.4557772874832153	0.4449025392532349	0.3866908550262451	0	0.4135857224464417	0.4670705199241638	0.7293744087219238	0.7467852234840393	0.6104943752288818	0.573796272277832	0.6867533922195435	0.4704859256744385	0.6282806396484375	0.5479785203933716	0.5364975929260254	0.527370274066925	0.5174686908721924	0.4531938135623932	0.4507792294025421	0.4953675866127014	0.3544396758079529	0.4176135361194611	0.4006839692592621
Zone_3_2_22	0.3969292342662811	0.5285556316375732	0.4267011284828186	0.4717217981815338	0.480943351984024	0.4036422669887543	0.4135857224464417	0	0.49737149477005	0.7149839997291565	0.7342730164527893	0.6083671450614929	0.5617079138755798	0.6956338882446289	0.4501321017742157	0.6441555023193359	0.5036253333091736	0.5341689586639404	0.5331595540046692	0.5078254342079163	0.4376368522644043	0.4618957042694092	0.5257034301757812	0.438138484954834	0.4238409996032715	0.4348506033420563
Zone_3_3_22	0.4662981331348419	0.5222506523132324	0.4967451393604279	0.5144242644309998	0.4875264167785645	0.4832801520824432	0.4670705199241638	0.49737149477005	0	0.6705213189125061	0.6862648129463196	0.546941339969635	0.6246837377548218	0.6638473272323608	0.5383116006851196	0.5893233418464661	0.6305854916572571	0.5933411717414856	0.5645284056663513	0.465202659368515	0.458547443151474	0.4763832092285156	0.5233425498008728	0.4809422194957733	0.5125401020050049	0.4739739298820496
Musq_01_22	0.7065292596817017	0.7318500876426697	0.7347232103347778	0.7583879828453064	0.7138040065765381	0.7289275527000427	0.7293744087219238	0.7149839997291565	0.6705213189125061	0	0.4636318683624268	0.5077522993087769	0.639079749584198	0.6079082489013672	0.6406062245368958	0.5578310489654541	0.683340847492218	0.7364900708198547	0.6530610322952271	0.655569851398468	0.6625908017158508	0.7071192264556885	0.7428493499755859	0.7319090366363525	0.7394238710403442	0.7267237305641174
Musq_02_22	0.7183487415313721	0.7319300174713135	0.745722234249115	0.7666550278663635	0.7324801087379456	0.7460712790489197	0.7467852234840393	0.7342730164527893	0.6862648129463196	0.4636318683624268	0	0.5169861912727356	0.6537621021270752	0.6033428907394409	0.6540482640266418	0.5819130539894104	0.7056397795677185	0.7435266375541687	0.6736454367637634	0.6868706345558167	0.6893108487129211	0.7201589941978455	0.7386788129806519	0.7339035868644714	0.7458768486976624	0.7344094514846802
Musq_04_22	0.5881879329681396	0.6050834655761719	0.6283265948295593	0.6450405120849609	0.60666424036026	0.6050464510917664	0.6104943752288818	0.6083671450614929	0.546941339969635	0.5077522993087769	0.5169861912727356	0	0.5637303590774536	0.5739874243736267	0.5086997747421265	0.4709961414337158	0.6123994588851929	0.6479766964912415	0.5204037427902222	0.5508238077163696	0.5416771173477173	0.5993626117706299	0.623760998249054	0.6082429885864258	0.6364093422889709	0.5841200351715088
