	Zone_2B_2_23	Zone_2B_3_23	Zone_2B_1_23	Zone_3_1_23	Zone_3_4_23	Zone_3_3_23	Zone_3_2_23	Zone_2A_12_23	Zone_2A_10_23	Zone_2A_1_23	Musq_25_23	Musq_27_23	Musq_29_23	Musq_31_23	Musq_19_23	Musq_01_23	Musq_03_23	Musq_05_23	Musq_07_23	Musq_09_23	Musq_11_23	Musq_13_23	Musq_15_23	Musq_17_23	Musq_21_23	Musq_23_23
Zone_2B_2_23	0.0	0.1346	0.2389	0.155	0.1516	0.1279	0.1327	0.5735	0.1553	0.1612	0.352	0.227	0.1549	0.3278	0.5496	0.9587	0.9328	0.9513	0.9532	0.92	0.7293	0.7367	0.4803	0.7446	0.7704	0.706
Zone_2B_3_23	0.1346	0.0	0.2475	0.0555	0.0577	0.0534	0.0461	0.6471	0.0543	0.1562	0.3784	0.1853	0.0577	0.328	0.6412	0.9788	0.9767	0.9745	0.9719	0.9647	0.7733	0.7811	0.5665	0.7681	0.859	0.7059
Zone_2B_1_23	0.2389	0.2475	0.0	0.2071	0.2565	0.252	0.2491	0.647	0.2494	0.2517	0.2757	0.2509	0.2556	0.328	0.5963	0.9956	0.9939	0.9915	0.9889	0.9814	0.7906	0.7959	0.5835	0.8069	0.876	0.6888
Zone_3_1_23	0.155	0.0555	0.2071	0.0	0.0546	0.0524	0.0437	0.6478	0.0466	0.1562	0.3531	0.2155	0.0506	0.3278	0.6155	0.9966	0.9946	0.9925	0.9895	0.9823	0.7913	0.7965	0.5842	0.8077	0.8766	0.7129
Zone_3_4_23	0.1516	0.0577	0.2565	0.0546	0.0	0.0479	0.0277	0.6477	0.0216	0.16	0.4001	0.2194	0.0059	0.3276	0.6577	0.9909	0.9849	0.9839	0.9857	0.9734	0.7815	0.7959	0.5743	0.8063	0.8729	0.7476
Zone_3_3_23	0.1279	0.0534	0.252	0.0524	0.0479	0.0	0.0348	0.6483	0.0525	0.1565	0.3972	0.2157	0.0492	0.328	0.6564	0.9913	0.9604	0.9844	0.9863	0.9541	0.7575	0.7968	0.5571	0.8072	0.8738	0.7392
Zone_3_2_23	0.1327	0.0461	0.2491	0.0437	0.0277	0.0348	0.0	0.6458	0.0298	0.154	0.3884	0.2141	0.0269	0.3276	0.6472	0.9841	0.9704	0.9768	0.9786	0.9582	0.767	0.7887	0.5599	0.7999	0.866	0.7318
Zone_2A_12_23	0.5735	0.6471	0.647	0.6478	0.6477	0.6483	0.6458	0.0	0.647	0.646	0.6417	0.6479	0.6472	0.6494	0.5878	0.9942	0.9924	0.9902	0.9874	0.979	0.7894	0.7677	0.6032	0.7764	0.8042	0.7548
Zone_2A_10_23	0.1553	0.0543	0.2494	0.0466	0.0216	0.0525	0.0298	0.647	0.0	0.1559	0.3953	0.2157	0.0202	0.3276	0.657	0.9955	0.9935	0.9915	0.9883	0.9813	0.7906	0.7954	0.583	0.8069	0.8754	0.7551
Zone_2A_1_23	0.1612	0.1562	0.2517	0.1562	0.16	0.1565	0.154	0.646	0.1559	0.0	0.3949	0.2215	0.1596	0.2177	0.6257	0.9941	0.9921	0.9901	0.9872	0.9806	0.7123	0.6619	0.5017	0.6891	0.7699	0.7547
Musq_25_23	0.352	0.3784	0.2757	0.3531	0.4001	0.3972	0.3884	0.6417	0.3953	0.3949	0.0	0.3972	0.3991	0.4028	0.401	0.8075	0.927	0.8396	0.7946	0.7875	0.5963	0.6022	0.3894	0.6114	0.6818	0.4935
Musq_27_23	0.227	0.1853	0.2509	0.2155	0.2194	0.2157	0.2141	0.6479	0.2157	0.2215	0.3972	0.0	0.2172	0.3275	0.6591	0.996	0.9941	0.9921	0.9891	0.9826	0.7912	0.7962	0.5836	0.7833	0.876	0.7181
Musq_29_23	0.1549	0.0577	0.2556	0.0506	0.0059	0.0492	0.0269	0.6472	0.0202	0.1596	0.3991	0.2172	0.0	0.3276	0.6566	0.9908	0.9881	0.9861	0.9855	0.9759	0.7847	0.7957	0.5776	0.8066	0.873	0.7497
Musq_31_23	0.3278	0.328	0.328	0.3278	0.3276	0.328	0.3276	0.6494	0.3276	0.2177	0.4028	0.3275	0.3276	0.0	0.6318	0.9975	0.9956	0.9936	0.9906	0.9841	0.7156	0.6877	0.5052	0.6983	0.7734	0.7583
Musq_19_23	0.5496	0.6412	0.5963	0.6155	0.6577	0.6564	0.6472	0.5878	0.657	0.6257	0.401	0.6591	0.6566	0.6318	0.0	0.7268	0.9221	0.8013	0.6927	0.6649	0.4273	0.4465	0.2912	0.4247	0.4592	0.3596
Musq_01_23	0.9587	0.9788	0.9956	0.9966	0.9909	0.9913	0.9841	0.9942	0.9955	0.9941	0.8075	0.996	0.9908	0.9975	0.7268	0.0	0.4374	0.4257	0.4251	0.769	0.7174	0.7201	0.6677	0.7453	0.6912	0.643
Musq_03_23	0.9328	0.9767	0.9939	0.9946	0.9849	0.9604	0.9704	0.9924	0.9935	0.9921	0.927	0.9941	0.9881	0.9956	0.9221	0.4374	0.0	0.4645	0.5603	0.8946	0.7851	0.8636	0.7955	0.9008	0.8414	0.9089
Musq_05_23	0.9513	0.9745	0.9915	0.9925	0.9839	0.9844	0.9768	0.9902	0.9915	0.9901	0.8396	0.9921	0.9861	0.9936	0.8013	0.4257	0.4645	0.0	0.3328	0.5607	0.5933	0.648	0.6971	0.6826	0.6864	0.8059
Musq_07_23	0.9532	0.9719	0.9889	0.9895	0.9857	0.9863	0.9786	0.9874	0.9883	0.9872	0.7946	0.9891	0.9855	0.9906	0.6927	0.4251	0.5603	0.3328	0.0	0.426	0.4603	0.4313	0.5837	0.4752	0.474	0.5832
Musq_09_23	0.92	0.9647	0.9814	0.9823	0.9734	0.9541	0.9582	0.979	0.9813	0.9806	0.7875	0.9826	0.9759	0.9841	0.6649	0.769	0.8946	0.5607	0.426	0.0	0.4407	0.4179	0.6278	0.4211	0.385	0.5035
