	Zone_2B_2_23	Zone_2B_3_23	Zone_2B_1_23	Zone_3_1_23	Zone_3_4_23	Zone_3_3_23	Zone_3_2_23	Zone_2A_12_23	Zone_2A_10_23	Zone_2A_1_23	Musq_25_23	Musq_27_23	Musq_29_23	Musq_31_23	Musq_19_23	Musq_01_23	Musq_03_23	Musq_05_23	Musq_07_23	Musq_09_23	Musq_11_23	Musq_13_23	Musq_15_23	Musq_17_23	Musq_21_23	Musq_23_23
Zone_2B_2_23	0	0.04586613923311234	0.2770466804504395	0.2289452105760574	0.2374239712953568	0.09203658252954483	0.2369746714830399	0.3662566244602203	0.3524016737937927	0.4266571700572968	0.2374301105737686	0.3908301889896393	0.2527475953102112	0.2722099721431732	0.1695790886878967	0.5059146881103516	0.4653207063674927	0.3720252513885498	0.441480427980423	0.3996797502040863	0.3742127418518066	0.4619754254817963	0.145589679479599	0.4928596317768097	0.3363347947597504	0.4356525838375092
Zone_2B_3_23	0.04586613923311234	0	0.2418428659439087	0.2117929011583328	0.220043882727623	0.1225419417023659	0.2199745774269104	0.3637885749340057	0.338857114315033	0.4146745502948761	0.2236024588346481	0.3571377992630005	0.23641736805439	0.2683055698871613	0.1450195461511612	0.4986466467380524	0.4569777846336365	0.3795464932918549	0.4327932000160217	0.3979068994522095	0.3721209466457367	0.4610392153263092	0.1852071136236191	0.4785821139812469	0.3336186707019806	0.4122714698314667
Zone_2B_1_23	0.2770466804504395	0.2418428659439087	0	0.3984463512897491	0.447079062461853	0.3074005246162415	0.4089060127735138	0.4223010838031769	0.4029347002506256	0.2722562551498413	0.1312885582447052	0.3257201611995697	0.4211570024490356	0.4442847967147827	0.2466943562030792	0.5757877826690674	0.5388845205307007	0.4312860667705536	0.5596290230751038	0.5136751532554626	0.5455273389816284	0.4823484122753143	0.2896516621112823	0.5071465969085693	0.4340100288391113	0.5445221662521362
Zone_3_1_23	0.2289452105760574	0.2117929011583328	0.3984463512897491	0	0.06266279518604279	0.1989800930023193	0.01347718294709921	0.2092995643615723	0.1729382276535034	0.2649878263473511	0.3637260496616364	0.2535246014595032	0.03843779489398003	0.08713319897651672	0.2899676561355591	0.4113154411315918	0.3572821319103241	0.4558587670326233	0.3781568109989166	0.2703456282615662	0.2763175070285797	0.3540349006652832	0.2587804794311523	0.3907242715358734	0.1841055601835251	0.3135519921779633
Zone_3_4_23	0.2374239712953568	0.220043882727623	0.447079062461853	0.06266279518604279	0	0.2304963171482086	0.04985755681991577	0.2409968823194504	0.2085972279310226	0.3017764985561371	0.3989876210689545	0.2294996231794357	0.07064495980739594	0.118390366435051	0.3210323452949524	0.4156568348407745	0.3820329904556274	0.4783958792686462	0.4023014903068542	0.2984345555305481	0.2674041092395782	0.3807499408721924	0.2861028015613556	0.4177412390708923	0.2132517099380493	0.3416067957878113
Zone_3_3_23	0.09203658252954483	0.1225419417023659	0.3074005246162415	0.1989800930023193	0.2304963171482086	0	0.1901175528764725	0.3378799855709076	0.311876118183136	0.3580744564533234	0.2235849648714066	0.4003531038761139	0.1720024645328522	0.2406779527664185	0.164944052696228	0.4607518911361694	0.4376555979251862	0.3424622416496277	0.3913357257843018	0.3752530813217163	0.3787741661071777	0.4171434044837952	0.1122551038861275	0.4492093026638031	0.28005450963974	0.382442831993103
Zone_3_2_23	0.2369746714830399	0.2199745774269104	0.4089060127735138	0.01347718294709921	0.04985755681991577	0.1901175528764725	0	0.1996961832046509	0.16248919069767	0.2557101249694824	0.3593349456787109	0.2635144889354706	0.02561326697468758	0.07558251172304153	0.2854043245315552	0.4064154326915741	0.3515552878379822	0.4516153931617737	0.3727974891662598	0.2626953125	0.2688664495944977	0.3478147089481354	0.2511832714080811	0.3848793506622314	0.17489093542099	0.3093242347240448
Zone_2A_12_23	0.3662566244602203	0.3637885749340057	0.4223010838031769	0.2092995643615723	0.2409968823194504	0.3378799855709076	0.1996961832046509	0	0.190293163061142	0.2755279242992401	0.3693567216396332	0.2841394543647766	0.2153004109859467	0.2386891394853592	0.4002726972103119	0.4340100288391113	0.4587692320346832	0.5397675633430481	0.4752236902713776	0.3451010882854462	0.3886807858943939	0.3775143623352051	0.3718954026699066	0.3858024179935455	0.313421219587326	0.4258747100830078
Zone_2A_10_23	0.3524016737937927	0.338857114315033	0.4029347002506256	0.1729382276535034	0.2085972279310226	0.311876118183136	0.16248919069767	0.190293163061142	0	0.2466175556182861	0.3526094257831573	0.2540424168109894	0.1826470494270325	0.2092991769313812	0.3796444237232208	0.4892286062240601	0.4426749646663666	0.5274290442466736	0.4600412547588348	0.3647489547729492	0.3688552379608154	0.366831362247467	0.3609831631183624	0.3791848719120026	0.2893876731395721	0.3995749950408936
Zone_2A_1_23	0.4266571700572968	0.4146745502948761	0.2722562551498413	0.2649878263473511	0.3017764985561371	0.3580744564533234	0.2557101249694824	0.2755279242992401	0.2466175556182861	0	0.2596586048603058	0.1733895540237427	0.2350434064865112	0.3084067106246948	0.36555215716362	0.4747517704963684	0.4492878019809723	0.5359486937522888	0.4984914660453796	0.4468750357627869	0.4495625793933868	0.3417825698852539	0.3651400506496429	0.3912245035171509	0.2676131129264832	0.4491806924343109
Musq_25_23	0.2374301105737686	0.2236024588346481	0.1312885582447052	0.3637260496616364	0.3989876210689545	0.2235849648714066	0.3593349456787109	0.3693567216396332	0.3526094257831573	0.2596586048603058	0	0.3059515058994293	0.341545581817627	0.396633118391037	0.2477321773767471	0.5679741501808167	0.5533573627471924	0.4840779602527618	0.5055001974105835	0.503269374370575	0.5048150420188904	0.4699442982673645	0.3021644949913025	0.4547078311443329	0.419659286737442	0.4996338188648224
Musq_27_23	0.3908301889896393	0.3571377992630005	0.3257201611995697	0.2535246014595032	0.2294996231794357	0.4003531038761139	0.2635144889354706	0.2841394543647766	0.2540424168109894	0.1733895540237427	0.3059515058994293	0	0.2823482155799866	0.3181985318660736	0.4532005190849304	0.5443565249443054	0.5186524391174316	0.5846295952796936	0.5341403484344482	0.4605986475944519	0.4307808876037598	0.4502566158771515	0.4449827075004578	0.4141776561737061	0.389745831489563	0.4716437160968781
Musq_29_23	0.2527475953102112	0.23641736805439	0.4211570024490356	0.03843779489398003	0.07064495980739594	0.1720024645328522	0.02561326697468758	0.2153004109859467	0.1826470494270325	0.2350434064865112	0.341545581817627	0.2823482155799866	0	0.09434498846530914	0.2694205641746521	0.3908911049365997	0.3608793616294861	0.458528995513916	0.3566814959049225	0.2751388549804688	0.2809872925281525	0.3297717273235321	0.2635422646999359	0.3669545650482178	0.1534470170736313	0.2915590107440948
Musq_31_23	0.2722099721431732	0.2683055698871613	0.4442847967147827	0.08713319897651672	0.118390366435051	0.2406779527664185	0.07558251172304153	0.2386891394853592	0.2092991769313812	0.3084067106246948	0.396633118391037	0.3181985318660736	0.09434498846530914	0	0.2479278445243835	0.4332582354545593	0.3828461766242981	0.4749156832695007	0.4021182060241699	0.2201111167669296	0.2754792273044586	0.3722313940525055	0.2818540036678314	0.407494843006134	0.1299526691436768	0.2807526290416718
Musq_19_23	0.1695790886878967	0.1450195461511612	0.2466943562030792	0.2899676561355591	0.3210323452949524	0.164944052696228	0.2854043245315552	0.4002726972103119	0.3796444237232208	0.36555215716362	0.2477321773767471	0.4532005190849304	0.2694205641746521	0.2479278445243835	0	0.4573799967765808	0.4387102127075195	0.3620208501815796	0.4404640793800354	0.3637308478355408	0.4071356952190399	0.4079270362854004	0.1641303598880768	0.476151704788208	0.2043207138776779	0.3635691106319427
Musq_01_23	0.5059146881103516	0.4986466467380524	0.5757877826690674	0.4113154411315918	0.4156568348407745	0.4607518911361694	0.4064154326915741	0.4340100288391113	0.4892286062240601	0.4747517704963684	0.5679741501808167	0.5443565249443054	0.3908911049365997	0.4332582354545593	0.4573799967765808	0	0.1242403239011765	0.4111225605010986	0.3319401741027832	0.3511213660240173	0.2971513569355011	0.2102858871221542	0.416828840970993	0.3938257098197937	0.3549739122390747	0.4790374040603638
Musq_03_23	0.4653207063674927	0.4569777846336365	0.5388845205307007	0.3572821319103241	0.3820329904556274	0.4376555979251862	0.3515552878379822	0.4587692320346832	0.4426749646663666	0.4492878019809723	0.5533573627471924	0.5186524391174316	0.3608793616294861	0.3828461766242981	0.4387102127075195	0.1242403239011765	0	0.3660687804222107	0.3022625744342804	0.2944491803646088	0.2620662748813629	0.1690328568220139	0.3731698393821716	0.3688562214374542	0.3285920917987823	0.4618095755577087
Musq_05_23	0.3720252513885498	0.3795464932918549	0.4312860667705536	0.4558587670326233	0.4783958792686462	0.3424622416496277	0.4516153931617737	0.5397675633430481	0.5274290442466736	0.5359486937522888	0.4840779602527618	0.5846295952796936	0.458528995513916	0.4749156832695007	0.3620208501815796	0.4111225605010986	0.3660687804222107	0	0.2254523783922195	0.3625834286212921	0.4034096300601959	0.4020343422889709	0.31697678565979	0.506964385509491	0.4224199950695038	0.5497702360153198
