	Musq_19_24	Musq_21_24	Musq_23_24	Musq_25_24	Musq_27_24	Musq_29_24	Musq_31_24	Zone_2B_1_24	Zone_2B_2_24	Zone_2B_3_24	Zone_3_1_24	Zone_3_3_24	Zone_3_2_24	Zone_2A_12_24	Zone_2A_10_24	Zone_2A_1_24	Musq_01_24	Musq_03_24	Musq_05_24	Musq_07_24	Musq_09_24	Musq_11_24	Musq_13_24	Musq_15_24	Musq_17_24
Musq_19_24	0.0	0.5440771349862259	0.5014925373134328	0.5348837209302325	0.5578034682080925	0.5644699140401146	0.5848214285714286	0.5615050651230101	0.5796897038081805	0.575107296137339	0.6025280898876404	0.6100131752305665	0.5637181409295352	0.5724043715846995	0.5245398773006135	0.5440340909090909	0.8034849951597289	0.7148102815177478	0.6205059920106525	0.5782608695652174	0.5377358490566038	0.5993071593533488	0.6087456846950517	0.6302681992337165	0.5825027685492802
Musq_21_24	0.5440771349862259	0.0	0.5268225584594223	0.5647530040053405	0.6041939711664482	0.5897097625329816	0.6149659863945578	0.5928381962864722	0.6070038910505836	0.60498687664042	0.6044678055190539	0.63003663003663	0.5783633841886269	0.5977301387137453	0.5486600846262342	0.5536423841059602	0.8056828597616865	0.7219679633867276	0.6246882793017456	0.5876010781671159	0.5472887767969735	0.6010928961748634	0.5978021978021978	0.6126042632066728	0.5578158458244111
Musq_23_24	0.5014925373134328	0.5268225584594223	0.0	0.4881656804733728	0.49851632047477745	0.5036818851251841	0.5108024691358025	0.5066666666666667	0.5288184438040345	0.5125184094256259	0.5291545189504373	0.5573549257759784	0.5046153846153846	0.5063469675599436	0.4868217054263566	0.4963820549927641	0.8382899628252788	0.7642276422764228	0.6792452830188679	0.6332417582417582	0.5801033591731266	0.6321070234113713	0.6149490373725934	0.644131455399061	0.596529284164859
Musq_25_24	0.5348837209302325	0.5647530040053405	0.4881656804733728	0.0	0.4744744744744745	0.48214285714285715	0.511520737327189	0.4918032786885246	0.4859675036927622	0.48656716417910445	0.508100147275405	0.52	0.49382716049382713	0.5277008310249307	0.5106382978723404	0.5330520393811533	0.8589626933575978	0.7863636363636364	0.7114914425427873	0.6733067729083665	0.6195244055068836	0.6457645764576457	0.6351501668520578	0.654275092936803	0.6043010752688172
Musq_27_24	0.5578034682080925	0.6041939711664482	0.49851632047477745	0.4744744744744745	0.0	0.4673748103186646	0.4729299363057325	0.4416796267496112	0.4962962962962963	0.4648318042813456	0.5029850746268657	0.46164978292329956	0.47874015748031495	0.5042613636363636	0.5235920852359208	0.5242857142857142	0.8670309653916212	0.8045197740112995	0.7314702308626975	0.6952506596306068	0.638854296388543	0.68	0.6582138919514884	0.6927272727272727	0.6399155227032735
Musq_29_24	0.5644699140401146	0.5897097625329816	0.5036818851251841	0.48214285714285715	0.4673748103186646	0.0	0.49059561128526646	0.4570552147239264	0.4745508982035928	0.4563552833078101	0.48343373493975905	0.4886685552407932	0.4504792332268371	0.5339805825242718	0.5220030349013657	0.5536959553695955	0.8787061994609164	0.8213096559378469	0.7464114832535885	0.7103896103896103	0.6473489519112207	0.6742424242424242	0.6597145993413831	0.6819012797074955	0.6371308016877637
Musq_31_24	0.5848214285714286	0.6149659863945578	0.5108024691358025	0.511520737327189	0.4729299363057325	0.49059561128526646	0.0	0.47929936305732485	0.4968944099378882	0.45893719806763283	0.5015673981191222	0.5124450951683748	0.48599670510708404	0.5420289855072464	0.5112903225806451	0.5435745937961596	0.8823529411764706	0.8203033838973163	0.7347715736040609	0.7006896551724138	0.6503225806451612	0.6984478935698448	0.6824324324324325	0.697565543071161	0.6670247046186896
Zone_2B_1_24	0.5615050651230101	0.5928381962864722	0.5066666666666667	0.4918032786885246	0.4416796267496112	0.4570552147239264	0.47929936305732485	0.0	0.4658573596358118	0.4520123839009288	0.4817629179331307	0.48714285714285716	0.4681528662420382	0.518361581920904	0.490625	0.5362731152204836	0.8717015468607825	0.8036322360953462	0.7270501835985312	0.6936339522546419	0.6404494382022472	0.6684901531728665	0.6522222222222223	0.6807727690892365	0.6223175965665236
Zone_2B_2_24	0.5796897038081805	0.6070038910505836	0.5288184438040345	0.4859675036927622	0.4962962962962963	0.4745508982035928	0.4968944099378882	0.4658573596358118	0.0	0.48125937031484256	0.4781954887218045	0.48158640226628896	0.4669811320754717	0.5270457697642164	0.53003003003003	0.5527777777777778	0.8762331838565023	0.8183831672203765	0.7389221556886227	0.6988265971316818	0.6428571428571429	0.6688311688311688	0.6586433260393874	0.6785388127853881	0.6304118268215417
Zone_2B_3_24	0.575107296137339	0.60498687664042	0.5125184094256259	0.48656716417910445	0.4648318042813456	0.4563552833078101	0.45893719806763283	0.4520123839009288	0.48125937031484256	0.0	0.48333333333333334	0.4711815561959654	0.48665620094191525	0.49642346208869814	0.5355521936459909	0.5334281650071123	0.8709090909090909	0.8081264108352144	0.7230392156862745	0.6875	0.6154822335025381	0.6515486725663717	0.6469933184855234	0.6691380908248378	0.6391534391534391
Zone_3_1_24	0.6025280898876404	0.6044678055190539	0.5291545189504373	0.508100147275405	0.5029850746268657	0.48343373493975905	0.5015673981191222	0.4817629179331307	0.4781954887218045	0.48333333333333334	0.0	0.4748201438848921	0.5046583850931677	0.5355648535564853	0.5303951367781155	0.5851648351648352	0.8799638989169675	0.819910514541387	0.7487980769230769	0.7161458333333334	0.650990099009901	0.6746463547334058	0.6481069042316259	0.6954545454545454	0.6373276776246023
Zone_3_3_24	0.6100131752305665	0.63003663003663	0.5573549257759784	0.52	0.46164978292329956	0.4886685552407932	0.5124450951683748	0.48714285714285716	0.48158640226628896	0.4711815561959654	0.4748201438848921	0.0	0.5238095238095238	0.52	0.5656424581005587	0.5899094437257438	0.8861301369863014	0.8275499474237644	0.7488636363636364	0.7228327228327228	0.6596736596736597	0.6851851851851852	0.6432374866879659	0.6793286219081273	0.6414141414141414
Zone_3_2_24	0.5637181409295352	0.5783633841886269	0.5046153846153846	0.49382716049382713	0.47874015748031495	0.4504792332268371	0.48599670510708404	0.4681528662420382	0.4669811320754717	0.48665620094191525	0.5046583850931677	0.5238095238095238	0.0	0.5297532656023222	0.5024154589371981	0.5288888888888889	0.8662900188323918	0.7995283018867925	0.7291139240506329	0.6928374655647382	0.62890625	0.6848552338530067	0.6670441676104191	0.6946778711484594	0.6375545851528385
Zone_2A_12_24	0.5724043715846995	0.5977301387137453	0.5063469675599436	0.5277008310249307	0.5042613636363636	0.5339805825242718	0.5420289855072464	0.518361581920904	0.5270457697642164	0.49642346208869814	0.5355648535564853	0.52	0.5297532656023222	0.0	0.5324675324675324	0.5619174434087882	0.8705161854768154	0.8105489773950484	0.7328687572590011	0.6852791878172588	0.6428571428571429	0.6694648478488983	0.6481283422459893	0.6764705882352942	0.6391437308868502
