	Musq_19_24	Musq_21_24	Musq_23_24	Musq_25_24	Musq_27_24	Musq_29_24	Musq_31_24	Zone_2B_1_24	Zone_2B_2_24	Zone_2B_3_24	Zone_3_1_24	Zone_3_3_24	Zone_3_2_24	Zone_2A_12_24	Zone_2A_10_24	Zone_2A_1_24	Musq_01_24	Musq_03_24	Musq_05_24	Musq_07_24	Musq_09_24	Musq_11_24	Musq_13_24	Musq_15_24	Musq_17_24
Musq_19_24	0	0.1107270792126656	0.05132214725017548	0.07722291350364685	0.09990416467189789	0.09996996819972992	0.08384557813405991	0.08582092076539993	0.08376996964216232	0.09259867668151855	0.09544332325458527	0.1001870855689049	0.07803399860858917	0.1051272675395012	0.04760094359517097	0.0652531236410141	0.3010521233081818	0.1920118480920792	0.1323361545801163	0.1201624497771263	0.0781986266374588	0.1330950558185577	0.1116226464509964	0.1347683519124985	0.0993269681930542
Musq_21_24	0.1107270792126656	0	0.09957926720380783	0.124731220304966	0.1731825172901154	0.1360235959291458	0.1411080360412598	0.1217956990003586	0.1320466995239258	0.1254583299160004	0.1597281843423843	0.1683144271373749	0.1267428696155548	0.09393861889839172	0.1144232451915741	0.09901735186576843	0.2880954742431641	0.2188062220811844	0.1668457835912704	0.1542166769504547	0.1119277030229568	0.09811113774776459	0.1793970763683319	0.1199155375361443	0.1403383612632751
Musq_23_24	0.05132214725017548	0.09957926720380783	0	0.05407479405403137	0.09558744728565216	0.07051911950111389	0.06002664566040039	0.06409764289855957	0.06958159804344177	0.0676114484667778	0.08365951478481293	0.08888848125934601	0.05447844788432121	0.07204129546880722	0.05036461725831032	0.07011150568723679	0.3111350238323212	0.2102643698453903	0.1500405967235565	0.1306581795215607	0.08877027034759521	0.1261506527662277	0.1213306933641434	0.1250811666250229	0.1056246310472488
Musq_25_24	0.07722291350364685	0.124731220304966	0.05407479405403137	0	0.06276384741067886	0.04592446237802505	0.03956595435738564	0.05524187907576561	0.05450655892491341	0.06122829765081406	0.05174750089645386	0.05935104936361313	0.06241586059331894	0.07512346655130386	0.07179515063762665	0.09597751498222351	0.3149057626724243	0.2295423895120621	0.1777236312627792	0.1527305692434311	0.09278006851673126	0.1372480988502502	0.1122605875134468	0.1303780227899551	0.105918861925602
Musq_27_24	0.09990416467189789	0.1731825172901154	0.09558744728565216	0.06276384741067886	0	0.08384961634874344	0.07163391262292862	0.08813139051198959	0.08102795481681824	0.09364115446805954	0.06612565368413925	0.04639138653874397	0.08710277080535889	0.1197992190718651	0.1004429012537003	0.1329682916402817	0.3420614004135132	0.2495415210723877	0.193519800901413	0.1683434098958969	0.1186638697981834	0.177592933177948	0.1016580536961555	0.1558710783720016	0.110437884926796
Musq_29_24	0.09996996819972992	0.1360235959291458	0.07051911950111389	0.04592446237802505	0.08384961634874344	0	0.03481961041688919	0.04681649059057236	0.04909899085760117	0.05294843018054962	0.0606275349855423	0.06680908799171448	0.05806741490960121	0.06813843548297882	0.09118524938821793	0.1102410852909088	0.3222015500068665	0.2399663627147675	0.1900775730609894	0.1668529063463211	0.1140718758106232	0.1473932862281799	0.1365255415439606	0.1351956427097321	0.1257039755582809
Musq_31_24	0.08384557813405991	0.1411080360412598	0.06002664566040039	0.03956595435738564	0.07163391262292862	0.03481961041688919	0	0.04408706724643707	0.04277960211038589	0.04606477543711662	0.04937190189957619	0.0588252954185009	0.04703713953495026	0.07339104264974594	0.07561945170164108	0.1017035916447639	0.3285220563411713	0.2365453392267227	0.1872904747724533	0.1618388146162033	0.11692775785923	0.1551429480314255	0.13664910197258	0.1525184065103531	0.1281808614730835
Zone_2B_1_24	0.08582092076539993	0.1217956990003586	0.06409764289855957	0.05524187907576561	0.08813139051198959	0.04681649059057236	0.04408706724643707	0	0.03625840693712234	0.04134617745876312	0.06649594008922577	0.07657704502344131	0.04298190772533417	0.05491722002625465	0.06845692545175552	0.08359180390834808	0.3212977051734924	0.236559733748436	0.1814925223588943	0.1650002598762512	0.118803471326828	0.1468518078327179	0.1402622610330582	0.1522892862558365	0.1353652328252792
Zone_2B_2_24	0.08376996964216232	0.1320466995239258	0.06958159804344177	0.05450655892491341	0.08102795481681824	0.04909899085760117	0.04277960211038589	0.03625840693712234	0	0.04019603505730629	0.04937433451414108	0.07335396111011505	0.05367650464177132	0.06831078976392746	0.07406917214393616	0.09335355460643768	0.3258714377880096	0.2432121485471725	0.187305748462677	0.169180691242218	0.1223524212837219	0.1530752778053284	0.1422654241323471	0.1622936874628067	0.1392501443624496
Zone_2B_3_24	0.09259867668151855	0.1254583299160004	0.0676114484667778	0.06122829765081406	0.09364115446805954	0.05294843018054962	0.04606477543711662	0.04134617745876312	0.04019603505730629	0	0.06330897659063339	0.07371646165847778	0.04829265177249908	0.0645679384469986	0.07519613206386566	0.09240395575761795	0.3292515277862549	0.2425553649663925	0.1893404275178909	0.1683786511421204	0.128245010972023	0.1539179086685181	0.1475024372339249	0.1564691811800003	0.1386338174343109
Zone_3_1_24	0.09544332325458527	0.1597281843423843	0.08365951478481293	0.05174750089645386	0.06612565368413925	0.0606275349855423	0.04937190189957619	0.06649594008922577	0.04937433451414108	0.06330897659063339	0	0.05104617029428482	0.07485329359769821	0.1007029265165329	0.09210909903049469	0.1117003411054611	0.3321549296379089	0.2480669021606445	0.1991489827632904	0.173946887254715	0.1212574243545532	0.168657124042511	0.1296649724245071	0.160005658864975	0.1350657045841217
Zone_3_3_24	0.1001870855689049	0.1683144271373749	0.08888848125934601	0.05935104936361313	0.04639138653874397	0.06680908799171448	0.0588252954185009	0.07657704502344131	0.07335396111011505	0.07371646165847778	0.05104617029428482	0	0.0796063095331192	0.1073611900210381	0.09542952477931976	0.1281915307044983	0.337296336889267	0.2440527528524399	0.1910542994737625	0.1658043563365936	0.1191999167203903	0.1724335104227066	0.1084509268403053	0.1511335968971252	0.1112406179308891
Zone_3_2_24	0.07803399860858917	0.1267428696155548	0.05447844788432121	0.06241586059331894	0.08710277080535889	0.05806741490960121	0.04703713953495026	0.04298190772533417	0.05367650464177132	0.04829265177249908	0.07485329359769821	0.0796063095331192	0	0.05621190741658211	0.05525153502821922	0.07766557484865189	0.3263274133205414	0.2246688604354858	0.1683391183614731	0.1515737473964691	0.1053214222192764	0.1532450020313263	0.1412627547979355	0.148922473192215	0.1288939416408539
Zone_2A_12_24	0.1051272675395012	0.09393861889839172	0.07204129546880722	0.07512346655130386	0.1197992190718651	0.06813843548297882	0.07339104264974594	0.05491722002625465	0.06831078976392746	0.0645679384469986	0.1007029265165329	0.1073611900210381	0.05621190741658211	0	0.07794160395860672	0.08453746885061264	0.307419627904892	0.2315298020839691	0.1761001795530319	0.1671625077724457	0.1191680282354355	0.125298872590065	0.1605935841798782	0.1377091854810715	0.1480974853038788
