	Musq_19_24	Musq_21_24	Musq_23_24	Musq_25_24	Musq_27_24	Musq_29_24	Musq_31_24	Zone_2B_1_24	Zone_2B_2_24	Zone_2B_3_24	Zone_3_1_24	Zone_3_3_24	Zone_3_2_24	Zone_2A_12_24	Zone_2A_10_24	Zone_2A_1_24	Musq_01_24	Musq_03_24	Musq_05_24	Musq_07_24	Musq_09_24	Musq_11_24	Musq_13_24	Musq_15_24	Musq_17_24
Musq_19_24	0.0	0.463	0.6738	0.8064	0.9054	0.9176	0.9206	0.9201	0.9182	0.9216	0.9207	0.9105	0.7472	0.9697	0.6388	0.6823	0.7613	0.5473	0.3423	0.4878	0.4726	0.4747	0.4731	0.3052	0.383
Musq_21_24	0.463	0.0	0.4068	0.4584	0.5442	0.6344	0.6545	0.6866	0.628	0.686	0.6244	0.618	0.4259	0.7805	0.3755	0.52	0.7302	0.3824	0.4592	0.3288	0.2605	0.2843	0.3703	0.4387	0.515
Musq_23_24	0.6738	0.4068	0.0	0.4703	0.5349	0.5595	0.7027	0.8006	0.5381	0.6761	0.73	0.4328	0.4269	0.9039	0.3037	0.64	0.8452	0.3754	0.6893	0.4894	0.4634	0.4941	0.6319	0.6621	0.7035
Musq_25_24	0.8064	0.4584	0.4703	0.0	0.4515	0.6325	0.6584	0.6581	0.6108	0.6931	0.6584	0.6418	0.6024	0.7338	0.4937	0.5894	0.9239	0.7766	0.8352	0.7131	0.6543	0.5987	0.7124	0.8109	0.8582
Musq_27_24	0.9054	0.5442	0.5349	0.4515	0.0	0.4319	0.4953	0.5667	0.4066	0.5524	0.4977	0.5415	0.4505	0.5633	0.5527	0.7177	0.9246	0.7172	0.8328	0.7062	0.6665	0.7295	0.8296	0.8282	0.9312
Musq_29_24	0.9176	0.6344	0.5595	0.6325	0.4319	0.0	0.3428	0.5891	0.3254	0.5475	0.3348	0.2819	0.2951	0.6453	0.5571	0.831	0.9412	0.6015	0.8543	0.732	0.6753	0.8573	0.8357	0.8981	0.9381
Musq_31_24	0.9206	0.6545	0.7027	0.6584	0.4953	0.3428	0.0	0.5987	0.4757	0.5595	0.3933	0.504	0.4572	0.6866	0.6634	0.835	0.9424	0.7355	0.8585	0.7376	0.6863	0.857	0.839	0.9011	0.9397
Zone_2B_1_24	0.9201	0.6866	0.8006	0.6581	0.5667	0.5891	0.5987	0.0	0.5304	0.6351	0.5277	0.7605	0.5825	0.6288	0.8121	0.8302	0.929	0.824	0.8332	0.8281	0.7756	0.7848	0.8007	0.8624	0.9347
Zone_2B_2_24	0.9182	0.628	0.5381	0.6108	0.4066	0.3254	0.4757	0.5304	0.0	0.5096	0.4925	0.4626	0.3037	0.5114	0.601	0.8308	0.9392	0.5826	0.8507	0.7274	0.6715	0.8502	0.8407	0.8947	0.9382
Zone_2B_3_24	0.9216	0.686	0.6761	0.6931	0.5524	0.5475	0.5595	0.6351	0.5096	0.0	0.571	0.6314	0.5448	0.7457	0.686	0.8376	0.9406	0.7079	0.8447	0.7339	0.6756	0.8498	0.8401	0.8883	0.9371
Zone_3_1_24	0.9207	0.6244	0.73	0.6584	0.4977	0.3348	0.3933	0.5277	0.4925	0.571	0.0	0.4825	0.4959	0.6666	0.6983	0.8323	0.9371	0.7567	0.8349	0.7561	0.708	0.7469	0.8245	0.8647	0.935
