	Musq_19_24	Musq_21_24	Musq_23_24	Musq_25_24	Musq_27_24	Musq_29_24	Musq_31_24	Zone_2B_1_24	Zone_2B_2_24	Zone_2B_3_24	Zone_3_1_24	Zone_3_3_24	Zone_3_2_24	Zone_2A_12_24	Zone_2A_10_24	Zone_2A_1_24	Musq_01_24	Musq_03_24	Musq_05_24	Musq_07_24	Musq_09_24	Musq_11_24	Musq_13_24	Musq_15_24	Musq_17_24
Musq_19_24	0.0	0.6826923076923077	0.5769230769230769	0.6413043478260869	0.6727272727272727	0.6428571428571429	0.6172839506172839	0.6698113207547169	0.6634615384615384	0.6666666666666666	0.6526315789473685	0.6555555555555556	0.6869565217391305	0.7433628318584071	0.5151515151515151	0.5897435897435898	0.7653061224489796	0.7294117647058823	0.7254901960784313	0.6470588235294118	0.7117117117117117	0.6172839506172839	0.6831683168316832	0.6590909090909091	0.5949367088607594
Musq_21_24	0.6826923076923077	0.0	0.5	0.49572649572649574	0.4728682170542636	0.48623853211009177	0.5948275862068966	0.5230769230769231	0.48	0.5726495726495726	0.5447154471544715	0.5901639344262295	0.48120300751879697	0.5038759689922481	0.51	0.4811320754716981	0.7445255474452555	0.6967213114754098	0.6183206106870229	0.6050420168067226	0.5303030303030303	0.5045871559633027	0.5736434108527132	0.49107142857142855	0.5137614678899083
Musq_23_24	0.5769230769230769	0.5	0.0	0.5294117647058824	0.5258620689655172	0.43820224719101125	0.4777777777777778	0.5045045045045045	0.4672897196261682	0.53125	0.47	0.5252525252525253	0.5084745762711864	0.5478260869565217	0.48148148148148145	0.4482758620689655	0.7521367521367521	0.696078431372549	0.6521739130434783	0.6	0.6	0.5425531914893617	0.6379310344827587	0.5257731958762887	0.5531914893617021
Musq_25_24	0.6413043478260869	0.49572649572649574	0.5294117647058824	0.0	0.4959349593495935	0.48514851485148514	0.49	0.5245901639344263	0.5166666666666667	0.5648148148148148	0.46788990825688076	0.5454545454545454	0.515625	0.5284552845528455	0.5425531914893617	0.3978494623655914	0.7878787878787878	0.7542372881355932	0.6796875	0.6608695652173913	0.544	0.504950495049505	0.5423728813559322	0.5596330275229358	0.48484848484848486
Musq_27_24	0.6727272727272727	0.4728682170542636	0.5258620689655172	0.4959349593495935	0.0	0.5254237288135594	0.5299145299145299	0.5	0.46923076923076923	0.5454545454545454	0.4715447154471545	0.5748031496062992	0.4928571428571429	0.5255474452554745	0.6017699115044248	0.5087719298245614	0.8013245033112583	0.782608695652174	0.6619718309859155	0.6742424242424242	0.55	0.5666666666666667	0.5597014925373134	0.5645161290322581	0.5630252100840336
Musq_29_24	0.6428571428571429	0.48623853211009177	0.43820224719101125	0.48514851485148514	0.5254237288135594	0.0	0.42696629213483145	0.504424778761062	0.46788990825688076	0.5306122448979592	0.45544554455445546	0.4639175257731959	0.4700854700854701	0.559322033898305	0.5	0.4318181818181818	0.8174603174603174	0.7636363636363637	0.6942148760330579	0.6635514018691588	0.632	0.6	0.635593220338983	0.5825242718446602	0.5816326530612245
Musq_31_24	0.6172839506172839	0.5948275862068966	0.4777777777777778	0.49	0.5299145299145299	0.42696629213483145	0.0	0.5350877192982456	0.5	0.5052631578947369	0.42857142857142855	0.53	0.525	0.5641025641025641	0.5060240963855421	0.47191011235955055	0.7851239669421488	0.7476635514018691	0.6666666666666666	0.6698113207547169	0.6260162601626016	0.5625	0.6173913043478261	0.6153846153846154	0.5425531914893617
Zone_2B_1_24	0.6698113207547169	0.5230769230769231	0.5045045045045045	0.5245901639344263	0.5	0.504424778761062	0.5350877192982456	0.0	0.42276422764227645	0.5130434782608696	0.46218487394957986	0.5210084033613446	0.4852941176470588	0.5407407407407407	0.5700934579439252	0.4722222222222222	0.8027210884353742	0.7744360902255639	0.7241379310344828	0.671875	0.625	0.5726495726495726	0.6074074074074074	0.5819672131147541	0.543859649122807
Zone_2B_2_24	0.6634615384615384	0.48	0.4672897196261682	0.5166666666666667	0.46923076923076923	0.46788990825688076	0.5	0.42276422764227645	0.0	0.504424778761062	0.452991452991453	0.5128205128205128	0.46616541353383456	0.4883720930232558	0.5619047619047619	0.46226415094339623	0.8163265306122449	0.7709923664122137	0.7021276595744681	0.6341463414634146	0.6197183098591549	0.5775862068965517	0.6015037593984962	0.5867768595041323	0.5739130434782609
Zone_2B_3_24	0.6666666666666666	0.5726495726495726	0.53125	0.5648148148148148	0.5454545454545454	0.5306122448979592	0.5052631578947369	0.5130434782608696	0.504424778761062	0.0	0.45098039215686275	0.5339805825242718	0.5284552845528455	0.5546218487394958	0.5777777777777777	0.5106382978723404	0.8110236220472441	0.7678571428571429	0.7096774193548387	0.6697247706422018	0.6589147286821705	0.5656565656565656	0.6639344262295082	0.5904761904761905	0.59
