	Musq_21_25	Musq_19_25	Musq_17_25	Musq_15_25	Musq_13_25	Musq_11_25	Musq_09_25	Musq_07_25	Musq_05_25	Musq_03_25	Musq_01_25	Musq_23_25	Musq_25_25	Zone_3_1_25	Zone_3_3_25	Musq_31_25	Zone_3_2_25	Musq_29_25	Zone_2A_10_25	Zone_2A_1_25	Musq_27_25	Zone_2A_12_25	Zone_2B_1_25	Zone_2B_3_25	Zone_2B_2_25
Musq_21_25	0.0	46.927117630939755	49.57110829439487	45.852569294473994	55.161862773831594	54.42324039403232	57.03527223595066	56.073868065279186	60.401986157786	63.25398707148677	66.7756840765386	41.15130893678971	44.868313648763134	49.78514512213452	46.5969087068902	53.27333983882348	53.17356732321154	52.38219456380057	49.802087554816254	42.22745347303173	52.44780041423968	50.5322889477633	47.26202550739171	49.51997746944372	54.02498239317742
Musq_19_25	46.927117630939755	0.0	44.69406847708069	45.44201946720445	51.85014866510603	51.15073015714317	55.66503646862439	57.5068040377455	63.61481110833216	67.69803693886146	74.48808005715478	49.82368418585159	54.23960884356312	59.304513073606394	51.00383149572519	54.779164089401924	57.648387966220014	59.27539095753464	57.89275820792804	48.07628042926726	57.015238684858424	53.57664464934334	55.62688661729622	56.41264786899592	58.22927765656749
Musq_17_25	49.57110829439487	44.69406847708069	0.0	44.9232063949104	51.91526599731886	51.15557850979291	54.49988818606117	56.818695992585134	62.80548236330559	66.933492090238	75.24627725720006	52.550978720626794	58.188167776069804	62.618024888971334	54.30425205477158	59.27768621583475	60.56526196224177	62.43715507116426	60.54987826683432	50.82948517514231	60.88957077771038	55.74373098348547	59.144545005692784	59.64517807144655	61.49755941630557
Musq_15_25	45.852569294473994	45.44201946720445	44.9232063949104	0.0	48.33834408468778	46.50004052382197	51.778197969478896	51.75454833739817	56.82996587334469	62.042117772746124	68.05873614532422	50.50108457681096	55.609346950134025	59.904055175148805	52.04655859332796	57.89325501623227	59.00422430062578	60.386394474706805	58.43343963954854	48.80723373152358	59.7160223760004	53.74847876296353	56.104313053479764	57.80839825551705	60.01810130454225
Musq_13_25	55.161862773831594	51.85014866510603	51.91526599731886	48.33834408468778	0.0	46.426898047927466	48.47629689892666	50.42358779789488	55.61065064900612	60.71448177289254	68.62578628434753	60.038770224294865	64.90091515731733	69.46169017744167	61.77808296876757	66.8952208331202	68.48800656599224	69.11633421562186	68.27272212376639	57.80050500498267	68.39042605987686	63.10606481551098	65.21767236266253	66.99935435841512	69.53098041468118
Musq_11_25	54.42324039403232	51.15073015714317	51.15557850979291	46.50004052382197	46.426898047927466	0.0	49.51882462071621	48.9695962984205	54.346304934283886	58.874008075605765	67.7542070308803	57.345170254525655	63.13546314237854	67.84450058134604	60.72163977075994	64.35215175567677	66.18448312106264	67.22917543292832	66.25511933095642	55.67576380094845	66.84317542121907	60.7344244112288	63.554873792467426	64.87715732126907	67.06798758537964
Musq_09_25	57.03527223595066	55.66503646862439	54.49988818606117	51.778197969478896	48.47629689892666	49.51882462071621	0.0	49.36064398051719	51.67233233924098	56.95202092931315	66.35461160019064	62.434012542208286	67.8372449049872	71.63164911551607	65.95004444515429	70.45860372348602	71.0715555815214	72.054358137315	70.60068195278933	61.81104767197535	71.49267734224453	66.96069795562975	68.92867493505683	70.41613413082962	72.28003091448868
Musq_07_25	56.073868065279186	57.5068040377455	56.818695992585134	51.75454833739817	50.42358779789488	48.9695962984205	49.36064398051719	0.0	45.54964394123529	49.435799347936616	57.11659668117397	61.75558444260725	67.02051698637513	71.19134639036996	65.56584992992062	70.90965778211473	72.37018149167288	73.23262574772914	71.10071973216125	60.6902498572962	73.0810775575918	67.79993951768823	68.31746636350121	70.66456115031768	72.97379236296833
Musq_05_25	60.401986157786	63.61481110833216	62.80548236330559	56.82996587334469	55.61065064900612	54.346304934283886	51.67233233924098	45.54964394123529	0.0	42.1124265019403	48.94433672753869	66.22330205530987	72.089510322773	75.66253382965895	70.7994356344231	76.81800821212686	77.26721901785645	77.13635177663794	75.30882769966732	67.4050958988588	77.98785716034129	73.35757387114462	73.41692055527078	75.73367096296617	78.09179836979729
Musq_03_25	63.25398707148677	67.69803693886146	66.933492090238	62.042117772746124	60.71448177289254	58.874008075605765	56.95202092931315	49.435799347936616	42.1124265019403	0.0	44.574966223998146	70.08258715327484	75.33669064209948	78.65141914458637	74.39907730988408	80.08113326609516	80.961634889157	80.9674704149673	78.22755186807355	71.38456350251593	81.10012750715441	77.49564154956137	76.86534989442237	79.06693695173718	81.5281866218209
Musq_01_25	66.7756840765386	74.48808005715478	75.24627725720006	68.05873614532422	68.62578628434753	67.7542070308803	66.35461160019064	57.11659668117397	48.94433672753869	44.574966223998146	0.0	73.32429817781208	77.82431416542694	81.38380820886647	77.98125885782342	84.22799650114803	84.38839594643237	83.71606316384367	81.23953637281	75.55831009902816	84.72250528839285	81.45774203860576	79.81914655921253	81.84388921595783	84.8000940176047
Musq_23_25	41.15130893678971	49.82368418585159	52.550978720626794	50.50108457681096	60.038770224294865	57.345170254525655	62.434012542208286	61.75558444260725	66.22330205530987	70.08258715327484	73.32429817781208	0.0	36.46820282869053	40.41344382963248	38.26243060964261	46.28166763028553	45.74454783215281	43.81245229047983	41.319097113777644	38.818284945965445	43.855061051382904	41.23110952407194	37.62420562118228	39.22355658679529	45.81321785672594
Musq_25_25	44.868313648763134	54.23960884356312	58.188167776069804	55.609346950134025	64.90091515731733	63.13546314237854	67.8372449049872	67.02051698637513	72.089510322773	75.33669064209948	77.82431416542694	36.46820282869053	0.0	36.88329852164699	40.484546416802715	43.702407415647585	41.24057942536565	39.68114003335162	38.01208807285117	44.05823697581901	41.41980275146048	42.02613982493895	34.91893246610763	37.120728175647436	43.45835377772999
Zone_3_1_25	49.78514512213452	59.304513073606394	62.618024888971334	59.904055175148805	69.46169017744167	67.84450058134604	71.63164911551607	71.19134639036996	75.66253382965895	78.65141914458637	81.38380820886647	40.41344382963248	36.88329852164699	0.0	43.18863365677085	46.939191438566446	46.063562323901664	42.01278593610032	37.60981167334323	45.57325613616407	42.66397388682211	45.01669986719486	38.325887325026564	38.54623114301906	45.758460173050004
Zone_3_3_25	46.5969087068902	51.00383149572519	54.30425205477158	52.04655859332796	61.77808296876757	60.72163977075994	65.95004444515429	65.56584992992062	70.7994356344231	74.39907730988408	77.98125885782342	38.26243060964261	40.484546416802715	43.18863365677085	0.0	43.31738289094402	44.175218868997426	44.54679614128984	41.872406420389204	40.617985059611065	43.81350384846052	38.892229326692416	38.373046122236374	39.642207597427294	44.23912261158003
Musq_31_25	53.27333983882348	54.779164089401924	59.27768621583475	57.89325501623227	66.8952208331202	64.35215175567677	70.45860372348602	70.90965778211473	76.81800821212686	80.08113326609516	84.22799650114803	46.28166763028553	43.702407415647585	46.939191438566446	43.31738289094402	0.0	41.71200360269517	44.423907848885825	45.08301108267573	47.521665013217664	44.904884844029986	41.298963155751224	41.88516478035377	44.105151168219955	42.56216897521902
Zone_3_2_25	53.17356732321154	57.648387966220014	60.56526196224177	59.00422430062578	68.48800656599224	66.18448312106264	71.0715555815214	72.37018149167288	77.26721901785645	80.961634889157	84.38839594643237	45.74454783215281	41.24057942536565	46.063562323901664	44.175218868997426	41.71200360269517	0.0	40.744004819057125	42.240103956438226	50.21580078114567	40.86082271403309	42.05528817140789	41.41046689248994	42.03343124453345	40.26939829751666
Musq_29_25	52.38219456380057	59.27539095753464	62.43715507116426	60.386394474706805	69.11633421562186	67.22917543292832	72.054358137315	73.23262574772914	77.13635177663794	80.9674704149673	83.71606316384367	43.81245229047983	39.68114003335162	42.01278593610032	44.54679614128984	44.423907848885825	40.744004819057125	0.0	39.14554644340058	49.1418486052706	38.61958737935037	41.9836961405895	37.776287284223635	38.914738840273216	41.86507337404495
Zone_2A_10_25	49.802087554816254	57.89275820792804	60.54987826683432	58.43343963954854	68.27272212376639	66.25511933095642	70.60068195278933	71.10071973216125	75.30882769966732	78.22755186807355	81.23953637281	41.319097113777644	38.01208807285117	37.60981167334323	41.872406420389204	45.08301108267573	42.240103956438226	39.14554644340058	0.0	47.85043564084157	40.052342321506224	43.12591468366578	37.52380611138527	38.6761472651458	43.398000705296745
Zone_2A_1_25	42.22745347303173	48.07628042926726	50.82948517514231	48.80723373152358	57.80050500498267	55.67576380094845	61.81104767197535	60.6902498572962	67.4050958988588	71.38456350251593	75.55831009902816	38.818284945965445	44.05823697581901	45.57325613616407	40.617985059611065	47.521665013217664	50.21580078114567	49.1418486052706	47.85043564084157	0.0	48.714685286096895	43.09377744584542	42.597051855365414	45.13621400120417	49.71045245021957
Musq_27_25	52.44780041423968	57.015238684858424	60.88957077771038	59.7160223760004	68.39042605987686	66.84317542121907	71.49267734224453	73.0810775575918	77.98785716034129	81.10012750715441	84.72250528839285	43.855061051382904	41.41980275146048	42.66397388682211	43.81350384846052	44.904884844029986	40.86082271403309	38.61958737935037	40.052342321506224	48.714685286096895	0.0	42.406601951150996	40.076714927943186	40.10109597285039	41.75931504074839
Zone_2A_12_25	50.5322889477633	53.57664464934334	55.74373098348547	53.74847876296353	63.10606481551098	60.7344244112288	66.96069795562975	67.79993951768823	73.35757387114462	77.49564154956137	81.45774203860576	41.23110952407194	42.02613982493895	45.01669986719486	38.892229326692416	41.298963155751224	42.05528817140789	41.9836961405895	43.12591468366578	43.09377744584542	42.406601951150996	0.0	38.53392454900368	40.4834398292751	43.341025313865664
Zone_2B_1_25	47.26202550739171	55.62688661729622	59.144545005692784	56.104313053479764	65.21767236266253	63.554873792467426	68.92867493505683	68.31746636350121	73.41692055527078	76.86534989442237	79.81914655921253	37.62420562118228	34.91893246610763	38.325887325026564	38.373046122236374	41.88516478035377	41.41046689248994	37.776287284223635	37.52380611138527	42.597051855365414	40.076714927943186	38.53392454900368	0.0	36.14585303992534	42.7644981757263
Zone_2B_3_25	49.51997746944372	56.41264786899592	59.64517807144655	57.80839825551705	66.99935435841512	64.87715732126907	70.41613413082962	70.66456115031768	75.73367096296617	79.06693695173718	81.84388921595783	39.22355658679529	37.120728175647436	38.54623114301906	39.642207597427294	44.105151168219955	42.03343124453345	38.914738840273216	38.6761472651458	45.13621400120417	40.10109597285039	40.4834398292751	36.14585303992534	0.0	42.49113273266983
Zone_2B_2_25	54.02498239317742	58.22927765656749	61.49755941630557	60.01810130454225	69.53098041468118	67.06798758537964	72.28003091448868	72.97379236296833	78.09179836979729	81.5281866218209	84.8000940176047	45.81321785672594	43.45835377772999	45.758460173050004	44.23912261158003	42.56216897521902	40.26939829751666	41.86507337404495	43.398000705296745	49.71045245021957	41.75931504074839	43.341025313865664	42.7644981757263	42.49113273266983	0.0
