	Musq_21_25	Musq_19_25	Musq_17_25	Musq_15_25	Musq_13_25	Musq_11_25	Musq_09_25	Musq_07_25	Musq_05_25	Musq_03_25	Musq_01_25	Musq_23_25	Musq_25_25	Zone_3_1_25	Zone_3_3_25	Musq_31_25	Zone_3_2_25	Musq_29_25	Zone_2A_10_25	Zone_2A_1_25	Musq_27_25	Zone_2A_12_25	Zone_2B_1_25	Zone_2B_3_25	Zone_2B_2_25
Musq_21_25	0.0	0.1458	0.1893	0.1793	0.21965	0.23515	0.25965	0.3348	0.4452	0.52665	0.71825	0.1159	0.13825	0.15865	0.14065	0.166	0.1845	0.1516	0.16085	0.1459	0.17105	0.1602	0.1351	0.1503	0.15535
Musq_19_25	0.1458	0.0	0.1237	0.1391	0.15865	0.17185	0.21545	0.29665	0.41925	0.5003	0.70065	0.17045	0.2139	0.24235	0.18885	0.1536	0.2078	0.22665	0.2435	0.141	0.2449	0.2003	0.20785	0.21815	0.2072
Musq_17_25	0.1893	0.1237	0.0	0.1301	0.1422	0.14525	0.18875	0.2662	0.39325	0.47345	0.6808	0.19035	0.2244	0.2639	0.214	0.17255	0.22745	0.25025	0.27	0.14755	0.26335	0.2049	0.22215	0.24145	0.23395
Musq_15_25	0.1793	0.1391	0.1301	0.0	0.1292	0.14645	0.17385	0.25095	0.3724	0.4559	0.6564	0.17985	0.22705	0.26755	0.2181	0.18875	0.237	0.2517	0.27275	0.1631	0.2679	0.20145	0.2287	0.24705	0.2388
Musq_13_25	0.21965	0.15865	0.1422	0.1292	0.0	0.11305	0.12395	0.2022	0.32695	0.4105	0.617	0.23055	0.275	0.31635	0.26405	0.22815	0.28325	0.29955	0.3207	0.2071	0.3169	0.24755	0.276	0.29415	0.28545
Musq_11_25	0.23515	0.17185	0.14525	0.14645	0.11305	0.0	0.13945	0.19045	0.3177	0.3987	0.60885	0.2368	0.27715	0.3199	0.2722	0.2351	0.28715	0.3043	0.3256	0.21705	0.3218	0.2569	0.2796	0.2931	0.2917
Musq_09_25	0.25965	0.21545	0.18875	0.17385	0.12395	0.13945	0.0	0.1761	0.2707	0.37155	0.5834	0.2784	0.3122	0.35425	0.30385	0.2688	0.32135	0.33675	0.3568	0.2561	0.35265	0.29035	0.31655	0.3332	0.3271
Musq_07_25	0.3348	0.29665	0.2662	0.25095	0.2022	0.19045	0.1761	0.0	0.1943	0.266	0.49055	0.35485	0.38625	0.418	0.37115	0.34505	0.3921	0.4034	0.4217	0.3227	0.4215	0.3586	0.37935	0.397	0.392
Musq_05_25	0.4452	0.41925	0.39325	0.3724	0.32695	0.3177	0.2707	0.1943	0.0	0.17695	0.3859	0.4649	0.49395	0.50425	0.4748	0.463	0.4838	0.4888	0.5016	0.44445	0.50475	0.4641	0.48725	0.4936	0.48865
Musq_03_25	0.52665	0.5003	0.47345	0.4559	0.4105	0.3987	0.37155	0.266	0.17695	0.0	0.27345	0.54845	0.57665	0.5849	0.5572	0.54445	0.56715	0.5726	0.58465	0.52625	0.58485	0.5478	0.57115	0.576	0.5729
Musq_01_25	0.71825	0.70065	0.6808	0.6564	0.617	0.60885	0.5834	0.49055	0.3859	0.27345	0.0	0.7355	0.7608	0.7685	0.7463	0.73485	0.7583	0.7606	0.7718	0.7166	0.76985	0.73625	0.75765	0.76355	0.76015
Musq_23_25	0.1159	0.17045	0.19035	0.17985	0.23055	0.2368	0.2784	0.35485	0.4649	0.54845	0.7355	0.0	0.11355	0.1556	0.1252	0.1509	0.16655	0.1447	0.1623	0.14155	0.1604	0.1265	0.118	0.12965	0.15015
Musq_25_25	0.13825	0.2139	0.2244	0.22705	0.275	0.27715	0.3122	0.38625	0.49395	0.57665	0.7608	0.11355	0.0	0.1179	0.12985	0.15605	0.16125	0.1232	0.1199	0.168	0.12925	0.1372	0.09145	0.10415	0.1428
