	Musq_21_25	Musq_19_25	Musq_17_25	Musq_15_25	Musq_13_25	Musq_11_25	Musq_09_25	Musq_07_25	Musq_05_25	Musq_03_25	Musq_01_25	Musq_23_25	Musq_25_25	Zone_3_1_25	Zone_3_3_25	Musq_31_25	Zone_3_2_25	Musq_29_25	Zone_2A_10_25	Zone_2A_1_25	Musq_27_25	Zone_2A_12_25	Zone_2B_1_25	Zone_2B_3_25	Zone_2B_2_25
Musq_21_25	0.0	20.16440325256563	13.512307565952723	18.234258280134377	14.13272437943001	16.716281781700236	18.147901092905133	10.939819492891305	12.22048106133191	13.906018185294817	13.571801754659049	20.87871769357353	17.845945842331318	16.821475322825854	18.690530306849507	15.322763547657509	13.74207755225795	15.453754918461698	16.54610818171596	12.554459765113487	18.636998163336553	20.82602508795759	21.69895564249436	17.4620231764654	23.853266621614317
Musq_19_25	20.16440325256563	0.0	16.050499284320363	16.906408721863524	20.337991823034443	18.525453159927235	21.184579367259914	17.126987105594257	18.39617347792967	17.49701947090474	16.401774426401953	20.930622945188286	22.160042728830458	21.129229107798132	23.76154886945972	22.708111903883218	22.002994166483536	22.56840393082154	20.468785301281216	22.68838393991239	21.833046272461154	26.046753889635255	25.468217245153376	23.66321018235532	27.992081609547434
Musq_17_25	13.512307565952723	16.050499284320363	0.0	14.484391197453936	14.871878609705012	13.101943118695587	16.697328447391694	12.280506795601461	13.770965949169264	16.81326999796717	16.352689623301064	15.916507596814451	18.892718536942404	19.687592281907026	20.407976676024294	14.616849200754364	18.446571443337135	18.29522541760909	20.155689087388886	17.468444794308553	20.602568676097086	21.920074370799323	21.273206968744425	20.775063093093426	23.785789999359206
Musq_15_25	18.234258280134377	16.906408721863524	14.484391197453936	0.0	13.941099662330924	11.332522412793738	14.112003007946765	13.338495273171432	15.857831524146278	13.642827273722293	13.279420283024953	20.75369353870213	20.59648249527782	19.274645988038785	22.057352100162902	18.40939473577432	20.175415700184956	20.97713741796962	19.285338308986343	18.5936617210523	20.760959973083526	24.242076965689048	23.584875715572885	21.746990714604323	27.533177586513595
Musq_13_25	14.13272437943001	20.337991823034443	14.871878609705012	13.941099662330924	0.0	9.385916192305537	11.458587347036161	7.959870100735365	8.458307051157563	12.311644972202055	14.002125810057118	20.2189612538941	20.89359096614268	19.091679425197846	20.63800544529561	16.95343053452487	18.515643125040324	19.94624660934147	19.761828499420332	15.21810907789614	21.198586054647876	22.094160828006366	23.454121383181892	19.98548164311234	25.084394413356137
Musq_11_25	16.716281781700236	18.525453159927235	13.101943118695587	11.332522412793738	9.385916192305537	0.0	12.372647013189585	11.605446959116545	12.623726800782523	14.668206329409992	15.90354616769294	16.680683170230175	21.242079084687024	21.079769919484008	21.7681054975063	18.23794427708739	19.954917731015144	21.30854447700538	20.846354834693372	17.690426251613793	22.435637174066002	24.032731597084386	24.335207070618225	21.0700169110835	26.347531512347146
Musq_09_25	18.147901092905133	21.184579367259914	16.697328447391694	14.112003007946765	11.458587347036161	12.372647013189585	0.0	12.255554349078562	13.169400371740307	15.722729119062922	16.367926796295357	22.174088383269755	22.586992771542565	21.959843665303538	23.183459759848255	19.286645583704306	21.3684323507954	22.345282148748208	22.213503681864275	18.993733464155152	23.659779077235463	24.303118108131393	24.444863517435255	22.556355639022613	27.41391798742187
Musq_07_25	10.939819492891305	17.126987105594257	12.280506795601461	13.338495273171432	7.959870100735365	11.605446959116545	12.255554349078562	0.0	6.525191457305041	10.470000896472136	9.8700207029314	20.002037721078814	19.386509092243667	17.58141168601777	19.970741696580912	15.836012859800237	16.995679465819915	17.749146848513828	18.41064580510407	14.139339993239176	19.75939157217962	20.416608913835184	21.573417320841283	19.417189027499916	24.367354314009212
Musq_05_25	12.22048106133191	18.39617347792967	13.770965949169264	15.857831524146278	8.458307051157563	12.623726800782523	13.169400371740307	6.525191457305041	0.0	10.991272216057197	12.296640883289465	20.184940110792017	20.820566973919387	18.36236398567704	20.48466246122928	16.32712407921761	18.18418408656138	19.343494296966078	19.307844430114052	14.8395411741541	20.79962521737662	20.877574342704854	21.821106525367362	19.832532189113138	24.38342888829852
Musq_03_25	13.906018185294817	17.49701947090474	16.81326999796717	13.642827273722293	12.311644972202055	14.668206329409992	15.722729119062922	10.470000896472136	10.991272216057197	0.0	6.185186237171898	23.414016680867107	20.753827605216085	17.158654703763332	21.036297966336846	18.470703507604146	18.392975325700363	20.419863671458355	16.86252429451736	15.212924717626592	19.096384793565395	24.527552230510835	24.754943591013078	20.004420514282206	27.67089316369135
