	2A12B	2A12S	2B03B	2B03S	301B	301S	M08B	M08S	M19S	M20B	M30B	M30S	M32B	M32S
2A12B	0	0.1196519285440445	0.06953270733356476	0.1302381306886673	0.05901941284537315	0.1657545119524002	0.3662203252315521	0.3299632966518402	0.182238832116127	0.1222130879759789	0.1564328670501709	0.1556148082017899	0.1409788578748703	0.09160676598548889
2A12S	0.1196519285440445	0	0.1053347662091255	0.07229037582874298	0.1285566538572311	0.08265001326799393	0.396542876958847	0.3669742047786713	0.2063577771186829	0.09091736376285553	0.1103895753622055	0.1214534416794777	0.2369511276483536	0.07856549322605133
2B03B	0.06953270733356476	0.1053347662091255	0	0.1056800410151482	0.07030260562896729	0.1454455256462097	0.3618335127830505	0.3360759019851685	0.1703827977180481	0.1248334124684334	0.1310581564903259	0.1293579190969467	0.1819116771221161	0.09165463596582413
2B03S	0.1302381306886673	0.07229037582874298	0.1056800410151482	0	0.138971284031868	0.0960005521774292	0.3823984861373901	0.3736021220684052	0.2044768929481506	0.1282932013273239	0.1130831688642502	0.1028726473450661	0.2475302517414093	0.08810148388147354
301B	0.05901941284537315	0.1285566538572311	0.07030260562896729	0.138971284031868	0	0.1772826313972473	0.380424290895462	0.3439849317073822	0.1965843290090561	0.1302673518657684	0.1618332713842392	0.1633898317813873	0.1650300323963165	0.09849794209003448
301S	0.1657545119524002	0.08265001326799393	0.1454455256462097	0.0960005521774292	0.1772826313972473	0	0.43907430768013	0.4166862964630127	0.2470392435789108	0.1335315704345703	0.1206923946738243	0.1157737970352173	0.2850592136383057	0.1262619644403458
M08B	0.3662203252315521	0.396542876958847	0.3618335127830505	0.3823984861373901	0.380424290895462	0.43907430768013	0	0.1295491456985474	0.2467000782489777	0.3789744973182678	0.3896628320217133	0.3963192999362946	0.3784887194633484	0.3792847990989685
M08S	0.3299632966518402	0.3669742047786713	0.3360759019851685	0.3736021220684052	0.3439849317073822	0.4166862964630127	0.1295491456985474	0	0.2321538478136063	0.3418735563755035	0.3970701098442078	0.4029091596603394	0.3353217542171478	0.3504746556282043
M19S	0.182238832116127	0.2063577771186829	0.1703827977180481	0.2044768929481506	0.1965843290090561	0.2470392435789108	0.2467000782489777	0.2321538478136063	0	0.1909878551959991	0.2084856331348419	0.2241337299346924	0.2397414296865463	0.198350265622139
M20B	0.1222130879759789	0.09091736376285553	0.1248334124684334	0.1282932013273239	0.1302673518657684	0.1335315704345703	0.3789744973182678	0.3418735563755035	0.1909878551959991	0	0.1258150190114975	0.1499519050121307	0.2247847467660904	0.09732600301504135
M30B	0.1564328670501709	0.1103895753622055	0.1310581564903259	0.1130831688642502	0.1618332713842392	0.1206923946738243	0.3896628320217133	0.3970701098442078	0.2084856331348419	0.1258150190114975	0	0.09658747911453247	0.2773196399211884	0.1241070777177811
M30S	0.1556148082017899	0.1214534416794777	0.1293579190969467	0.1028726473450661	0.1633898317813873	0.1157737970352173	0.3963192999362946	0.4029091596603394	0.2241337299346924	0.1499519050121307	0.09658747911453247	0	0.2788707315921783	0.1246347948908806
M32B	0.1409788578748703	0.2369511276483536	0.1819116771221161	0.2475302517414093	0.1650300323963165	0.2850592136383057	0.3784887194633484	0.3353217542171478	0.2397414296865463	0.2247847467660904	0.2773196399211884	0.2788707315921783	0	0.2010198980569839
M32S	0.09160676598548889	0.07856549322605133	0.09165463596582413	0.08810148388147354	0.09849794209003448	0.1262619644403458	0.3792847990989685	0.3504746556282043	0.198350265622139	0.09732600301504135	0.1241070777177811	0.1246347948908806	0.2010198980569839	0
