Marker	Metric	Year	Variable	R2	R2_percent	P_value
COI	aitchison	2022	Zone	0.302944639069408	30.3	0.001
COI	aitchison	2023	Zone	0.3506795101848759	35.1	0.001
COI	aitchison	2024	Zone	0.3273222959693571	32.7	0.001
COI	aitchison	2025	Zone	0.37177562892829485	37.2	0.001
COI	bray	2022	Zone	0.4752622296207563	47.5	0.002
COI	bray	2023	Zone	0.46246219899939994	46.2	0.001
COI	bray	2024	Zone	0.39491393891633364	39.5	0.002
COI	bray	2025	Zone	0.4802921957160783	48	0.001
COI	jaccard	2022	Zone	0.23163861215363513	23.2	0.002
COI	jaccard	2023	Zone	0.26445132193099874	26.4	0.001
COI	jaccard	2024	Zone	0.28227245311732047	28.2	0.001
COI	jaccard	2025	Zone	0.3300850620451083	33	0.001
COI	unw	2022	Zone	0.22703582064828223	22.7	0.001
COI	unw	2023	Zone	0.2603219286785559	26	0.001
COI	unw	2024	Zone	0.3201198318189201	32	0.001
COI	unw	2025	Zone	0.33395609849412894	33.4	0.001
COI	wt	2022	Zone	0.5480305852728279	54.8	0.003
COI	wt	2023	Zone	0.4430568231139346	44.3	0.001
COI	wt	2024	Zone	0.37032599390835635	37	0.006
COI	wt	2025	Zone	0.4869980561549401	48.7	0.001
mifish	aitchison	2022	Zone	0.2715081145704849	27.2	0.001
mifish	aitchison	2023	Zone	0.26417169752240083	26.4	0.002
mifish	aitchison	2024	Zone	0.2941703925353464	29.4	0.001
mifish	aitchison	2025	Zone	0.4012648481381637	40.1	0.001
mifish	bray	2022	Zone	0.31538044765707085	31.5	0.004
mifish	bray	2023	Zone	0.4803895529075301	48	0.002
mifish	bray	2024	Zone	0.48284601374890324	48.3	0.001
mifish	bray	2025	Zone	0.6088891808295747	60.9	0.001
mifish	jaccard	2022	Zone	0.2611297968420974	26.1	0.002
mifish	jaccard	2023	Zone	0.30789550965305673	30.8	0.002
mifish	jaccard	2024	Zone	0.25672160044877407	25.7	0.001
mifish	jaccard	2025	Zone	0.37587843895010864	37.6	0.001
mifish	unw	2022	Zone	0.21289371100548207	21.3	0.045
mifish	unw	2023	Zone	0.37323782531163496	37.3	0.001
mifish	unw	2024	Zone	0.3033970751356667	30.3	0.001
mifish	unw	2025	Zone	0.28953815715702563	29	0.002
mifish	wt	2022	Zone	0.3065041255592007	30.7	0.043
mifish	wt	2023	Zone	0.5336740799976062	53.4	0.001
mifish	wt	2024	Zone	0.47528630416751655	47.5	0.001
mifish	wt	2025	Zone	0.7293523492161019	72.9	0.001
