"Comparison","F_value","R2","p_value","p_bonf","Year"
"Zone_2A vs Zone_2B",1.127,0.111,0.189,1,"2022"
"Zone_2A vs Zone_3",0.879,0.074,0.908,1,"2022"
"Zone_2A vs Zone_1",4.868,0.233,0.001,0.006,"2022"
"Zone_2B vs Zone_3",1.302,0.178,0.065,0.39,"2022"
"Zone_2B vs Zone_1",3.319,0.232,0.009,0.054,"2022"
"Zone_3 vs Zone_1",4.066,0.238,0.002,0.012,"2022"
"Zone_2B vs Zone_3",1.039,0.148,0.199,1,"2023"
"Zone_2B vs Zone_2A",1.536,0.146,0.065,0.39,"2023"
"Zone_2B vs Zone_1",4.228,0.278,0.012,0.072,"2023"
"Zone_3 vs Zone_2A",1.379,0.111,0.079,0.474,"2023"
"Zone_3 vs Zone_1",5.757,0.307,0.002,0.012,"2023"
"Zone_2A vs Zone_1",5.53,0.257,0.001,0.006,"2023"
"Zone_1 vs Zone_2A",4.811,0.231,0.001,0.006,"2024"
"Zone_1 vs Zone_3",4.356,0.266,0.005,0.03,"2024"
"Zone_1 vs Zone_2B",3.49,0.241,0.011,0.066,"2024"
"Zone_2A vs Zone_3",1.487,0.129,0.051,0.306,"2024"
"Zone_2A vs Zone_2B",1.312,0.127,0.09,0.54,"2024"
"Zone_3 vs Zone_2B",0.947,0.159,0.71,1,"2024"
"Zone_2A vs Zone_1",6.926,0.302,0.001,0.006,"2025"
"Zone_2A vs Zone_3",0.977,0.089,0.437,1,"2025"
"Zone_2A vs Zone_2B",0.948,0.095,0.531,1,"2025"
"Zone_1 vs Zone_3",5.16,0.301,0.003,0.018,"2025"
"Zone_1 vs Zone_2B",4.568,0.293,0.003,0.018,"2025"
"Zone_3 vs Zone_2B",0.819,0.141,0.971,1,"2025"
