"Comparison","F_value","R2","p_value","p_bonf","Year"
"Zone_2A vs Zone_2B",1.365,0.132,0.143,0.858,"2022"
"Zone_2A vs Zone_3",0.674,0.058,0.925,1,"2022"
"Zone_2A vs Zone_1",10.876,0.405,0.002,0.012,"2022"
"Zone_2B vs Zone_3",1.107,0.156,0.303,1,"2022"
"Zone_2B vs Zone_1",5.129,0.318,0.025,0.15,"2022"
"Zone_3 vs Zone_1",7.615,0.369,0.004,0.024,"2022"
"Zone_2B vs Zone_3",0.753,0.111,0.727,1,"2023"
"Zone_2B vs Zone_2A",1.649,0.155,0.166,0.996,"2023"
"Zone_2B vs Zone_1",5.762,0.344,0.012,0.072,"2023"
"Zone_3 vs Zone_2A",1.742,0.137,0.14,0.84,"2023"
"Zone_3 vs Zone_1",8.854,0.405,0.002,0.012,"2023"
"Zone_2A vs Zone_1",8.5,0.347,0.001,0.006,"2023"
"Zone_1 vs Zone_2A",6.433,0.287,0.002,0.012,"2024"
"Zone_1 vs Zone_3",4.805,0.286,0.015,0.09,"2024"
"Zone_1 vs Zone_2B",4.803,0.304,0.026,0.156,"2024"
"Zone_2A vs Zone_3",1.568,0.136,0.157,0.942,"2024"
"Zone_2A vs Zone_2B",1.412,0.136,0.219,1,"2024"
"Zone_3 vs Zone_2B",1.572,0.239,0.195,1,"2024"
"Zone_2A vs Zone_1",10.868,0.404,0.001,0.006,"2025"
"Zone_2A vs Zone_3",0.947,0.087,0.445,1,"2025"
"Zone_2A vs Zone_2B",0.67,0.069,0.751,1,"2025"
"Zone_1 vs Zone_3",5.933,0.331,0.013,0.078,"2025"
"Zone_1 vs Zone_2B",5.004,0.313,0.021,0.126,"2025"
"Zone_3 vs Zone_2B",0.825,0.142,0.661,1,"2025"
