"Comparison","F_value","R2","p_value","p_bonf","Year"
"Zone_2A vs Zone_2B",0.826,0.084,0.816,1,"2022"
"Zone_2A vs Zone_3",0.81,0.069,0.859,1,"2022"
"Zone_2A vs Zone_1",3.252,0.169,0.001,0.006,"2022"
"Zone_2B vs Zone_3",0.861,0.125,0.869,1,"2022"
"Zone_2B vs Zone_1",2.15,0.164,0.021,0.126,"2022"
"Zone_3 vs Zone_1",3.009,0.188,0.002,0.012,"2022"
"Zone_2B vs Zone_3",1.197,0.166,0.134,0.804,"2023"
"Zone_2B vs Zone_2A",1.388,0.134,0.043,0.258,"2023"
"Zone_2B vs Zone_1",2.769,0.201,0.012,0.072,"2023"
"Zone_3 vs Zone_2A",1.076,0.089,0.265,1,"2023"
"Zone_3 vs Zone_1",3.649,0.219,0.002,0.012,"2023"
"Zone_2A vs Zone_1",3.388,0.175,0.001,0.006,"2023"
"Zone_1 vs Zone_2A",4.898,0.234,0.001,0.006,"2024"
"Zone_1 vs Zone_3",4.074,0.253,0.002,0.012,"2024"
"Zone_1 vs Zone_2B",3.391,0.236,0.011,0.066,"2024"
"Zone_2A vs Zone_3",1.336,0.118,0.061,0.366,"2024"
"Zone_2A vs Zone_2B",1.393,0.134,0.031,0.186,"2024"
"Zone_3 vs Zone_2B",1.202,0.194,0.123,0.738,"2024"
"Zone_2A vs Zone_1",5.97,0.272,0.001,0.006,"2025"
"Zone_2A vs Zone_3",0.92,0.084,0.565,1,"2025"
"Zone_2A vs Zone_2B",0.956,0.096,0.512,1,"2025"
"Zone_1 vs Zone_3",4.592,0.277,0.003,0.018,"2025"
"Zone_1 vs Zone_2B",3.974,0.265,0.003,0.018,"2025"
"Zone_3 vs Zone_2B",0.744,0.129,0.97,1,"2025"
