"Comparison","F_value","R2","p_value","p_bonf","Year"
"Zone_2B vs Zone_1",2.448,0.182,0.007,0.021,"2022"
"Zone_2B vs Zone_2A",0.963,0.243,0.7,1,"2022"
"Zone_1 vs Zone_2A",2.361,0.191,0.014,0.042,"2022"
"Zone_2B vs Zone_3",1.683,0.219,0.053,0.318,"2023"
"Zone_2B vs Zone_2A",2.496,0.217,0.035,0.21,"2023"
"Zone_2B vs Zone_1",3.921,0.263,0.007,0.042,"2023"
"Zone_3 vs Zone_2A",1.13,0.093,0.329,1,"2023"
"Zone_3 vs Zone_1",4.516,0.258,0.001,0.006,"2023"
"Zone_2A vs Zone_1",3.96,0.198,0.001,0.006,"2023"
"Zone_1 vs Zone_2A",3.46,0.178,0.002,0.012,"2024"
"Zone_1 vs Zone_3",2.813,0.19,0.005,0.03,"2024"
"Zone_1 vs Zone_2B",2.718,0.198,0.011,0.066,"2024"
"Zone_2A vs Zone_3",1.219,0.109,0.161,0.966,"2024"
"Zone_2A vs Zone_2B",1.424,0.137,0.027,0.162,"2024"
"Zone_3 vs Zone_2B",0.991,0.165,0.454,1,"2024"
"Zone_2A vs Zone_1",7.143,0.309,0.001,0.006,"2025"
"Zone_2A vs Zone_3",0.158,0.016,0.979,1,"2025"
"Zone_2A vs Zone_2B",0.944,0.095,0.572,1,"2025"
"Zone_1 vs Zone_3",6.352,0.346,0.003,0.018,"2025"
"Zone_1 vs Zone_2B",5.574,0.336,0.003,0.018,"2025"
"Zone_3 vs Zone_2B",1.897,0.275,0.15,0.9,"2025"
