"Comparison","F_value","R2","p_value","p_bonf","Year"
"Zone_2B vs Zone_1",3.339,0.233,0.018,0.054,"2022"
"Zone_2B vs Zone_2A",0.151,0.048,0.8,1,"2022"
"Zone_1 vs Zone_2A",5.887,0.371,0.014,0.042,"2022"
"Zone_2B vs Zone_3",1.731,0.224,0.088,0.528,"2023"
"Zone_2B vs Zone_2A",1.817,0.168,0.121,0.726,"2023"
"Zone_2B vs Zone_1",10.141,0.48,0.007,0.042,"2023"
"Zone_3 vs Zone_2A",2.69,0.196,0.094,0.564,"2023"
"Zone_3 vs Zone_1",16.767,0.563,0.001,0.006,"2023"
"Zone_2A vs Zone_1",8.023,0.334,0.001,0.006,"2023"
"Zone_1 vs Zone_2A",8.918,0.358,0.001,0.006,"2024"
"Zone_1 vs Zone_3",19.861,0.623,0.002,0.012,"2024"
"Zone_1 vs Zone_2B",23.822,0.684,0.005,0.03,"2024"
"Zone_2A vs Zone_3",0.742,0.069,0.467,1,"2024"
"Zone_2A vs Zone_2B",1.076,0.107,0.324,1,"2024"
"Zone_3 vs Zone_2B",1.917,0.277,0.102,0.612,"2024"
"Zone_2A vs Zone_1",30.391,0.655,0.001,0.006,"2025"
"Zone_2A vs Zone_3",0.304,0.03,0.855,1,"2025"
"Zone_2A vs Zone_2B",0.725,0.075,0.594,1,"2025"
"Zone_1 vs Zone_3",41.53,0.776,0.003,0.018,"2025"
"Zone_1 vs Zone_2B",39.983,0.784,0.003,0.018,"2025"
"Zone_3 vs Zone_2B",0.709,0.124,0.559,1,"2025"
