"Year","Variable","R2","p_value"
"2022","Salinity",0.909184012796475,0.001
"2022","Temperature",0.952386990217115,0.001
"2022","Water Depth",0.138331346469637,0.181
"2022","Chlorophyll",0.571429222246502,0.002
"2023","Salinity",0.912866026325802,0.001
"2023","Temperature",0.914595830618828,0.001
"2023","Water Depth",0.333096512880526,0.013
"2023","Chlorophyll",0.823841455590803,0.001
"2024","Salinity",0.930864853963089,0.001
"2024","Temperature",0.127260497339229,0.182
"2024","Water Depth",0.303587269266922,0.026
"2024","Chlorophyll",0.431120576830676,0.001
"2025","Salinity",0.321515147289009,0.005
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
