"Year","Variable","R2","p_value"
"2023","Salinity",0.916513138873495,0.001
"2023","Temperature",0.889706058346476,0.001
"2023","Water Depth",0.263658087353648,0.031
"2023","Chlorophyll",0.789564721427825,0.001
"2024","Salinity",0.867709205932579,0.001
"2024","Temperature",0.20738560053769,0.071
"2024","Water Depth",0.294122957292412,0.032
"2024","Chlorophyll",0.409672188062302,0.004
"2025","Salinity",0.354574339797224,0.005
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
