"Year","Variable","R2","p_value"
"2022","Salinity",0.885432663138675,0.001
"2022","Temperature",0.943066600993104,0.001
"2022","Water Depth",0.123321196949462,0.215
"2022","Chlorophyll",0.6054363230832,0.002
"2023","Salinity",0.925556306036545,0.001
"2023","Temperature",0.917275849075844,0.001
"2023","Water Depth",0.30269058644431,0.02
"2023","Chlorophyll",0.793828113288622,0.001
"2024","Salinity",0.871628006639346,0.001
"2024","Temperature",0.170841849386439,0.101
"2024","Water Depth",0.271013732794489,0.046
"2024","Chlorophyll",0.394963653540836,0.005
"2025","Salinity",0.345888251547306,0.009
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
