"Year","Variable","R2","p_value"
"2022","Salinity",0.971468318407211,0.001
"2022","Temperature",0.990674685322625,0.001
"2022","Water Depth",0.188232720947472,0.09
"2022","Chlorophyll",0.397824587525503,0.008
"2022","Salinity",0.319581690848473,0.086
"2022","Temperature",0.465327321008234,0.026
"2022","Water Depth",0.358176449512574,0.06
"2022","Chlorophyll",0.0868442414818503,0.56
"2023","Salinity",0.912825281093651,0.001
"2023","Temperature",0.907305666500671,0.001
"2023","Water Depth",0.328434158246724,0.016
"2023","Chlorophyll",0.8363762675421,0.001
"2023","Salinity",0.852548975160419,0.001
"2023","Temperature",0.862451058676667,0.001
"2023","Water Depth",0.296146425486343,0.021
"2023","Chlorophyll",0.777155505081261,0.001
"2024","Salinity",0.91878996692928,0.001
"2024","Temperature",0.143267847973912,0.148
"2024","Water Depth",0.256509247764615,0.048
"2024","Chlorophyll",0.35280779277593,0.009
"2024","Salinity",0.281151217669019,0.028
"2024","Temperature",0.123782214247354,0.208
"2024","Water Depth",0.316010099939286,0.013
"2024","Chlorophyll",0.473890085353861,0.001
"2025","Salinity",0.238384176263185,0.039
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
"2025","Salinity",0.40031777950001,0.006
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
