"Year","Variable","R2","p_value"
"2022","Salinity",0.257756401790344,0.054
"2022","Temperature",0.292865646816865,0.018
"2022","Water Depth",0.0542705070620192,0.508
"2022","Chlorophyll",0.228265292294715,0.043
"2023","Salinity",0.827292159028808,0.001
"2023","Temperature",0.783631709031349,0.001
"2023","Water Depth",0.186476589105145,0.107
"2023","Chlorophyll",0.664960976076725,0.001
"2024","Salinity",0.758280469146802,0.001
"2024","Temperature",0.237399573791844,0.051
"2024","Water Depth",0.285358465593066,0.033
"2024","Chlorophyll",0.449609155217277,0.002
"2025","Salinity",0.368321559993238,0.009
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
