"Year","Variable","R2","p_value"
"2022","Salinity",0.885432663138675,0.001
"2022","Temperature",0.943066600993104,0.001
"2022","Water Depth",0.123321196949462,0.215
"2022","Chlorophyll",0.6054363230832,0.002
"2022","Salinity",0.0736164670745036,0.64
"2022","Temperature",0.150176936059605,0.386
"2022","Water Depth",0.137032681880108,0.42
"2022","Chlorophyll",0.0948885265931616,0.543
"2023","Salinity",0.925556306036545,0.001
"2023","Temperature",0.917275849075844,0.001
"2023","Water Depth",0.30269058644431,0.02
"2023","Chlorophyll",0.793828113288622,0.001
"2023","Salinity",0.691620715922428,0.001
"2023","Temperature",0.731038175514793,0.001
"2023","Water Depth",0.121166279488612,0.208
"2023","Chlorophyll",0.650014360010307,0.001
"2024","Salinity",0.871628006639346,0.001
"2024","Temperature",0.170841849386439,0.101
"2024","Water Depth",0.271013732794489,0.046
"2024","Chlorophyll",0.394963653540836,0.005
"2024","Salinity",0.475570033052026,0.002
"2024","Temperature",0.166079790983829,0.136
"2024","Water Depth",0.348356005958604,0.009
"2024","Chlorophyll",0.375823368076446,0.005
"2025","Salinity",0.345888251547306,0.009
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
"2025","Salinity",0.222388383452636,0.061
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
