"Year","Variable","R2","p_value"
"2022","Salinity",0.977972467465969,0.001
"2022","Temperature",0.990567427010802,0.001
"2022","Water Depth",0.20645495781804,0.081
"2022","Chlorophyll",0.428287055773972,0.004
"2022","Salinity",0.269041757984362,0.16
"2022","Temperature",0.384317145634155,0.061
"2022","Water Depth",0.307613415224971,0.1
"2022","Chlorophyll",0.323852402436729,0.097
"2023","Salinity",0.93170164360014,0.001
"2023","Temperature",0.920586788191744,0.001
"2023","Water Depth",0.328749083100989,0.009
"2023","Chlorophyll",0.858156524027729,0.001
"2023","Salinity",0.887061254739187,0.001
"2023","Temperature",0.878456231936837,0.001
"2023","Water Depth",0.30004030018642,0.012
"2023","Chlorophyll",0.782420914532496,0.001
"2024","Salinity",0.913338155636794,0.001
"2024","Temperature",0.139993412213695,0.18
"2024","Water Depth",0.253607731206209,0.031
"2024","Chlorophyll",0.371264118959216,0.004
"2024","Salinity",0.217275243716261,0.067
"2024","Temperature",0.130721251697575,0.204
"2024","Water Depth",0.284496858700527,0.021
"2024","Chlorophyll",0.461516048432215,0.003
"2025","Salinity",0.298952796008728,0.019
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
"2025","Salinity",0.430690314365953,0.003
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
