"Year","Variable","R2","p_value"
"2022","Salinity",0.965911011628136,0.001
"2022","Temperature",0.984833853895491,0.001
"2022","Water Depth",0.204956439804784,0.078
"2022","Chlorophyll",0.37314790318728,0.007
"2022","Salinity",0.245335433354539,0.138
"2022","Temperature",0.379721349719188,0.053
"2022","Water Depth",0.288228629470128,0.128
"2022","Chlorophyll",0.333566591827533,0.09
"2023","Salinity",0.85632286246394,0.001
"2023","Temperature",0.88858014532392,0.001
"2023","Water Depth",0.328699514742278,0.013
"2023","Chlorophyll",0.839468727788145,0.001
"2023","Salinity",0.89479016537833,0.001
"2023","Temperature",0.890800885136226,0.001
"2023","Water Depth",0.307498152319807,0.012
"2023","Chlorophyll",0.807054405328674,0.001
"2024","Salinity",0.928676773819187,0.001
"2024","Temperature",0.154844712140186,0.162
"2024","Water Depth",0.316052851423165,0.012
"2024","Chlorophyll",0.458474444814902,0.002
"2024","Salinity",0.229799234848862,0.058
"2024","Temperature",0.188335630486763,0.082
"2024","Water Depth",0.258775963178445,0.035
"2024","Chlorophyll",0.451407951761748,0.002
"2025","Salinity",0.321094604561832,0.011
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
"2025","Salinity",0.412082442761138,0.002
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
