	Musq_21_25	Musq_19_25	Musq_17_25	Musq_15_25	Musq_13_25	Musq_11_25	Musq_09_25	Musq_07_25	Musq_05_25	Musq_03_25	Musq_01_25	Musq_23_25	Musq_25_25	Zone_3_1_25	Zone_3_3_25	Musq_31_25	Zone_3_2_25	Musq_29_25	Zone_2A_10_25	Zone_2A_1_25	Musq_27_25	Zone_2A_12_25	Zone_2B_1_25	Zone_2B_3_25	Zone_2B_2_25
Musq_21_25	0.0	0.867	0.4413	0.6428	0.6741	0.7351	0.7348	0.5574	0.5356	0.5194	0.7568	0.7724	0.9035	0.983	0.931	0.6784	0.9061	0.9033	0.9903	0.7675	0.9787	0.8447	0.9309	0.9291	0.8644
Musq_19_25	0.867	0.0	0.6137	0.4427	0.3547	0.3625	0.3335	0.3501	0.3696	0.4066	0.3321	0.8352	0.9327	0.969	0.9757	0.9025	0.9505	0.8546	0.9757	0.8033	0.9663	0.9476	0.975	0.9737	0.9482
Musq_17_25	0.4413	0.6137	0.0	0.4237	0.559	0.4126	0.5256	0.4329	0.4573	0.446	0.577	0.6076	0.796	0.9802	0.9037	0.4919	0.7742	0.7375	0.9914	0.6058	0.9765	0.7985	0.745	0.8297	0.6784
Musq_15_25	0.6428	0.4427	0.4237	0.0	0.4153	0.2962	0.3278	0.3366	0.3563	0.3687	0.4375	0.8041	0.9062	0.9604	0.9164	0.6628	0.9066	0.9077	0.9703	0.6536	0.9555	0.915	0.9161	0.9147	0.9158
Musq_13_25	0.6741	0.3547	0.559	0.4153	0.0	0.2247	0.1555	0.1582	0.1548	0.3381	0.2272	0.8118	0.9308	0.9842	0.9341	0.7949	0.93	0.9309	0.9934	0.694	0.9817	0.8476	0.9344	0.9316	0.8676
Musq_11_25	0.7351	0.3625	0.4126	0.2962	0.2247	0.0	0.2109	0.3021	0.2774	0.3926	0.3903	0.7006	0.836	0.9828	0.9045	0.6924	0.8264	0.8272	0.9924	0.632	0.9803	0.8506	0.8304	0.8317	0.7697
Musq_09_25	0.7348	0.3335	0.5256	0.3278	0.1555	0.2109	0.0	0.209	0.2159	0.2913	0.2297	0.868	0.9132	0.9835	0.9171	0.7334	0.9133	0.914	0.9934	0.6539	0.9811	0.9015	0.917	0.9149	0.9015
Musq_07_25	0.5574	0.3501	0.4329	0.3366	0.1582	0.3021	0.209	0.0	0.0811	0.185	0.2233	0.8516	0.9586	0.9828	0.9646	0.7116	0.958	0.9587	0.9919	0.7011	0.9781	0.8768	0.9646	0.9624	0.8979
Musq_05_25	0.5356	0.3696	0.4573	0.3563	0.1548	0.2774	0.2159	0.0811	0.0	0.2303	0.2576	0.7726	0.9373	0.9837	0.9401	0.6932	0.9364	0.9371	0.9928	0.6766	0.9813	0.8523	0.9402	0.9379	0.8733
Musq_03_25	0.5194	0.4066	0.446	0.3687	0.3381	0.3926	0.2913	0.185	0.2303	0.0	0.2668	0.9935	0.992	0.9893	0.9953	0.7429	0.9915	0.9929	0.9949	0.7321	0.9887	0.9945	0.9957	0.9934	0.9951
Musq_01_25	0.7568	0.3321	0.577	0.4375	0.2272	0.3903	0.2297	0.2233	0.2576	0.2668	0.0	0.9894	0.9488	0.9847	0.9911	0.7819	0.9655	0.9422	0.9909	0.7281	0.9822	0.9899	0.9911	0.989	0.9908
Musq_23_25	0.7724	0.8352	0.6076	0.8041	0.8118	0.7006	0.868	0.8516	0.7726	0.9935	0.9894	0.0	0.57	0.7179	0.6369	0.4049	0.501	0.5184	0.7248	0.6008	0.7171	0.5212	0.4419	0.5635	0.3626
Musq_25_25	0.9035	0.9327	0.796	0.9062	0.9308	0.836	0.9132	0.9586	0.9373	0.992	0.9488	0.57	0.0	0.3462	0.2648	0.4548	0.3824	0.5478	0.3525	0.2609	0.2114	0.2819	0.2437	0.1988	0.3249
Zone_3_1_25	0.983	0.969	0.9802	0.9604	0.9842	0.9828	0.9835	0.9828	0.9837	0.9893	0.9847	0.7179	0.3462	0.0	0.2527	0.6015	0.5524	0.736	0.0127	0.3769	0.3674	0.5126	0.4351	0.2013	0.5368
Zone_3_3_25	0.931	0.9757	0.9037	0.9164	0.9341	0.9045	0.9171	0.9646	0.9401	0.9953	0.9911	0.6369	0.2648	0.2527	0.0	0.5227	0.4719	0.6542	0.2568	0.2983	0.3726	0.4391	0.3541	0.1684	0.4552
Musq_31_25	0.6784	0.9025	0.4919	0.6628	0.7949	0.6924	0.7334	0.7116	0.6932	0.7429	0.7819	0.4049	0.4548	0.6015	0.5227	0.0	0.3465	0.478	0.6104	0.3259	0.6002	0.4938	0.32	0.4502	0.2786
Zone_3_2_25	0.9061	0.9505	0.7742	0.9066	0.93	0.8264	0.9133	0.958	0.9364	0.9915	0.9655	0.501	0.3824	0.5524	0.4719	0.3465	0.0	0.1839	0.5595	0.4335	0.5482	0.4802	0.33	0.3977	0.3028
Musq_29_25	0.9033	0.8546	0.7375	0.9077	0.9309	0.8272	0.914	0.9587	0.9371	0.9929	0.9422	0.5184	0.5478	0.736	0.6542	0.478	0.1839	0.0	0.742	0.6171	0.7319	0.6602	0.5122	0.581	0.4831
Zone_2A_10_25	0.9903	0.9757	0.9914	0.9703	0.9934	0.9924	0.9934	0.9919	0.9928	0.9949	0.9909	0.7248	0.3525	0.0127	0.2568	0.6104	0.5595	0.742	0.0	0.3858	0.3779	0.5196	0.4417	0.2066	0.5426
Zone_2A_1_25	0.7675	0.8033	0.6058	0.6536	0.694	0.632	0.6539	0.7011	0.6766	0.7321	0.7281	0.6008	0.2609	0.3769	0.2983	0.3259	0.4335	0.6171	0.3858	0.0	0.3744	0.4381	0.3191	0.2614	0.4196
Musq_27_25	0.9787	0.9663	0.9765	0.9555	0.9817	0.9803	0.9811	0.9781	0.9813	0.9887	0.9822	0.7171	0.2114	0.3674	0.3726	0.6002	0.5482	0.7319	0.3779	0.3744	0.0	0.2978	0.3901	0.3709	0.4713
Zone_2A_12_25	0.8447	0.9476	0.7985	0.915	0.8476	0.8506	0.9015	0.8768	0.8523	0.9945	0.9899	0.5212	0.2819	0.5126	0.4391	0.4938	0.4802	0.6602	0.5196	0.4381	0.2978	0.0	0.2578	0.4382	0.2954
Zone_2B_1_25	0.9309	0.975	0.745	0.9161	0.9344	0.8304	0.917	0.9646	0.9402	0.9957	0.9911	0.4419	0.2437	0.4351	0.3541	0.32	0.33	0.5122	0.4417	0.3191	0.3901	0.2578	0.0	0.2818	0.2067
Zone_2B_3_25	0.9291	0.9737	0.8297	0.9147	0.9316	0.8317	0.9149	0.9624	0.9379	0.9934	0.989	0.5635	0.1988	0.2013	0.1684	0.4502	0.3977	0.581	0.2066	0.2614	0.3709	0.4382	0.2818	0.0	0.3714
Zone_2B_2_25	0.8644	0.9482	0.6784	0.9158	0.8676	0.7697	0.9015	0.8979	0.8733	0.9951	0.9908	0.3626	0.3249	0.5368	0.4552	0.2786	0.3028	0.4831	0.5426	0.4196	0.4713	0.2954	0.2067	0.3714	0.0
