	observed_features
Zone_2B_1_22	22
Zone_2B_2_22	90
Zone_2B_3_22	61
Musq_01_22	132
Musq_02_22	170
Musq_04_22	41
Musq_06_22	176
Musq_07_22	120
Musq_08_22	77
Musq_11_22	84
Musq_15_22	98
Musq_16_22	108
Musq_19_22	121
Musq_26_22	75
Musq_28_22	5
Zone_2B_2_23	14
Zone_2B_3_23	12
Zone_2B_1_23	12
Zone_3_1_23	13
Zone_3_4_23	7
Zone_3_3_23	12
Zone_3_2_23	10
Zone_2A_12_23	13
Zone_2A_10_23	11
Zone_2A_1_23	12
Musq_25_23	18
Musq_27_23	11
Musq_29_23	10
Musq_31_23	12
Musq_19_23	23
Musq_01_23	25
Musq_03_23	19
Musq_05_23	20
Musq_07_23	17
Musq_09_23	13
Musq_11_23	16
Musq_13_23	17
Musq_15_23	19
Musq_17_23	18
Musq_21_23	19
Musq_23_23	18
Musq_19_24	43
Musq_21_24	95
Musq_23_24	70
Musq_25_24	81
Musq_27_24	106
Musq_29_24	72
Musq_31_24	70
Zone_2B_1_24	102
Zone_2B_2_24	94
Zone_2B_3_24	74
Zone_3_1_24	84
Zone_3_3_24	76
Zone_3_2_24	108
Zone_2A_12_24	98
Zone_2A_10_24	57
Zone_2A_1_24	65
Musq_01_24	74
Musq_03_24	71
Musq_05_24	90
Musq_07_24	63
Musq_09_24	95
Musq_11_24	70
Musq_13_24	84
Musq_15_24	78
Musq_17_24	68
Musq_21_25	10
Musq_19_25	13
Musq_17_25	13
Musq_15_25	14
Musq_13_25	12
Musq_11_25	15
Musq_09_25	15
Musq_07_25	12
Musq_05_25	13
Musq_03_25	10
Musq_01_25	12
Musq_23_25	12
Musq_25_25	12
Zone_3_1_25	11
Zone_3_3_25	10
Musq_31_25	12
Zone_3_2_25	9
Musq_29_25	13
Zone_2A_10_25	9
Zone_2A_1_25	10
Musq_27_25	13
Zone_2A_12_25	12
Zone_2B_1_25	12
Zone_2B_3_25	11
Zone_2B_2_25	16
