	Zone_2B_1_22	Zone_2B_2_22	Zone_2B_3_22	Musq_01_22	Musq_02_22	Musq_04_22	Musq_06_22	Musq_07_22	Musq_08_22	Musq_11_22	Musq_15_22	Musq_16_22	Musq_19_22	Musq_26_22	Musq_28_22
Zone_2B_1_22	0.0	0.9995	1.0	1.0	0.9999	0.9999	0.9711	0.9997	1.0	0.9956	0.995	0.9999	0.9996	0.9872	0.0902
Zone_2B_2_22	0.9995	0.0	0.9997	1.0	0.9999	1.0	0.9996	0.9999	1.0	0.9999	0.9999	1.0	0.9999	0.9999	0.9999
Zone_2B_3_22	1.0	0.9997	0.0	1.0	1.0	1.0	0.4419	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Musq_01_22	1.0	1.0	1.0	0.0	0.8342	0.702	0.7421	0.3358	0.3477	0.3437	0.4165	0.3325	0.5195	1.0	1.0
Musq_02_22	0.9999	0.9999	1.0	0.8342	0.0	0.832	0.9999	0.9999	1.0	0.9999	0.596	0.9997	0.5492	0.9999	0.9999
Musq_04_22	0.9999	1.0	1.0	0.702	0.832	0.0	0.9999	0.9998	0.9999	0.9999	0.9999	0.9997	0.9999	1.0	1.0
Musq_06_22	0.9711	0.9996	0.4419	0.7421	0.9999	0.9999	0.0	0.7415	0.7424	0.7399	0.7444	0.7438	0.7457	0.8922	0.9711
Musq_07_22	0.9997	0.9999	1.0	0.3358	0.9999	0.9998	0.7415	0.0	0.0777	0.0781	0.4161	0.0933	0.5174	0.9997	0.9997
Musq_08_22	1.0	1.0	1.0	0.3477	1.0	0.9999	0.7424	0.0777	0.0	0.0276	0.4194	0.1074	0.527	1.0	1.0
Musq_11_22	0.9956	0.9999	1.0	0.3437	0.9999	0.9999	0.7399	0.0781	0.0276	0.0	0.4125	0.1093	0.5235	0.9956	0.9956
Musq_15_22	0.995	0.9999	1.0	0.4165	0.596	0.9999	0.7444	0.4161	0.4194	0.4125	0.0	0.4159	0.1324	0.9951	0.9951
Musq_16_22	0.9999	1.0	1.0	0.3325	0.9997	0.9997	0.7438	0.0933	0.1074	0.1093	0.4159	0.0	0.5232	1.0	0.9997
Musq_19_22	0.9996	0.9999	1.0	0.5195	0.5492	0.9999	0.7457	0.5174	0.527	0.5235	0.1324	0.5232	0.0	0.9996	0.9996
Musq_26_22	0.9872	0.9999	1.0	1.0	0.9999	1.0	0.8922	0.9997	1.0	0.9956	0.9951	1.0	0.9996	0.0	0.9874
Musq_28_22	0.0902	0.9999	1.0	1.0	0.9999	1.0	0.9711	0.9997	1.0	0.9956	0.9951	0.9997	0.9996	0.9874	0.0
