	Zone_2B_1_22	Zone_2B_2_22	Zone_2B_3_22	Musq_01_22	Musq_02_22	Musq_04_22	Musq_06_22	Musq_07_22	Musq_08_22	Musq_11_22	Musq_15_22	Musq_16_22	Musq_19_22	Musq_26_22	Musq_28_22
Zone_2B_1_22	0.0	0.9813084112149533	1.0	1.0	0.9947368421052631	0.9841269841269841	0.9949238578680203	0.9925925925925926	1.0	0.9905660377358491	0.9824561403508771	0.9921259842519685	0.9855072463768116	0.9555555555555556	0.92
Zone_2B_2_22	0.9813084112149533	0.0	0.9932432432432432	1.0	0.996078431372549	1.0	0.9923371647509579	0.995	1.0	0.9941520467836257	0.9944444444444445	1.0	0.9950980392156863	0.9936708860759493	0.989010989010989
Zone_2B_3_22	1.0	0.9932432432432432	0.0	1.0	1.0	1.0	0.6994535519125683	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Musq_01_22	1.0	1.0	1.0	0.0	0.9335664335664335	0.8441558441558441	0.8444444444444444	0.5714285714285714	0.6	0.5741935483870968	0.7431693989071039	0.6011560693641619	0.7040816326530612	1.0	1.0
Musq_02_22	0.9947368421052631	0.996078431372549	1.0	0.9335664335664335	0.0	0.8835978835978836	0.997093023255814	0.9964539007092199	1.0	0.9960474308300395	0.8565217391304348	0.9926739926739927	0.8656126482213439	0.9958333333333333	0.9942196531791907
Musq_04_22	0.9841269841269841	1.0	1.0	0.8441558441558441	0.8835978835978836	0.0	0.9953917050691244	0.987012987012987	0.991304347826087	0.9920634920634921	0.9925925925925926	0.9863013698630136	0.9937106918238994	1.0	1.0
Musq_06_22	0.9949238578680203	0.9923371647509579	0.6994535519125683	0.8444444444444444	0.997093023255814	0.9953917050691244	0.0	0.8259109311740891	0.8372093023255814	0.8190045248868778	0.865546218487395	0.8442622950819673	0.8648648648648649	0.9535864978902954	0.9944444444444445
Musq_07_22	0.9925925925925926	0.995	1.0	0.5714285714285714	0.9964539007092199	0.987012987012987	0.8259109311740891	0.0	0.45901639344262296	0.46923076923076923	0.6751592356687898	0.4722222222222222	0.6818181818181818	0.9945945945945946	0.9915254237288136
Musq_08_22	1.0	1.0	1.0	0.6	1.0	0.991304347826087	0.8372093023255814	0.45901639344262296	0.0	0.36082474226804123	0.6451612903225806	0.5	0.684931506849315	1.0	1.0
Musq_11_22	0.9905660377358491	0.9941520467836257	1.0	0.5741935483870968	0.9960474308300395	0.9920634920634921	0.8190045248868778	0.46923076923076923	0.36082474226804123	0.0	0.6124031007751938	0.44715447154471544	0.6375838926174496	0.9935897435897436	0.9887640449438202
Musq_15_22	0.9824561403508771	0.9944444444444445	1.0	0.7431693989071039	0.8565217391304348	0.9925925925925926	0.865546218487395	0.6751592356687898	0.6451612903225806	0.6124031007751938	0.0	0.6754966887417219	0.5277777777777778	0.9878048780487805	0.979381443298969
Musq_16_22	0.9921259842519685	1.0	1.0	0.6011560693641619	0.9926739926739927	0.9863013698630136	0.8442622950819673	0.4722222222222222	0.5	0.44715447154471544	0.6754966887417219	0.0	0.6976744186046512	1.0	0.990909090909091
Musq_19_22	0.9855072463768116	0.9950980392156863	1.0	0.7040816326530612	0.8656126482213439	0.9937106918238994	0.8648648648648649	0.6818181818181818	0.684931506849315	0.6375838926174496	0.5277777777777778	0.6976744186046512	0.0	0.9893617021276596	0.9834710743801653
Musq_26_22	0.9555555555555556	0.9936708860759493	1.0	1.0	0.9958333333333333	1.0	0.9535864978902954	0.9945945945945946	1.0	0.9935897435897436	0.9878048780487805	1.0	0.9893617021276596	0.0	0.9733333333333334
Musq_28_22	0.92	0.989010989010989	1.0	1.0	0.9942196531791907	1.0	0.9944444444444445	0.9915254237288136	1.0	0.9887640449438202	0.979381443298969	0.990909090909091	0.9834710743801653	0.9733333333333334	0.0
